entry_time,exit_time,side,entry_price,exit_price,pnl,contracts
2024-03-01 09:35:00,2024-03-01 09:45:00,long,5110.25,5106.0,-21.25,1
2024-03-01 10:20:00,2024-03-01 10:35:00,long,5114.25,5115.0,3.75,1
2024-03-01 12:35:00,2024-03-01 13:00:00,long,5133.25,5134.5,6.25,1
2024-03-01 14:05:00,2024-03-01 14:20:00,long,5146.0,5145.0,-5.0,1
2024-03-04 09:45:00,2024-03-04 10:25:00,long,5139.25,5140.5,6.25,1
2024-03-04 12:30:00,2024-03-04 12:45:00,long,5146.75,5143.75,-15.0,1
2024-03-05 12:25:00,2024-03-05 12:40:00,long,5097.0,5093.25,-18.75,1
2024-03-06 11:00:00,2024-03-06 11:35:00,long,5118.25,5121.25,15.0,1
2024-03-07 10:40:00,2024-03-07 10:55:00,long,5154.25,5154.5,1.25,1
2024-03-07 13:45:00,2024-03-07 14:10:00,long,5165.0,5166.25,6.25,1
2024-03-08 09:55:00,2024-03-08 10:35:00,long,5185.5,5187.5,10.0,1
2024-03-11 11:05:00,2024-03-11 11:25:00,long,5116.25,5107.5,-43.75,1
2024-03-11 12:25:00,2024-03-11 12:50:00,long,5117.0,5118.25,6.25,1
2024-03-12 13:35:00,2024-03-12 14:25:00,long,5160.75,5171.25,52.5,1
2024-03-13 13:30:00,2024-03-13 13:35:00,long,5180.0,5176.5,-17.5,1
2024-03-14 14:00:00,2024-03-14 14:40:00,long,5151.5,5149.5,-10.0,1
2024-03-18 09:35:00,2024-03-18 09:55:00,long,5232.5,5226.5,-30.0,1
2024-03-19 11:05:00,2024-03-19 11:40:00,long,5208.5,5214.75,31.25,1
2024-03-20 10:30:00,2024-03-20 10:40:00,long,5246.75,5240.75,-30.0,1
2024-03-22 13:05:00,2024-03-22 13:40:00,long,5299.0,5299.5,2.5,1
2024-03-25 10:25:00,2024-03-25 10:30:00,long,5284.5,5283.0,-7.5,1
2024-03-27 12:40:00,2024-03-27 13:10:00,long,5278.0,5275.75,-11.25,1
2024-03-27 14:30:00,2024-03-27 14:35:00,long,5285.5,5283.0,-12.5,1
2024-04-01 12:45:00,2024-04-01 13:00:00,long,5294.5,5292.0,-12.5,1
2024-04-02 12:55:00,2024-04-02 13:15:00,long,5249.25,5247.75,-7.5,1
2024-04-03 09:55:00,2024-04-03 10:40:00,long,5256.25,5274.75,92.5,1
2024-04-04 11:50:00,2024-04-04 12:30:00,long,5299.75,5305.0,26.25,1
2024-04-05 10:00:00,2024-04-05 10:30:00,long,5226.25,5221.5,-23.75,1
2024-04-05 11:00:00,2024-04-05 11:10:00,long,5248.0,5241.75,-31.25,1
2024-04-08 10:40:00,2024-04-08 11:10:00,long,5265.25,5264.75,-2.5,1
2024-04-08 13:00:00,2024-04-08 13:35:00,long,5261.25,5258.0,-16.25,1
2024-04-09 11:50:00,2024-04-09 12:15:00,long,5235.5,5240.0,22.5,1
2024-04-10 10:10:00,2024-04-10 10:35:00,long,5209.0,5217.5,42.5,1
2024-04-11 12:00:00,2024-04-11 12:30:00,long,5215.25,5210.5,-23.75,1
2024-04-11 13:10:00,2024-04-11 14:00:00,long,5227.5,5242.75,76.25,1
2024-04-12 10:00:00,2024-04-12 10:10:00,long,5213.75,5200.0,-68.75,1
2024-04-12 14:20:00,2024-04-12 14:35:00,long,5169.25,5161.75,-37.5,1
2024-04-15 12:05:00,2024-04-15 12:20:00,long,5185.25,5176.5,-43.75,1
2024-04-16 11:55:00,2024-04-16 12:00:00,long,5110.5,5100.0,-52.5,1
2024-04-17 13:30:00,2024-04-17 14:05:00,long,5074.0,5081.0,35.0,1
2024-04-22 13:15:00,2024-04-22 14:15:00,long,5042.75,5070.25,137.5,1
2024-04-23 09:50:00,2024-04-23 10:50:00,long,5080.5,5097.25,83.75,1
2024-04-23 12:40:00,2024-04-23 12:55:00,long,5106.75,5104.25,-12.5,1
2024-04-23 14:00:00,2024-04-23 14:35:00,long,5111.75,5110.0,-8.75,1
2024-04-24 13:20:00,2024-04-24 14:05:00,long,5098.75,5111.5,63.75,1
2024-04-25 11:55:00,2024-04-25 12:15:00,long,5045.0,5050.5,27.5,1
2024-04-25 13:40:00,2024-04-25 14:25:00,long,5077.25,5079.75,12.5,1
2024-04-26 10:10:00,2024-04-26 10:30:00,long,5133.75,5128.75,-25.0,1
2024-04-26 13:00:00,2024-04-26 13:20:00,long,5143.25,5142.0,-6.25,1
2024-04-29 09:35:00,2024-04-29 09:40:00,long,5153.75,5147.75,-30.0,1
2024-04-29 10:30:00,2024-04-29 10:40:00,long,5149.0,5145.5,-17.5,1
2024-04-29 12:20:00,2024-04-29 12:55:00,long,5146.75,5145.5,-6.25,1
2024-04-29 13:55:00,2024-04-29 14:05:00,long,5148.75,5146.25,-12.5,1
2024-04-30 10:00:00,2024-04-30 10:20:00,long,5137.25,5137.75,2.5,1
2024-04-30 14:05:00,2024-04-30 14:15:00,long,5109.5,5103.25,-31.25,1
2024-05-01 13:50:00,2024-05-01 15:20:00,long,5053.5,5113.25,298.75,1
2024-05-02 11:10:00,2024-05-02 11:30:00,long,5072.0,5062.5,-47.5,1
2024-05-02 13:15:00,2024-05-02 13:55:00,long,5075.75,5077.75,10.0,1
2024-05-03 11:50:00,2024-05-03 12:20:00,long,5143.25,5147.5,21.25,1
2024-05-03 14:25:00,2024-05-03 14:30:00,long,5160.25,5159.25,-5.0,1
2024-05-06 09:45:00,2024-05-06 10:20:00,long,5183.0,5183.0,0.0,1
2024-05-06 13:05:00,2024-05-06 13:20:00,long,5189.0,5184.75,-21.25,1
2024-05-06 14:10:00,2024-05-06 14:15:00,long,5192.5,5192.5,0.0,1
2024-05-07 11:05:00,2024-05-07 11:25:00,long,5222.0,5221.75,-1.25,1
2024-05-08 09:50:00,2024-05-08 10:15:00,long,5202.75,5201.75,-5.0,1
2024-05-08 10:50:00,2024-05-08 11:00:00,long,5215.5,5214.0,-7.5,1
2024-05-08 14:05:00,2024-05-08 14:40:00,long,5211.0,5212.5,7.5,1
