entry_time,exit_time,side,entry_price,exit_price,pnl,contracts
2024-03-04 13:30:00,2024-03-04 13:45:00,short,5141.75,5144.0,-11.25,1
2024-03-05 10:15:00,2024-03-05 11:00:00,short,5104.5,5095.25,46.25,1
2024-03-05 13:50:00,2024-03-05 14:10:00,short,5084.25,5085.0,-3.75,1
2024-03-06 10:05:00,2024-03-06 10:25:00,short,5102.0,5108.5,-32.5,1
2024-03-06 13:35:00,2024-03-06 13:45:00,short,5118.0,5125.0,-35.0,1
2024-03-08 11:10:00,2024-03-08 11:55:00,short,5168.25,5154.75,67.5,1
2024-03-08 13:05:00,2024-03-08 13:55:00,short,5134.0,5125.5,42.5,1
2024-03-11 10:05:00,2024-03-11 10:35:00,short,5100.25,5108.0,-38.75,1
2024-03-12 09:45:00,2024-03-12 10:00:00,short,5123.25,5143.5,-101.25,1
2024-03-12 12:20:00,2024-03-12 12:55:00,short,5162.0,5153.5,42.5,1
2024-03-14 09:50:00,2024-03-14 10:15:00,short,5155.5,5157.5,-10.0,1
2024-03-14 13:20:00,2024-03-14 13:45:00,short,5137.5,5143.25,-28.75,1
2024-03-18 11:55:00,2024-03-18 12:10:00,short,5225.5,5226.25,-3.75,1
2024-03-18 13:05:00,2024-03-18 13:25:00,short,5219.5,5225.25,-28.75,1
2024-03-20 11:50:00,2024-03-20 12:30:00,short,5239.75,5240.25,-2.5,1
2024-03-21 14:00:00,2024-03-21 14:20:00,short,5309.5,5309.75,-1.25,1
2024-03-22 11:00:00,2024-03-22 11:05:00,short,5290.25,5294.25,-20.0,1
2024-03-26 13:00:00,2024-03-26 13:15:00,short,5287.0,5288.5,-7.5,1
2024-03-27 10:05:00,2024-03-27 10:40:00,short,5276.5,5278.0,-7.5,1
2024-03-28 12:50:00,2024-03-28 12:55:00,short,5308.75,5309.75,-5.0,1
2024-04-01 10:20:00,2024-04-01 11:15:00,short,5303.0,5292.25,53.75,1
2024-04-01 12:00:00,2024-04-01 12:05:00,short,5283.75,5288.5,-23.75,1
2024-04-01 13:25:00,2024-04-01 13:35:00,short,5283.5,5286.5,-15.0,1
2024-04-02 12:20:00,2024-04-02 12:35:00,short,5240.75,5245.5,-23.75,1
2024-04-03 12:05:00,2024-04-03 12:20:00,short,5270.0,5274.25,-21.25,1
2024-04-04 10:20:00,2024-04-04 10:45:00,short,5297.5,5298.5,-5.0,1
2024-04-04 13:35:00,2024-04-04 15:10:00,short,5299.5,5225.5,370.0,1
2024-04-05 13:20:00,2024-04-05 14:10:00,short,5256.25,5256.0,1.25,1
2024-04-05 14:30:00,2024-04-05 14:35:00,short,5246.0,5249.25,-16.25,1
2024-04-08 11:50:00,2024-04-08 12:30:00,short,5254.5,5252.0,12.5,1
2024-04-09 09:50:00,2024-04-09 11:00:00,short,5257.5,5220.5,185.0,1
2024-04-10 11:20:00,2024-04-10 11:55:00,short,5200.5,5197.5,15.0,1
2024-04-10 13:10:00,2024-04-10 13:20:00,short,5185.75,5199.5,-68.75,1
2024-04-11 10:05:00,2024-04-11 10:40:00,short,5199.0,5195.0,20.0,1
2024-04-12 10:40:00,2024-04-12 11:05:00,short,5189.75,5189.75,0.0,1
2024-04-15 10:10:00,2024-04-15 10:50:00,short,5190.5,5182.0,42.5,1
2024-04-16 09:40:00,2024-04-16 10:00:00,short,5098.5,5102.25,-18.75,1
2024-04-16 11:00:00,2024-04-16 11:05:00,short,5088.5,5091.75,-16.25,1
2024-04-17 10:10:00,2024-04-17 10:45:00,short,5103.75,5094.5,46.25,1
2024-04-17 11:30:00,2024-04-17 11:45:00,short,5077.0,5075.0,10.0,1
2024-04-17 12:45:00,2024-04-17 12:50:00,short,5050.25,5056.75,-32.5,1
2024-04-18 09:40:00,2024-04-18 09:50:00,short,5052.5,5065.25,-63.75,1
2024-04-18 12:15:00,2024-04-18 12:40:00,short,5076.5,5077.0,-2.5,1
2024-04-18 12:50:00,2024-04-18 13:30:00,short,5066.5,5056.0,52.5,1
2024-04-19 10:40:00,2024-04-19 10:45:00,short,5029.75,5039.0,-46.25,1
2024-04-19 12:15:00,2024-04-19 12:45:00,short,5010.5,5012.25,-8.75,1
2024-04-22 10:30:00,2024-04-22 10:45:00,short,5016.25,5021.0,-23.75,1
2024-04-24 10:45:00,2024-04-24 11:30:00,short,5105.25,5097.25,40.0,1
2024-04-26 14:30:00,2024-04-26 14:40:00,short,5137.25,5138.25,-5.0,1
2024-04-29 09:55:00,2024-04-29 10:05:00,short,5139.0,5144.75,-28.75,1
2024-04-29 11:40:00,2024-04-29 11:45:00,short,5137.75,5142.5,-23.75,1
2024-04-29 14:30:00,2024-04-29 14:50:00,short,5143.25,5140.75,12.5,1
2024-04-30 11:10:00,2024-04-30 12:00:00,short,5118.75,5111.0,38.75,1
2024-04-30 12:40:00,2024-04-30 13:00:00,short,5097.75,5097.75,0.0,1
2024-05-01 10:00:00,2024-05-01 10:30:00,short,5052.0,5052.0,0.0,1
2024-05-01 13:20:00,2024-05-01 13:25:00,short,5043.0,5050.5,-37.5,1
2024-05-02 09:40:00,2024-05-02 10:20:00,short,5067.5,5051.5,80.0,1
2024-05-03 10:25:00,2024-05-03 10:45:00,short,5136.5,5144.0,-37.5,1
2024-05-09 12:00:00,2024-05-09 12:25:00,short,5222.5,5227.0,-22.5,1
2024-05-14 12:10:00,2024-05-14 12:45:00,short,5248.0,5243.25,23.75,1
2024-05-16 12:35:00,2024-05-16 12:45:00,short,5337.5,5338.75,-6.25,1
2024-05-16 13:25:00,2024-05-16 14:00:00,short,5329.5,5334.0,-22.5,1
2024-05-17 09:45:00,2024-05-17 10:05:00,short,5318.0,5321.25,-16.25,1
2024-05-17 11:35:00,2024-05-17 11:55:00,short,5318.0,5319.0,-5.0,1
2024-05-17 14:15:00,2024-05-17 14:35:00,short,5311.0,5312.75,-8.75,1
2024-05-20 12:20:00,2024-05-20 12:40:00,short,5341.0,5342.75,-8.75,1
2024-05-21 12:05:00,2024-05-21 12:20:00,short,5331.0,5334.0,-15.0,1
2024-05-22 11:50:00,2024-05-22 12:10:00,short,5339.25,5339.75,-2.5,1
2024-05-22 13:40:00,2024-05-22 14:50:00,short,5332.5,5316.0,82.5,1
2024-05-23 12:55:00,2024-05-23 13:30:00,short,5325.0,5321.75,16.25,1
2024-05-28 09:55:00,2024-05-28 10:20:00,short,5320.5,5322.5,-10.0,1
2024-05-28 13:55:00,2024-05-28 14:05:00,short,5313.5,5317.25,-18.75,1
2024-05-29 11:35:00,2024-05-29 11:55:00,short,5288.0,5291.25,-16.25,1
2024-05-30 10:50:00,2024-05-30 11:10:00,short,5259.75,5259.25,2.5,1
2024-05-30 14:25:00,2024-05-30 15:00:00,short,5265.75,5265.75,0.0,1
2024-05-31 09:55:00,2024-05-31 11:00:00,short,5253.75,5230.75,115.0,1
2024-05-31 12:05:00,2024-05-31 12:35:00,short,5216.25,5211.5,23.75,1
2024-06-03 10:00:00,2024-06-03 10:05:00,short,5301.25,5299.25,10.0,1
2024-06-03 10:50:00,2024-06-03 11:10:00,short,5285.75,5283.0,13.75,1
2024-06-03 12:15:00,2024-06-03 12:50:00,short,5265.75,5261.0,23.75,1
2024-06-04 11:45:00,2024-06-04 11:55:00,short,5275.75,5276.75,-5.0,1
2024-06-06 12:40:00,2024-06-06 12:50:00,short,5353.5,5353.5,0.0,1
2024-06-07 14:10:00,2024-06-07 14:40:00,short,5359.75,5365.5,-28.75,1
2024-06-10 13:40:00,2024-06-10 13:45:00,short,5358.5,5363.0,-22.5,1
2024-06-11 09:40:00,2024-06-11 10:05:00,short,5348.5,5342.75,28.75,1
2024-06-11 12:25:00,2024-06-11 12:30:00,short,5351.25,5353.0,-8.75,1
2024-06-12 14:00:00,2024-06-12 14:20:00,short,5439.25,5438.75,2.5,1
2024-06-13 10:05:00,2024-06-13 10:40:00,short,5430.5,5425.75,23.75,1
2024-06-19 10:20:00,2024-06-19 10:40:00,short,5494.0,5493.75,1.25,1
2024-06-20 10:15:00,2024-06-20 10:30:00,short,5494.0,5497.75,-18.75,1
2024-06-20 12:00:00,2024-06-20 12:45:00,short,5490.5,5476.25,71.25,1
2024-06-24 11:15:00,2024-06-24 11:30:00,short,5550.25,5550.5,-1.25,1
2024-06-24 13:05:00,2024-06-24 13:40:00,short,5540.25,5533.5,33.75,1
2024-06-25 12:35:00,2024-06-25 13:10:00,short,5518.0,5517.75,1.25,1
2024-06-27 11:15:00,2024-06-27 11:50:00,short,5540.75,5536.0,23.75,1
2024-06-27 14:05:00,2024-06-27 14:50:00,short,5536.25,5535.0,6.25,1
2024-06-28 14:30:00,2024-06-28 15:20:00,short,5535.25,5530.75,22.5,1
