entry_time,exit_time,side,entry_price,exit_price,pnl,contracts
2024-03-04 13:50:00,2024-03-04 14:15:00,short,2122.5,2122.7,-2.0,1
2024-03-05 11:15:00,2024-03-05 11:30:00,short,2135.5,2134.7,8.0,1
2024-03-06 12:45:00,2024-03-06 13:05:00,short,2151.7,2154.4,-27.0,1
2024-03-11 12:35:00,2024-03-11 12:55:00,short,2187.0,2187.9,-9.0,1
2024-03-11 13:45:00,2024-03-11 14:35:00,short,2186.1,2184.3,18.0,1
2024-03-14 11:35:00,2024-03-14 11:55:00,short,2162.0,2161.7,3.0,1
2024-03-15 11:50:00,2024-03-15 12:10:00,short,2162.1,2165.6,-35.0,1
2024-03-18 12:05:00,2024-03-18 12:25:00,short,2158.2,2160.5,-23.0,1
2024-03-19 09:45:00,2024-03-19 10:15:00,short,2154.9,2154.8,1.0,1
2024-03-21 09:35:00,2024-03-21 10:45:00,short,2202.0,2179.8,222.0,1
2024-03-22 10:35:00,2024-03-22 10:45:00,short,2173.7,2175.9,-22.0,1
2024-03-22 12:55:00,2024-03-22 13:00:00,short,2164.0,2164.3,-3.0,1
2024-03-25 14:10:00,2024-03-25 14:25:00,short,2174.4,2175.1,-7.0,1
2024-03-26 09:45:00,2024-03-26 10:00:00,short,2181.4,2183.6,-22.0,1
2024-03-26 11:10:00,2024-03-26 11:25:00,short,2179.6,2178.6,10.0,1
2024-03-26 11:35:00,2024-03-26 12:00:00,short,2177.8,2174.8,30.0,1
2024-03-27 11:30:00,2024-03-27 12:05:00,short,2188.7,2189.5,-8.0,1
2024-04-29 13:55:00,2024-04-29 14:05:00,short,2352.1,2354.8,-27.0,1
2024-04-30 10:15:00,2024-04-30 11:10:00,short,2311.7,2307.7,40.0,1
2024-05-01 10:55:00,2024-05-01 11:05:00,short,2312.0,2315.2,-32.0,1
2024-05-01 11:15:00,2024-05-01 11:25:00,short,2315.7,2316.4,-7.0,1
2024-05-01 12:25:00,2024-05-01 12:50:00,short,2313.8,2315.1,-13.0,1
2024-05-01 13:30:00,2024-05-01 14:00:00,short,2310.7,2310.8,-1.0,1
2024-05-06 11:00:00,2024-05-06 11:05:00,short,2329.7,2329.7,0.0,1
2024-05-07 11:20:00,2024-05-07 11:40:00,short,2324.5,2323.1,14.0,1
2024-05-08 13:00:00,2024-05-08 13:30:00,short,2324.9,2322.3,26.0,1
2024-05-08 14:25:00,2024-05-08 14:30:00,short,2319.8,2319.8,0.0,1
2024-05-09 12:05:00,2024-05-09 12:20:00,short,2337.8,2338.5,-7.0,1
2024-05-10 11:00:00,2024-05-10 11:15:00,short,2367.2,2368.6,-14.0,1
2024-05-13 09:50:00,2024-05-13 10:15:00,short,2347.0,2349.1,-21.0,1
2024-05-13 10:20:00,2024-05-13 10:25:00,short,2347.9,2350.7,-28.0,1
2024-05-13 11:10:00,2024-05-13 11:50:00,short,2342.3,2340.3,20.0,1
2024-05-14 12:25:00,2024-05-14 12:30:00,short,2354.5,2354.8,-3.0,1
2024-05-15 09:50:00,2024-05-15 10:10:00,short,2364.7,2368.2,-35.0,1
2024-05-17 13:05:00,2024-05-17 13:20:00,short,2410.8,2415.2,-44.0,1
2024-05-21 11:45:00,2024-05-21 12:25:00,short,2427.5,2424.5,30.0,1
2024-05-21 13:55:00,2024-05-21 14:15:00,short,2423.9,2423.5,4.0,1
2024-05-22 10:15:00,2024-05-22 10:50:00,short,2397.0,2393.5,35.0,1
2024-05-22 13:45:00,2024-05-22 14:05:00,short,2390.6,2391.7,-11.0,1
2024-05-22 14:15:00,2024-05-22 15:00:00,short,2389.1,2380.9,82.0,1
2024-05-23 09:55:00,2024-05-23 10:05:00,short,2355.4,2357.7,-23.0,1
2024-05-23 12:50:00,2024-05-23 13:15:00,short,2342.6,2343.3,-7.0,1
2024-05-23 13:30:00,2024-05-23 13:35:00,short,2337.9,2340.2,-23.0,1
2024-05-23 13:40:00,2024-05-23 13:50:00,short,2336.4,2338.5,-21.0,1
2024-05-24 11:50:00,2024-05-24 12:15:00,short,2335.5,2336.0,-5.0,1
2024-05-27 14:20:00,2024-05-27 18:05:00,short,2353.6,2353.6,0.0,1
2024-05-28 12:50:00,2024-05-28 13:25:00,short,2357.1,2355.1,20.0,1
2024-05-29 11:25:00,2024-05-29 11:50:00,short,2340.4,2340.5,-1.0,1
2024-05-30 11:00:00,2024-05-30 11:35:00,short,2341.3,2341.8,-5.0,1
2024-06-27 14:20:00,2024-06-27 14:50:00,short,2334.5,2334.5,0.0,1
2024-06-28 09:35:00,2024-06-28 10:00:00,short,2338.3,2341.7,-34.0,1
2024-06-28 13:40:00,2024-06-28 14:15:00,short,2338.2,2338.6,-4.0,1
2024-07-01 13:05:00,2024-07-01 13:30:00,short,2337.4,2339.1,-17.0,1
2024-07-02 12:05:00,2024-07-02 12:30:00,short,2332.6,2332.6,0.0,1
2024-07-03 12:30:00,2024-07-03 13:15:00,short,2367.8,2365.4,24.0,1
