entry_time,exit_time,side,entry_price,exit_price,pnl,contracts
2024-03-01 09:35:00,2024-03-01 09:50:00,long,18134.0,18120.0,-28.0,1
2024-03-01 10:55:00,2024-03-01 11:15:00,long,18190.0,18216.75,53.5,1
2024-03-01 11:20:00,2024-03-01 11:25:00,long,18232.25,18230.5,-3.5,1
2024-03-01 12:30:00,2024-03-01 13:30:00,long,18266.0,18318.5,105.0,1
2024-03-04 09:50:00,2024-03-04 10:10:00,short,18298.0,18301.25,-6.5,1
2024-03-04 13:25:00,2024-03-04 13:35:00,short,18273.75,18294.0,-40.5,1
2024-03-05 09:35:00,2024-03-05 10:05:00,short,18075.0,18068.75,12.5,1
2024-03-05 12:45:00,2024-03-05 13:00:00,long,17957.75,17952.25,-11.0,1
2024-03-05 13:25:00,2024-03-05 14:05:00,short,17912.25,17886.75,51.0,1
2024-03-06 10:05:00,2024-03-06 10:30:00,short,17994.5,18017.25,-45.5,1
2024-03-06 11:05:00,2024-03-06 11:30:00,long,18082.5,18097.75,30.5,1
2024-03-06 13:35:00,2024-03-06 13:45:00,short,18087.5,18124.75,-74.5,1
2024-03-06 13:50:00,2024-03-06 14:00:00,short,18045.5,18078.25,-65.5,1
2024-03-07 09:35:00,2024-03-07 09:45:00,long,18190.25,18163.0,-54.5,1
2024-03-07 10:40:00,2024-03-07 10:55:00,long,18252.25,18242.75,-19.0,1
2024-03-07 12:00:00,2024-03-07 12:15:00,long,18301.5,18310.0,17.0,1
2024-03-07 12:20:00,2024-03-07 12:25:00,long,18321.25,18313.75,-15.0,1
2024-03-07 13:45:00,2024-03-07 14:10:00,long,18342.75,18340.25,-5.0,1
2024-03-08 10:05:00,2024-03-08 10:40:00,long,18396.25,18381.5,-29.5,1
2024-03-08 11:10:00,2024-03-08 11:45:00,short,18267.0,18224.25,85.5,1
2024-03-08 13:05:00,2024-03-08 13:50:00,short,18060.0,18028.5,63.0,1
2024-03-11 09:45:00,2024-03-11 09:50:00,long,17980.25,17966.0,-28.5,1
2024-03-11 10:05:00,2024-03-11 10:35:00,short,17908.75,17972.25,-127.0,1
2024-03-11 11:00:00,2024-03-11 11:15:00,long,18000.75,17964.0,-73.5,1
2024-03-11 11:45:00,2024-03-11 11:55:00,short,17954.25,17978.25,-48.0,1
2024-03-11 12:30:00,2024-03-11 12:50:00,long,17975.25,17973.75,-3.0,1
2024-03-12 09:40:00,2024-03-12 10:00:00,short,17986.0,18047.5,-123.0,1
2024-03-12 12:10:00,2024-03-12 12:50:00,short,18145.0,18098.75,92.5,1
2024-03-12 13:40:00,2024-03-12 14:25:00,long,18149.25,18184.5,70.5,1
2024-03-13 09:35:00,2024-03-13 10:25:00,short,18144.75,18099.5,90.5,1
2024-03-13 11:50:00,2024-03-13 12:00:00,short,18058.0,18087.75,-59.5,1
2024-03-13 13:30:00,2024-03-13 13:35:00,long,18134.75,18119.75,-30.0,1
2024-03-14 09:50:00,2024-03-14 10:15:00,short,18028.25,18062.75,-69.0,1
2024-03-14 13:20:00,2024-03-14 13:25:00,short,17968.5,17994.5,-52.0,1
2024-03-14 14:00:00,2024-03-14 14:30:00,long,18046.0,18052.0,12.0,1
2024-03-18 09:35:00,2024-03-18 10:00:00,long,18317.5,18289.0,-57.0,1
2024-03-18 10:45:00,2024-03-18 10:50:00,long,18368.25,18363.25,-10.0,1
2024-03-18 11:30:00,2024-03-18 12:05:00,short,18319.75,18284.75,70.0,1
2024-03-18 13:00:00,2024-03-18 13:25:00,short,18249.25,18278.75,-59.0,1
2024-03-19 12:20:00,2024-03-19 13:10:00,long,18185.0,18242.75,115.5,1
2024-03-20 09:45:00,2024-03-20 10:25:00,short,18255.25,18285.75,-61.0,1
2024-03-20 13:45:00,2024-03-20 13:55:00,short,18252.0,18271.5,-39.0,1
2024-03-21 11:55:00,2024-03-21 12:30:00,long,18686.5,18703.0,33.0,1
2024-03-21 13:25:00,2024-03-21 13:45:00,short,18660.25,18663.0,-5.5,1
2024-03-22 11:35:00,2024-03-22 12:05:00,long,18559.0,18553.25,-11.5,1
2024-03-22 13:05:00,2024-03-22 13:40:00,long,18586.25,18593.5,14.5,1
2024-03-25 09:45:00,2024-03-25 09:50:00,short,18423.25,18466.0,-85.5,1
2024-03-25 10:10:00,2024-03-25 10:50:00,long,18497.0,18507.75,21.5,1
2024-03-25 14:15:00,2024-03-25 14:25:00,long,18564.0,18558.0,-12.0,1
2024-03-26 10:10:00,2024-03-26 10:25:00,long,18594.25,18588.0,-12.5,1
2024-03-26 10:45:00,2024-03-26 11:10:00,short,18543.0,18566.25,-46.5,1
2024-03-26 12:45:00,2024-03-26 13:15:00,short,18547.75,18552.5,-9.5,1
2024-03-27 12:35:00,2024-03-27 13:05:00,long,18440.75,18433.75,-14.0,1
2024-03-28 12:25:00,2024-03-28 12:55:00,short,18479.25,18484.0,-9.5,1
2024-04-01 09:35:00,2024-04-01 10:05:00,long,18550.5,18550.5,0.0,1
2024-04-01 12:40:00,2024-04-01 13:00:00,long,18478.5,18469.25,-18.5,1
2024-04-01 13:25:00,2024-04-01 13:45:00,short,18426.75,18463.5,-73.5,1
2024-04-01 14:25:00,2024-04-01 14:45:00,long,18477.5,18471.75,-11.5,1
2024-04-02 11:25:00,2024-04-02 11:40:00,long,18267.75,18265.25,-5.0,1
2024-04-02 12:20:00,2024-04-02 12:35:00,short,18235.5,18260.25,-49.5,1
2024-04-02 12:50:00,2024-04-02 13:15:00,long,18280.5,18279.75,-1.5,1
2024-04-03 10:05:00,2024-04-03 10:50:00,long,18352.25,18410.25,116.0,1
2024-04-03 12:00:00,2024-04-03 12:20:00,short,18404.0,18415.25,-22.5,1
2024-04-04 11:55:00,2024-04-04 12:35:00,long,18527.75,18553.5,51.5,1
2024-04-04 13:40:00,2024-04-04 15:10:00,short,18538.0,18204.25,667.5,1
2024-04-05 10:00:00,2024-04-05 10:30:00,long,18206.75,18203.5,-6.5,1
2024-04-05 12:00:00,2024-04-05 12:30:00,long,18356.75,18356.25,-1.0,1
2024-04-05 13:55:00,2024-04-05 14:10:00,short,18317.75,18323.5,-11.5,1
