entry_time,exit_time,side,entry_price,exit_price,pnl,contracts
2024-03-01 09:35:00,2024-03-01 09:50:00,long,18134.0,18120.0,-28.0,1
2024-03-01 10:55:00,2024-03-01 11:15:00,long,18190.0,18216.75,53.5,1
2024-03-01 11:20:00,2024-03-01 11:25:00,long,18232.25,18230.5,-3.5,1
2024-03-01 12:30:00,2024-03-01 13:30:00,long,18266.0,18318.5,105.0,1
2024-03-05 12:45:00,2024-03-05 13:00:00,long,17957.75,17952.25,-11.0,1
2024-03-06 11:05:00,2024-03-06 11:30:00,long,18082.5,18097.75,30.5,1
2024-03-07 09:35:00,2024-03-07 09:45:00,long,18190.25,18163.0,-54.5,1
2024-03-07 10:40:00,2024-03-07 10:55:00,long,18252.25,18242.75,-19.0,1
2024-03-07 12:00:00,2024-03-07 12:15:00,long,18301.5,18310.0,17.0,1
2024-03-07 12:20:00,2024-03-07 12:25:00,long,18321.25,18313.75,-15.0,1
2024-03-07 13:45:00,2024-03-07 14:10:00,long,18342.75,18340.25,-5.0,1
2024-03-08 10:05:00,2024-03-08 10:40:00,long,18396.25,18381.5,-29.5,1
2024-03-11 09:45:00,2024-03-11 09:50:00,long,17980.25,17966.0,-28.5,1
2024-03-11 11:00:00,2024-03-11 11:15:00,long,18000.75,17964.0,-73.5,1
2024-03-11 12:30:00,2024-03-11 12:50:00,long,17975.25,17973.75,-3.0,1
2024-03-12 13:40:00,2024-03-12 14:25:00,long,18149.25,18184.5,70.5,1
2024-03-13 13:30:00,2024-03-13 13:35:00,long,18134.75,18119.75,-30.0,1
2024-03-14 14:00:00,2024-03-14 14:30:00,long,18046.0,18052.0,12.0,1
2024-03-18 09:35:00,2024-03-18 10:00:00,long,18317.5,18289.0,-57.0,1
2024-03-18 10:45:00,2024-03-18 10:50:00,long,18368.25,18363.25,-10.0,1
2024-03-19 12:20:00,2024-03-19 13:10:00,long,18185.0,18242.75,115.5,1
2024-03-21 11:55:00,2024-03-21 12:30:00,long,18686.5,18703.0,33.0,1
2024-03-22 11:35:00,2024-03-22 12:05:00,long,18559.0,18553.25,-11.5,1
2024-03-22 13:05:00,2024-03-22 13:40:00,long,18586.25,18593.5,14.5,1
2024-03-25 10:10:00,2024-03-25 10:50:00,long,18497.0,18507.75,21.5,1
2024-03-25 14:15:00,2024-03-25 14:25:00,long,18564.0,18558.0,-12.0,1
2024-03-26 10:10:00,2024-03-26 10:25:00,long,18594.25,18588.0,-12.5,1
2024-03-27 12:35:00,2024-03-27 13:05:00,long,18440.75,18433.75,-14.0,1
2024-04-01 09:35:00,2024-04-01 10:05:00,long,18550.5,18550.5,0.0,1
2024-04-01 12:40:00,2024-04-01 13:00:00,long,18478.5,18469.25,-18.5,1
2024-04-01 14:25:00,2024-04-01 14:45:00,long,18477.5,18471.75,-11.5,1
2024-04-02 11:25:00,2024-04-02 11:40:00,long,18267.75,18265.25,-5.0,1
2024-04-02 12:50:00,2024-04-02 13:15:00,long,18280.5,18279.75,-1.5,1
2024-04-03 10:05:00,2024-04-03 10:50:00,long,18352.25,18410.25,116.0,1
2024-04-04 11:55:00,2024-04-04 12:35:00,long,18527.75,18553.5,51.5,1
2024-04-05 10:00:00,2024-04-05 10:30:00,long,18206.75,18203.5,-6.5,1
2024-04-05 12:00:00,2024-04-05 12:30:00,long,18356.75,18356.25,-1.0,1
2024-04-08 10:40:00,2024-04-08 11:00:00,long,18352.5,18364.5,24.0,1
2024-04-09 11:50:00,2024-04-09 12:30:00,long,18269.75,18284.5,29.5,1
2024-04-10 09:55:00,2024-04-10 10:30:00,long,18193.25,18178.5,-29.5,1
2024-04-10 13:00:00,2024-04-10 13:05:00,long,18191.75,18144.0,-95.5,1
2024-04-11 11:25:00,2024-04-11 11:35:00,long,18259.5,18255.5,-8.0,1
2024-04-11 12:05:00,2024-04-11 12:20:00,long,18312.5,18312.0,-1.0,1
2024-04-11 13:10:00,2024-04-11 14:00:00,long,18374.0,18436.75,125.5,1
2024-04-12 11:45:00,2024-04-12 12:05:00,long,18267.75,18248.5,-38.5,1
2024-04-17 13:35:00,2024-04-17 14:05:00,long,17713.5,17737.0,47.0,1
2024-04-22 13:15:00,2024-04-22 14:05:00,long,17309.0,17392.75,167.5,1
2024-04-23 09:50:00,2024-04-23 10:50:00,long,17486.5,17565.5,158.0,1
2024-04-23 14:00:00,2024-04-23 14:35:00,long,17637.0,17645.25,16.5,1
2024-04-24 13:25:00,2024-04-24 14:05:00,long,17646.25,17681.0,69.5,1
2024-04-25 10:20:00,2024-04-25 10:35:00,long,17428.5,17382.5,-92.0,1
2024-04-25 12:25:00,2024-04-25 13:10:00,long,17453.5,17494.0,81.0,1
2024-04-25 13:40:00,2024-04-25 14:05:00,long,17546.25,17561.25,30.0,1
2024-04-26 10:00:00,2024-04-26 10:30:00,long,17787.0,17795.5,17.0,1
2024-04-26 13:05:00,2024-04-26 13:35:00,long,17877.5,17892.5,30.0,1
2024-04-29 12:20:00,2024-04-29 12:50:00,long,17900.25,17900.5,0.5,1
2024-04-29 13:40:00,2024-04-29 14:05:00,long,17922.25,17901.75,-41.0,1
2024-04-30 14:10:00,2024-04-30 14:15:00,long,17726.0,17717.75,-16.5,1
2024-05-01 13:55:00,2024-05-01 15:20:00,long,17471.0,17744.25,546.5,1
2024-05-02 11:10:00,2024-05-02 11:30:00,long,17556.5,17520.75,-71.5,1
2024-05-02 13:20:00,2024-05-02 13:55:00,long,17579.25,17582.75,7.0,1
2024-05-03 11:45:00,2024-05-03 12:20:00,long,17981.0,17984.5,7.0,1
2024-05-03 14:25:00,2024-05-03 14:45:00,long,18017.25,18012.5,-9.5,1
2024-05-06 09:50:00,2024-05-06 10:15:00,long,18100.0,18098.0,-4.0,1
2024-05-06 13:05:00,2024-05-06 13:50:00,long,18116.5,18120.75,8.5,1
2024-05-06 14:10:00,2024-05-06 14:15:00,long,18133.5,18130.75,-5.5,1
2024-05-07 11:00:00,2024-05-07 11:30:00,long,18250.25,18246.0,-8.5,1
2024-05-08 09:45:00,2024-05-08 10:40:00,long,18124.25,18201.0,153.5,1
