entry_time,exit_time,side,entry_price,exit_price,pnl,contracts
2024-03-04 09:50:00,2024-03-04 10:10:00,short,18298.0,18301.25,-6.5,1
2024-03-04 13:25:00,2024-03-04 13:35:00,short,18273.75,18294.0,-40.5,1
2024-03-05 09:35:00,2024-03-05 10:05:00,short,18075.0,18068.75,12.5,1
2024-03-05 13:25:00,2024-03-05 14:05:00,short,17912.25,17886.75,51.0,1
2024-03-06 10:05:00,2024-03-06 10:30:00,short,17994.5,18017.25,-45.5,1
2024-03-06 13:35:00,2024-03-06 13:45:00,short,18087.5,18124.75,-74.5,1
2024-03-06 13:50:00,2024-03-06 14:00:00,short,18045.5,18078.25,-65.5,1
2024-03-08 11:10:00,2024-03-08 11:45:00,short,18267.0,18224.25,85.5,1
2024-03-08 13:05:00,2024-03-08 13:50:00,short,18060.0,18028.5,63.0,1
2024-03-11 10:05:00,2024-03-11 10:35:00,short,17908.75,17972.25,-127.0,1
2024-03-11 11:45:00,2024-03-11 11:55:00,short,17954.25,17978.25,-48.0,1
2024-03-12 09:40:00,2024-03-12 10:00:00,short,17986.0,18047.5,-123.0,1
2024-03-12 12:10:00,2024-03-12 12:50:00,short,18145.0,18098.75,92.5,1
2024-03-13 09:35:00,2024-03-13 10:25:00,short,18144.75,18099.5,90.5,1
2024-03-13 11:50:00,2024-03-13 12:00:00,short,18058.0,18087.75,-59.5,1
2024-03-14 09:50:00,2024-03-14 10:15:00,short,18028.25,18062.75,-69.0,1
2024-03-14 13:20:00,2024-03-14 13:25:00,short,17968.5,17994.5,-52.0,1
2024-03-18 11:30:00,2024-03-18 12:05:00,short,18319.75,18284.75,70.0,1
2024-03-18 13:00:00,2024-03-18 13:25:00,short,18249.25,18278.75,-59.0,1
2024-03-20 09:45:00,2024-03-20 10:25:00,short,18255.25,18285.75,-61.0,1
2024-03-20 13:45:00,2024-03-20 13:55:00,short,18252.0,18271.5,-39.0,1
2024-03-21 13:25:00,2024-03-21 13:45:00,short,18660.25,18663.0,-5.5,1
2024-03-25 09:45:00,2024-03-25 09:50:00,short,18423.25,18466.0,-85.5,1
2024-03-26 10:45:00,2024-03-26 11:10:00,short,18543.0,18566.25,-46.5,1
