entry_time,exit_time,side,entry_price,exit_price,pnl,contracts
2024-03-04 09:35:00,2024-03-04 15:20:00,long,2104.6,2125.0,204.0,1
2024-03-21 09:35:00,2024-03-21 09:55:00,long,2202.0,2196.3,-57.0,1
2024-03-25 09:35:00,2024-03-25 14:05:00,long,2178.8,2174.7,-41.0,1
2024-05-10 09:35:00,2024-05-10 11:00:00,long,2373.4,2367.2,-62.0,1
2024-05-15 09:35:00,2024-05-15 09:50:00,long,2373.5,2364.7,-88.0,1
2024-05-17 09:35:00,2024-05-17 15:20:00,long,2405.4,2420.0,146.0,1
2024-05-24 09:35:00,2024-05-24 09:50:00,long,2345.8,2340.7,-51.0,1
2024-06-05 14:40:00,2024-06-06 11:30:00,long,2354.5,2375.6,211.0,1
2024-06-21 13:05:00,2024-06-24 09:40:00,long,2320.8,2331.0,102.0,1
2024-07-03 09:35:00,2024-07-03 15:20:00,long,2360.9,2365.5,46.0,1
2024-07-29 09:35:00,2024-07-29 10:35:00,long,2390.8,2386.8,-40.0,1
2024-08-12 15:35:00,2024-08-12 21:15:00,long,2470.0,2464.0,-60.0,1
2024-11-19 09:35:00,2024-11-19 15:20:00,long,2631.1,2635.5,44.0,1
2024-11-27 09:35:00,2024-11-27 10:05:00,long,2653.1,2640.5,-126.0,1
2024-12-22 19:35:00,2024-12-23 10:40:00,long,2622.0,2608.9,-131.0,1
2025-01-02 09:35:00,2025-01-02 15:20:00,long,2662.4,2671.0,86.0,1
2025-01-07 09:35:00,2025-01-07 10:05:00,long,2675.0,2659.5,-155.0,1
2025-04-08 13:00:00,2025-04-10 21:00:00,long,2975.0,3208.2,2332.0,1
2025-05-23 09:35:00,2025-05-23 15:20:00,long,3341.9,3364.8,229.0,1
2025-06-02 09:50:00,2025-06-02 16:30:00,long,3370.8,3379.1,83.0,1
2025-06-04 22:30:00,2025-06-05 06:15:00,long,3371.4,3392.4,210.0,1
2025-07-21 09:35:00,2025-07-21 15:20:00,long,3395.9,3411.2,153.0,1
2025-08-01 10:20:00,2025-08-01 12:30:00,long,3351.3,3341.9,-94.0,1
2025-11-19 09:35:00,2025-11-19 10:55:00,long,4114.5,4092.2,-223.0,1
