entry_time,exit_time,side,entry_price,exit_price,pnl,contracts
2024-03-12 09:00:00,2024-03-12 09:10:00,short,2175.4,2168.7999999999997,64.76,1
2024-03-14 08:50:00,2024-03-14 09:00:00,short,2170.4,2167.2,30.76,1
2024-05-03 09:35:00,2024-05-03 10:05:00,short,2290.2000000000003,2302.2,-121.24,1
2024-05-03 10:15:00,2024-05-03 13:35:00,short,2298.4,2309.5,-112.24,1
2024-05-22 10:10:00,2024-05-22 10:20:00,short,2403.3,2392.9,102.76,1
2024-05-22 14:10:00,2024-05-22 14:25:00,short,2391.4,2386.7999999999997,44.76,1
2024-05-23 10:05:00,2024-05-23 10:35:00,short,2357.6,2344.9,125.76,1
2024-07-01 10:00:00,2024-07-01 10:05:00,short,2339.8,2342.4,-27.24,1
2024-07-22 09:45:00,2024-07-22 10:35:00,short,2395.0,2385.7,91.76,1
2024-07-25 09:05:00,2024-07-25 09:20:00,short,2368.6,2372.2,-37.24,1
2024-09-17 13:35:00,2024-09-17 13:45:00,short,2566.9,2570.7,-39.24,1
2024-12-30 10:05:00,2024-12-30 10:15:00,short,2619.4,2616.1,31.76,1
2025-01-13 09:40:00,2025-01-13 09:50:00,short,2684.5,2690.7,-63.24,1
2025-01-23 09:45:00,2025-01-23 09:55:00,short,2746.0,2752.2,-63.24,1
2025-01-27 09:50:00,2025-01-27 10:10:00,short,2752.6,2746.6,58.76,1
2025-03-10 10:05:00,2025-03-10 10:15:00,short,2907.5,2914.4,-70.24,1
2025-03-24 10:00:00,2025-03-24 10:30:00,short,3026.8,3020.7,59.76,1
2025-03-26 10:55:00,2025-03-26 15:20:00,short,3023.6,3022.0,14.76,1
2025-05-13 09:35:00,2025-05-13 10:00:00,short,3245.1,3231.9,130.76,1
2025-05-27 10:05:00,2025-05-27 10:15:00,short,3288.7000000000003,3296.6,-80.24,1
2025-05-28 10:10:00,2025-05-28 11:05:00,short,3304.2000000000003,3295.7999999999997,82.76,1
2025-07-04 09:15:00,2025-07-04 09:45:00,short,3343.4,3347.7999999999997,-45.24,1
2025-07-08 09:35:00,2025-07-08 09:50:00,short,3333.0,3325.2,76.76,1
2025-07-15 15:10:00,2025-07-15 15:20:00,short,3334.6,3334.7,-2.24,1
2025-07-25 08:50:00,2025-07-25 09:10:00,short,3339.1,3342.4,-34.24,1
2025-11-07 10:20:00,2025-11-07 11:15:00,short,3997.4,4007.0,-97.24,1
2026-03-04 09:50:00,2026-03-04 13:15:00,short,5165.2,5136.400000000001,286.76,1
2026-03-05 10:05:00,2026-03-05 10:10:00,short,5106.5,5079.700000000001,266.76,1
