entry_time,exit_time,side,entry_price,exit_price,pnl,contracts
2024-03-13 10:45:00,2024-03-13 10:50:00,long,5175.75,5172.0,-18.75,1
2024-03-14 13:10:00,2024-03-14 13:20:00,long,5145.75,5137.5,-41.25,1
2024-03-22 11:05:00,2024-03-22 13:50:00,long,5294.25,5302.25,40.0,1
2024-04-01 12:05:00,2024-04-01 13:25:00,long,5288.5,5283.5,-25.0,1
2024-04-04 10:30:00,2024-04-04 11:15:00,long,5298.75,5294.0,-23.75,1
2024-04-19 11:10:00,2024-04-19 11:20:00,long,5041.25,5032.0,-46.25,1
2024-04-24 11:30:00,2024-04-24 11:45:00,long,5097.25,5089.25,-40.0,1
2024-04-25 11:55:00,2024-04-25 12:10:00,long,5045.0,5053.75,43.75,1
2024-05-01 13:25:00,2024-05-01 14:05:00,long,5050.5,5064.0,67.5,1
2024-05-28 10:45:00,2024-05-28 13:05:00,long,5323.75,5318.75,-25.0,1
2024-05-30 12:05:00,2024-05-30 13:15:00,long,5266.25,5275.0,43.75,1
2024-06-05 13:30:00,2024-06-05 14:35:00,long,5347.25,5358.25,55.0,1
2024-06-06 13:55:00,2024-06-06 14:05:00,long,5362.5,5356.0,-32.5,1
2024-06-13 11:10:00,2024-06-13 11:20:00,long,5421.75,5418.75,-15.0,1
2024-06-14 11:15:00,2024-06-14 11:45:00,long,5423.0,5418.25,-23.75,1
2024-06-19 10:40:00,2024-06-19 18:05:00,long,5493.75,5493.25,-2.5,1
2024-07-01 11:30:00,2024-07-01 11:40:00,long,5522.0,5518.5,-17.5,1
2024-07-16 11:05:00,2024-07-16 11:35:00,long,5706.25,5698.75,-37.5,1
2024-07-17 11:10:00,2024-07-17 11:15:00,long,5653.75,5649.5,-21.25,1
2024-07-22 12:10:00,2024-07-22 12:55:00,long,5583.5,5597.25,68.75,1
2024-08-20 10:50:00,2024-08-20 11:00:00,long,5622.5,5618.75,-18.75,1
2024-08-23 12:35:00,2024-08-23 12:45:00,long,5620.75,5608.75,-60.0,1
2024-09-02 11:10:00,2024-09-02 11:30:00,long,5666.25,5661.5,-23.75,1
2024-09-16 11:10:00,2024-09-16 12:25:00,long,5619.5,5616.0,-17.5,1
2024-09-18 11:30:00,2024-09-18 11:35:00,long,5636.25,5632.25,-20.0,1
2024-09-24 13:35:00,2024-09-24 14:00:00,long,5788.5,5784.25,-21.25,1
2024-09-26 12:40:00,2024-09-26 12:45:00,long,5792.5,5792.5,0.0,1
2024-09-27 13:45:00,2024-09-27 14:30:00,long,5797.25,5790.25,-35.0,1
2024-10-04 13:15:00,2024-10-04 13:40:00,long,5782.5,5775.25,-36.25,1
2024-10-15 11:35:00,2024-10-15 11:45:00,long,5891.25,5886.0,-26.25,1
2024-10-17 11:10:00,2024-10-17 11:40:00,long,5895.75,5906.0,51.25,1
2024-10-23 12:00:00,2024-10-23 12:05:00,long,5856.0,5847.25,-43.75,1
2024-10-28 12:45:00,2024-10-28 12:50:00,long,5870.75,5868.0,-13.75,1
2024-10-31 12:00:00,2024-10-31 13:10:00,long,5759.25,5768.75,47.5,1
2024-11-11 13:30:00,2024-11-11 15:20:00,long,6022.25,6027.75,27.5,1
2024-11-13 11:50:00,2024-11-13 13:00:00,long,6023.75,6034.25,52.5,1
2024-11-14 11:40:00,2024-11-14 11:50:00,long,6008.5,6001.5,-35.0,1
2024-11-20 12:30:00,2024-11-20 12:55:00,long,5906.5,5906.0,-2.5,1
2024-11-26 13:45:00,2024-11-26 14:20:00,long,6031.5,6024.25,-36.25,1
2024-11-27 10:45:00,2024-11-27 10:55:00,long,6023.75,6018.75,-25.0,1
2024-12-04 11:50:00,2024-12-04 13:30:00,long,6087.0,6082.0,-25.0,1
2024-12-12 12:05:00,2024-12-12 14:00:00,long,6079.25,6073.5,-28.75,1
2025-01-10 11:45:00,2025-01-10 11:50:00,long,5865.75,5859.25,-32.5,1
2025-01-14 12:30:00,2025-01-14 12:35:00,long,5856.0,5846.5,-47.5,1
2025-01-16 11:50:00,2025-01-16 13:30:00,long,5989.5,5982.5,-35.0,1
2025-01-24 11:10:00,2025-01-24 12:55:00,long,6150.5,6145.0,-27.5,1
2025-01-30 10:25:00,2025-01-30 10:30:00,long,6088.75,6076.0,-63.75,1
2025-02-03 10:25:00,2025-02-03 10:30:00,long,5997.25,6009.0,58.75,1
2025-02-05 13:35:00,2025-02-05 15:20:00,long,6073.0,6081.5,42.5,1
2025-02-06 12:20:00,2025-02-06 14:30:00,long,6097.0,6089.75,-36.25,1
2025-02-18 11:30:00,2025-02-18 12:10:00,long,6138.25,6134.5,-18.75,1
2025-02-19 11:05:00,2025-02-19 11:45:00,long,6139.5,6150.5,55.0,1
2025-02-20 11:45:00,2025-02-20 11:50:00,long,6112.5,6108.25,-21.25,1
2025-02-21 12:00:00,2025-02-21 12:15:00,long,6098.25,6094.25,-20.0,1
2025-02-24 12:05:00,2025-02-24 12:10:00,long,6036.25,6033.75,-12.5,1
2025-02-27 12:25:00,2025-02-27 12:30:00,long,5952.25,5966.0,68.75,1
2025-03-03 11:50:00,2025-03-03 12:10:00,long,5949.25,5955.0,28.75,1
2025-03-12 10:55:00,2025-03-12 11:00:00,long,5587.0,5569.5,-87.5,1
2025-03-13 12:05:00,2025-03-13 12:10:00,long,5545.25,5551.0,28.75,1
2025-03-14 12:25:00,2025-03-14 12:30:00,long,5620.5,5613.0,-37.5,1
2025-03-18 13:15:00,2025-03-18 13:20:00,long,5619.25,5610.0,-46.25,1
2025-03-26 10:55:00,2025-03-26 11:20:00,long,5808.5,5805.25,-16.25,1
2025-04-01 12:50:00,2025-04-01 12:55:00,long,5666.5,5674.5,40.0,1
2025-04-04 12:40:00,2025-04-04 12:45:00,long,5190.75,5174.75,-80.0,1
2025-04-16 11:25:00,2025-04-16 11:35:00,long,5394.0,5393.25,-3.75,1
2025-04-28 10:40:00,2025-04-28 10:45:00,long,5555.75,5558.0,11.25,1
