entry_time,exit_time,side,entry_price,exit_price,pnl,contracts
2024-03-05 13:20:00,2024-03-05 14:20:00,short,2138.0,2142.2,-42.0,1
2024-03-06 11:45:00,2024-03-06 14:35:00,long,2153.2,2149.2,-40.0,1
2024-03-08 10:45:00,2024-03-08 11:40:00,short,2180.0,2185.1,-51.0,1
2024-03-11 12:55:00,2024-03-11 15:20:00,long,2187.9,2190.1,22.0,1
2024-03-12 12:15:00,2024-03-12 13:45:00,long,2168.6,2163.6,-50.0,1
2024-03-13 11:35:00,2024-03-13 13:15:00,short,2177.8,2183.5,-57.0,1
2024-03-14 10:30:00,2024-03-14 11:20:00,long,2166.6,2161.7,-49.0,1
2024-03-15 11:30:00,2024-03-15 15:20:00,short,2164.8,2162.3,25.0,1
2024-03-18 10:35:00,2024-03-18 15:20:00,short,2162.7,2164.0,-13.0,1
2024-03-19 11:30:00,2024-03-19 15:20:00,long,2156.6,2160.9,43.0,1
2024-03-20 12:00:00,2024-03-20 14:05:00,short,2158.7,2174.0,-153.0,1
2024-03-22 11:25:00,2024-03-22 12:35:00,long,2171.2,2166.9,-43.0,1
2024-03-26 12:05:00,2024-03-26 15:20:00,long,2175.9,2177.4,15.0,1
2024-03-27 12:40:00,2024-03-27 15:25:00,short,2190.2,2189.8,4.0,1
2024-04-29 13:00:00,2024-04-29 15:20:00,short,2354.7,2348.3,64.0,1
2024-04-30 13:05:00,2024-04-30 13:30:00,long,2307.8,2303.6,-42.0,1
2024-05-01 12:05:00,2024-05-01 14:30:00,short,2315.6,2324.2,-86.0,1
2024-05-10 10:35:00,2024-05-10 11:00:00,long,2371.1,2367.2,-39.0,1
2024-05-17 11:45:00,2024-05-17 12:05:00,short,2409.2,2415.6,-64.0,1
2024-05-21 11:40:00,2024-05-21 15:20:00,short,2430.7,2428.3,24.0,1
2024-05-23 12:05:00,2024-05-23 12:20:00,long,2350.9,2346.2,-47.0,1
2024-05-28 11:40:00,2024-05-28 13:05:00,long,2360.6,2355.4,-52.0,1
2024-05-30 10:45:00,2024-05-30 15:20:00,short,2345.2,2339.1,61.0,1
