entry_time,exit_time,side,entry_price,exit_price,pnl,contracts
2024-03-06 11:45:00,2024-03-06 14:35:00,long,2153.2,2149.2,-40.0,1
2024-03-11 12:55:00,2024-03-11 15:20:00,long,2187.9,2190.1,22.0,1
2024-03-12 12:15:00,2024-03-12 13:45:00,long,2168.6,2163.6,-50.0,1
2024-03-14 10:30:00,2024-03-14 11:20:00,long,2166.6,2161.7,-49.0,1
2024-03-19 11:30:00,2024-03-19 15:20:00,long,2156.6,2160.9,43.0,1
2024-03-22 11:25:00,2024-03-22 12:35:00,long,2171.2,2166.9,-43.0,1
2024-03-26 12:05:00,2024-03-26 15:20:00,long,2175.9,2177.4,15.0,1
2024-04-30 13:05:00,2024-04-30 13:30:00,long,2307.8,2303.6,-42.0,1
2024-05-10 10:35:00,2024-05-10 11:00:00,long,2371.1,2367.2,-39.0,1
2024-05-23 12:05:00,2024-05-23 12:20:00,long,2350.9,2346.2,-47.0,1
2024-05-28 11:40:00,2024-05-28 13:05:00,long,2360.6,2355.4,-52.0,1
2024-07-02 13:10:00,2024-07-02 15:20:00,long,2332.3,2338.1,58.0,1
2024-07-10 13:50:00,2024-07-10 15:20:00,long,2378.7,2378.6,-1.0,1
2024-07-25 10:20:00,2024-07-25 12:10:00,long,2363.4,2358.9,-45.0,1
2024-07-29 12:20:00,2024-07-29 15:20:00,long,2375.5,2378.3,28.0,1
2024-07-30 10:45:00,2024-07-30 11:10:00,long,2389.8,2387.5,-23.0,1
2024-09-02 11:00:00,2024-09-02 18:05:00,long,2511.2,2507.3,-39.0,1
2024-09-03 11:25:00,2024-09-03 13:25:00,long,2489.0,2498.1,91.0,1
2024-09-05 13:45:00,2024-09-05 15:20:00,long,2520.3,2522.2,19.0,1
2024-09-06 11:05:00,2024-09-06 11:10:00,long,2520.0,2514.6,-54.0,1
2024-09-09 13:00:00,2024-09-09 13:55:00,long,2510.2,2506.1,-41.0,1
2024-09-10 10:35:00,2024-09-10 11:40:00,long,2510.5,2520.0,95.0,1
2024-09-11 13:45:00,2024-09-11 15:20:00,long,2518.6,2516.8,-18.0,1
2024-09-13 12:50:00,2024-09-13 15:20:00,long,2586.7,2584.9,-18.0,1
2024-09-16 10:40:00,2024-09-16 15:20:00,long,2583.7,2584.6,9.0,1
2024-09-18 11:20:00,2024-09-18 14:00:00,long,2575.5,2572.0,-35.0,1
2024-11-05 13:45:00,2024-11-05 15:20:00,long,2750.5,2751.1,6.0,1
2024-11-08 11:45:00,2024-11-08 12:00:00,long,2695.5,2690.9,-46.0,1
2024-11-11 11:15:00,2024-11-11 15:20:00,long,2621.6,2629.1,75.0,1
2024-11-12 12:55:00,2024-11-12 15:20:00,long,2604.6,2605.0,4.0,1
2025-01-02 11:40:00,2025-01-02 15:20:00,long,2671.1,2671.0,-1.0,1
2025-01-03 12:45:00,2025-01-03 15:20:00,long,2654.4,2653.6,-8.0,1
2025-01-08 11:45:00,2025-01-08 12:35:00,long,2683.2,2677.0,-62.0,1
2025-01-09 12:50:00,2025-01-09 15:20:00,long,2685.6,2691.5,59.0,1
2025-01-13 12:10:00,2025-01-13 13:30:00,long,2682.4,2679.3,-31.0,1
2025-01-15 12:30:00,2025-01-15 15:20:00,long,2714.1,2719.4,53.0,1
2025-01-28 11:05:00,2025-01-28 14:10:00,long,2763.0,2773.3,103.0,1
2025-03-04 11:15:00,2025-03-04 15:20:00,long,2920.0,2930.7,107.0,1
2025-03-14 13:30:00,2025-03-14 14:10:00,long,3001.2,2996.6,-46.0,1
2025-03-18 10:55:00,2025-03-18 15:20:00,long,3037.1,3044.8,77.0,1
2025-03-19 11:50:00,2025-03-19 14:40:00,long,3040.8,3053.7,129.0,1
2025-03-24 11:15:00,2025-03-24 14:10:00,long,3015.8,3009.8,-60.0,1
2025-03-26 13:40:00,2025-03-26 15:20:00,long,3024.4,3021.9,-25.0,1
2025-04-30 11:55:00,2025-04-30 12:40:00,long,3314.4,3319.9,55.0,1
2025-05-02 13:50:00,2025-05-02 14:15:00,long,3239.9,3234.1,-58.0,1
2025-05-05 10:45:00,2025-05-05 11:00:00,long,3325.5,3321.5,-40.0,1
2025-05-09 12:50:00,2025-05-09 13:00:00,long,3346.2,3342.0,-42.0,1
2025-05-13 11:05:00,2025-05-13 11:55:00,long,3250.0,3259.2,92.0,1
2025-05-14 10:30:00,2025-05-14 10:35:00,long,3189.8,3186.8,-30.0,1
2025-05-19 11:50:00,2025-05-19 12:00:00,long,3239.1,3234.6,-45.0,1
2025-05-23 12:15:00,2025-05-23 15:20:00,long,3360.4,3364.8,44.0,1
2025-05-28 12:55:00,2025-05-28 14:30:00,long,3290.3,3299.4,91.0,1
2025-05-29 10:50:00,2025-05-29 12:00:00,long,3310.1,3320.1,100.0,1
2025-07-02 12:40:00,2025-07-02 15:10:00,long,3358.0,3367.4,94.0,1
2025-07-04 12:05:00,2025-07-06 18:05:00,long,3343.5,3351.3,78.0,1
2025-07-10 11:05:00,2025-07-10 12:45:00,long,3326.1,3321.7,-44.0,1
2025-07-14 10:30:00,2025-07-14 10:40:00,long,3360.0,3351.4,-86.0,1
2025-07-16 11:35:00,2025-07-16 11:40:00,long,3382.2,3376.6,-56.0,1
2025-07-28 10:45:00,2025-07-28 11:00:00,long,3312.2,3306.6,-56.0,1
2025-09-04 11:35:00,2025-09-04 13:55:00,long,3575.2,3571.2,-40.0,1
2025-09-09 11:25:00,2025-09-09 12:15:00,long,3649.4,3659.0,96.0,1
2025-09-23 12:00:00,2025-09-23 12:15:00,long,3779.6,3773.4,-62.0,1
2025-09-24 13:55:00,2025-09-24 14:10:00,long,3735.1,3729.1,-60.0,1
2025-11-05 10:10:00,2025-11-05 10:15:00,long,3983.2,3979.8,-34.0,1
2025-11-07 11:25:00,2025-11-07 11:35:00,long,4013.0,4026.4,134.0,1
2025-11-26 12:00:00,2025-11-26 13:35:00,long,4164.1,4159.0,-51.0,1
2025-12-31 13:05:00,2025-12-31 13:35:00,long,4339.0,4332.6,-64.0,1
2026-01-14 10:40:00,2026-01-14 10:45:00,long,4627.0,4619.7,-73.0,1
2026-01-20 10:35:00,2026-01-20 10:40:00,long,4738.0,4730.5,-75.0,1
2026-01-21 11:30:00,2026-01-21 11:45:00,long,4842.7,4837.6,-51.0,1
2026-01-22 12:05:00,2026-01-22 12:10:00,long,4885.0,4879.8,-52.0,1
2026-01-27 10:20:00,2026-01-27 10:40:00,long,5067.3,5079.6,123.0,1
2026-03-03 11:40:00,2026-03-03 11:45:00,long,5134.1,5122.4,-117.0,1
