entry_time,exit_time,side,entry_price,exit_price,pnl,contracts
2024-03-11 12:35:00,2024-03-11 12:55:00,long,17989.5,17987.5,-4.0,1
2024-03-14 13:25:00,2024-03-14 14:00:00,long,17994.5,18046.0,103.0,1
2024-03-21 11:15:00,2024-03-21 11:55:00,long,18643.25,18686.5,86.5,1
2024-04-01 13:30:00,2024-04-01 15:20:00,long,18451.0,18474.0,46.0,1
2024-04-09 10:15:00,2024-04-09 10:30:00,long,18358.25,18282.5,-151.5,1
2024-04-11 11:05:00,2024-04-11 11:10:00,long,18264.0,18242.5,-43.0,1
2024-04-24 11:30:00,2024-04-24 11:45:00,long,17659.0,17623.25,-71.5,1
2024-05-01 13:25:00,2024-05-01 14:05:00,long,17447.5,17518.25,141.5,1
2024-05-23 12:20:00,2024-05-23 12:50:00,long,18910.25,18873.5,-73.5,1
2024-05-30 12:05:00,2024-05-30 14:20:00,long,18693.0,18682.5,-21.0,1
2024-06-03 13:20:00,2024-06-03 13:35:00,long,18489.75,18549.5,119.5,1
2024-06-20 13:45:00,2024-06-20 14:10:00,long,19751.75,19804.0,104.5,1
2024-07-01 11:30:00,2024-07-01 11:40:00,long,19951.0,19930.25,-41.5,1
2024-07-04 10:55:00,2024-07-04 18:05:00,long,20375.25,20384.0,17.5,1
2024-07-08 10:30:00,2024-07-08 10:40:00,long,20624.0,20608.25,-31.5,1
2024-07-09 12:10:00,2024-07-09 12:35:00,long,20713.25,20689.25,-48.0,1
2024-07-16 11:05:00,2024-07-16 11:35:00,long,20568.75,20533.5,-70.5,1
2024-07-19 13:30:00,2024-07-19 13:45:00,long,19691.0,19677.0,-28.0,1
2024-07-24 11:00:00,2024-07-24 11:10:00,long,19436.25,19421.75,-29.0,1
2024-08-07 13:25:00,2024-08-07 13:45:00,long,18217.0,18190.0,-54.0,1
2024-08-20 10:50:00,2024-08-20 11:00:00,long,19797.75,19785.75,-24.0,1
2024-09-02 11:10:00,2024-09-02 12:55:00,long,19665.25,19631.0,-68.5,1
2024-09-03 11:05:00,2024-09-03 11:35:00,long,19202.75,19195.0,-15.5,1
2024-09-04 11:50:00,2024-09-04 12:10:00,long,19005.0,19010.5,11.0,1
2024-09-10 12:20:00,2024-09-10 12:45:00,long,18637.0,18685.25,96.5,1
2024-09-11 12:55:00,2024-09-11 13:00:00,long,18916.25,18912.5,-7.5,1
2024-09-16 11:10:00,2024-09-16 11:20:00,long,19342.0,19388.5,93.0,1
2024-09-18 10:30:00,2024-09-18 10:40:00,long,19462.75,19462.25,-1.0,1
2024-09-27 10:40:00,2024-09-27 10:55:00,long,20318.75,20319.5,1.5,1
2024-09-30 10:30:00,2024-09-30 11:35:00,long,20184.75,20201.5,33.5,1
2024-10-04 11:55:00,2024-10-04 12:40:00,long,20106.75,20161.0,108.5,1
2024-10-16 12:55:00,2024-10-16 14:25:00,long,20319.0,20377.0,116.0,1
2024-10-17 11:10:00,2024-10-17 11:40:00,long,20424.0,20472.5,97.0,1
2024-10-23 12:00:00,2024-10-23 12:05:00,long,20358.0,20300.5,-115.0,1
2024-10-31 10:20:00,2024-10-31 10:30:00,long,20186.75,20140.5,-92.5,1
2024-11-11 13:30:00,2024-11-11 13:55:00,long,21141.5,21186.0,89.0,1
2024-11-12 11:20:00,2024-11-12 11:25:00,long,21197.25,21169.25,-56.0,1
2024-11-13 11:50:00,2024-11-13 12:20:00,long,21160.25,21192.0,63.5,1
