entry_time,exit_time,side,entry_price,exit_price,pnl,contracts
2024-03-01 09:45:00,2024-03-01 10:05:00,long,5106.0,5103.75,-11.25,1
2024-03-01 10:10:00,2024-03-01 11:05:00,long,5113.0,5126.75,68.75,1
2024-03-08 09:35:00,2024-03-08 10:00:00,long,5171.75,5188.25,82.5,1
2024-03-08 10:45:00,2024-03-08 11:05:00,long,5187.25,5175.75,-57.5,1
2024-03-12 14:50:00,2024-03-12 15:20:00,long,5174.25,5175.75,7.5,1
2024-03-18 10:05:00,2024-03-18 10:25:00,long,5226.75,5238.0,56.25,1
2024-03-20 14:05:00,2024-03-20 14:10:00,long,5258.0,5251.0,-35.0,1
2024-03-20 14:40:00,2024-03-20 15:10:00,long,5258.75,5280.5,108.75,1
2024-03-21 09:40:00,2024-03-21 09:50:00,long,5316.0,5309.25,-33.75,1
2024-03-21 10:00:00,2024-03-21 13:55:00,long,5315.25,5309.75,-27.5,1
2024-04-04 10:30:00,2024-04-04 11:15:00,long,5298.75,5294.0,-23.75,1
2024-04-24 10:50:00,2024-04-24 11:05:00,long,5106.25,5097.75,-42.5,1
2024-04-26 10:35:00,2024-04-26 15:20:00,long,5133.75,5140.75,35.0,1
2024-05-01 14:40:00,2024-05-01 14:45:00,long,5085.5,5112.25,133.75,1
2024-05-06 15:05:00,2024-05-06 15:20:00,long,5195.0,5193.0,-10.0,1
2024-05-07 09:55:00,2024-05-07 10:05:00,long,5216.25,5213.5,-13.75,1
2024-05-09 09:55:00,2024-05-09 10:10:00,long,5211.0,5217.25,31.25,1
2024-05-10 09:35:00,2024-05-10 10:05:00,long,5258.5,5254.5,-20.0,1
2024-05-13 09:05:00,2024-05-13 09:35:00,long,5260.75,5254.75,-30.0,1
2024-05-14 09:40:00,2024-05-14 10:30:00,long,5248.5,5258.25,48.75,1
2024-05-31 09:40:00,2024-05-31 09:50:00,long,5266.5,5259.75,-33.75,1
2024-06-03 09:40:00,2024-06-03 09:55:00,long,5310.0,5302.25,-38.75,1
2024-06-04 10:20:00,2024-06-04 11:10:00,long,5286.5,5280.25,-31.25,1
2024-06-10 14:40:00,2024-06-10 15:20:00,long,5364.75,5371.0,31.25,1
2024-06-13 08:55:00,2024-06-13 09:50:00,long,5443.75,5437.5,-31.25,1
2024-06-24 10:35:00,2024-06-24 10:50:00,long,5549.0,5537.5,-57.5,1
2024-06-27 10:00:00,2024-06-27 11:30:00,long,5546.25,5537.5,-43.75,1
2024-07-09 09:55:00,2024-07-09 10:05:00,long,5639.5,5639.25,-1.25,1
2024-07-12 09:50:00,2024-07-12 10:10:00,long,5652.75,5665.0,61.25,1
2024-07-16 09:00:00,2024-07-16 09:35:00,long,5694.25,5702.25,40.0,1
2024-07-22 10:35:00,2024-07-22 11:25:00,long,5598.0,5583.0,-75.0,1
2024-07-26 10:25:00,2024-07-26 10:35:00,long,5492.25,5473.75,-92.5,1
2024-07-30 09:30:00,2024-07-30 09:35:00,long,5516.5,5518.25,8.75,1
2024-07-31 10:00:00,2024-07-31 10:20:00,long,5540.75,5558.5,88.75,1
2024-08-01 08:55:00,2024-08-01 09:15:00,long,5586.75,5580.0,-33.75,1
2024-08-01 09:40:00,2024-08-01 09:50:00,long,5587.25,5597.0,48.75,1
2024-08-08 09:55:00,2024-08-08 10:30:00,long,5286.0,5320.75,173.75,1
2024-08-08 15:10:00,2024-08-08 15:20:00,long,5345.25,5342.0,-16.25,1
2024-08-13 10:25:00,2024-08-13 11:25:00,long,5411.0,5427.5,82.5,1
2024-08-15 15:10:00,2024-08-15 15:20:00,long,5568.0,5567.75,-1.25,1
2024-08-16 14:20:00,2024-08-16 15:20:00,long,5579.5,5579.5,0.0,1
2024-08-19 09:35:00,2024-08-19 09:40:00,long,5587.25,5584.25,-15.0,1
2024-08-19 10:10:00,2024-08-19 10:20:00,long,5590.0,5575.5,-72.5,1
2024-08-19 10:25:00,2024-08-19 10:55:00,long,5584.75,5600.5,78.75,1
2024-08-21 09:45:00,2024-08-21 10:05:00,long,5634.0,5637.5,17.5,1
2024-08-21 10:20:00,2024-08-21 10:45:00,long,5635.75,5652.0,81.25,1
2024-08-22 09:55:00,2024-08-22 10:10:00,long,5658.25,5642.75,-77.5,1
2024-08-23 09:55:00,2024-08-23 10:05:00,long,5627.0,5648.0,105.0,1
2024-08-26 09:35:00,2024-08-26 09:40:00,long,5667.25,5666.0,-6.25,1
2024-08-29 09:35:00,2024-08-29 09:45:00,long,5635.25,5624.25,-55.0,1
2024-08-29 09:50:00,2024-08-29 09:55:00,long,5632.75,5628.5,-21.25,1
2024-08-29 10:00:00,2024-08-29 11:20:00,long,5638.0,5648.5,52.5,1
2024-09-10 09:45:00,2024-09-10 09:55:00,long,5500.0,5496.75,-16.25,1
2024-09-13 09:45:00,2024-09-13 10:05:00,long,5618.75,5621.25,12.5,1
2024-09-13 10:40:00,2024-09-13 15:20:00,long,5628.0,5627.5,-2.5,1
2024-09-17 09:25:00,2024-09-17 09:35:00,long,5661.25,5657.75,-17.5,1
2024-09-17 10:40:00,2024-09-17 11:00:00,long,5668.25,5661.25,-35.0,1
2024-09-18 14:05:00,2024-09-18 14:15:00,long,5666.5,5650.0,-82.5,1
2024-09-19 10:30:00,2024-09-19 10:50:00,long,5721.25,5712.25,-45.0,1
2024-09-23 09:50:00,2024-09-23 10:05:00,long,5772.5,5774.0,7.5,1
2024-09-23 10:20:00,2024-09-23 12:15:00,long,5777.25,5769.25,-40.0,1
2024-09-25 09:55:00,2024-09-25 10:50:00,long,5792.75,5787.0,-28.75,1
2024-09-27 10:05:00,2024-09-27 11:55:00,long,5811.75,5805.25,-32.5,1
2024-10-08 09:15:00,2024-10-08 09:30:00,long,5768.0,5772.5,22.5,1
2024-10-08 09:50:00,2024-10-08 10:05:00,long,5769.75,5781.5,58.75,1
2024-10-09 08:55:00,2024-10-09 09:20:00,long,5797.0,5803.25,31.25,1
2024-10-09 09:40:00,2024-10-09 10:15:00,long,5800.75,5806.5,28.75,1
2024-10-11 09:35:00,2024-10-11 10:10:00,long,5834.25,5852.0,88.75,1
2024-10-14 09:35:00,2024-10-14 09:50:00,long,5882.75,5895.25,62.5,1
2024-10-17 08:50:00,2024-10-17 09:10:00,long,5915.25,5925.0,48.75,1
2024-11-01 11:00:00,2024-11-01 12:45:00,long,5792.0,5777.25,-73.75,1
2024-11-05 09:35:00,2024-11-05 09:50:00,long,5766.0,5774.0,40.0,1
2024-11-07 14:50:00,2024-11-07 15:20:00,long,5999.25,6010.25,55.0,1
2024-11-13 09:45:00,2024-11-13 09:50:00,long,6019.5,6010.25,-46.25,1
2024-11-21 14:25:00,2024-11-21 15:20:00,long,5977.75,5982.75,25.0,1
2024-11-22 10:40:00,2024-11-22 15:20:00,long,5982.75,5979.25,-17.5,1
2024-11-25 09:35:00,2024-11-25 09:55:00,long,6031.75,6021.0,-53.75,1
2024-11-26 09:35:00,2024-11-26 09:40:00,long,6023.5,6019.25,-21.25,1
2024-11-26 10:00:00,2024-11-26 10:05:00,long,6020.5,6018.5,-10.0,1
2024-12-04 08:55:00,2024-12-04 10:05:00,long,6082.75,6079.0,-18.75,1
2024-12-05 09:45:00,2024-12-05 10:05:00,long,6098.75,6103.0,21.25,1
2024-12-16 09:40:00,2024-12-16 09:45:00,long,6072.75,6070.0,-13.75,1
2024-12-16 09:50:00,2024-12-16 10:25:00,long,6072.0,6071.0,-5.0,1
2024-12-16 10:30:00,2024-12-16 13:25:00,long,6077.25,6089.0,58.75,1
2024-12-24 09:35:00,2024-12-24 09:45:00,long,6048.5,6055.0,32.5,1
2024-12-26 10:25:00,2024-12-26 11:45:00,long,6083.75,6099.5,78.75,1
2025-01-03 10:05:00,2025-01-03 10:20:00,long,5961.5,5946.5,-75.0,1
2025-01-17 10:30:00,2025-01-17 11:25:00,long,6027.5,6045.5,90.0,1
2025-01-21 09:50:00,2025-01-21 09:55:00,long,6066.0,6054.25,-58.75,1
2025-01-21 10:00:00,2025-01-21 10:15:00,long,6062.75,6046.5,-81.25,1
2025-01-22 09:30:00,2025-01-22 09:35:00,long,6116.5,6114.75,-8.75,1
2025-01-22 09:55:00,2025-01-22 10:40:00,long,6120.25,6126.0,28.75,1
2025-01-28 14:20:00,2025-01-28 14:45:00,long,6089.5,6099.5,50.0,1
2025-02-05 10:35:00,2025-02-05 11:50:00,long,6049.5,6065.5,80.0,1
2025-02-05 14:00:00,2025-02-05 15:20:00,long,6074.0,6081.5,37.5,1
2025-02-07 09:35:00,2025-02-07 10:05:00,long,6113.75,6089.25,-122.5,1
2025-02-13 09:55:00,2025-02-13 10:20:00,long,6081.5,6099.5,90.0,1
2025-02-13 14:00:00,2025-02-13 14:40:00,long,6110.5,6125.75,76.25,1
2025-03-03 09:35:00,2025-03-03 09:40:00,long,5992.5,5976.25,-81.25,1
2025-03-12 09:30:00,2025-03-12 09:45:00,long,5635.5,5620.25,-76.25,1
2025-03-14 09:05:00,2025-03-14 09:20:00,long,5582.25,5573.5,-43.75,1
2025-03-14 09:40:00,2025-03-14 09:50:00,long,5588.5,5602.75,71.25,1
2025-03-14 10:25:00,2025-03-14 11:00:00,long,5586.25,5613.5,136.25,1
2025-03-17 09:30:00,2025-03-17 09:35:00,long,5637.25,5654.25,85.0,1
2025-03-19 09:30:00,2025-03-19 09:45:00,long,5637.0,5628.25,-43.75,1
2025-03-19 09:50:00,2025-03-19 10:10:00,long,5641.0,5661.5,102.5,1
2025-03-24 09:00:00,2025-03-24 09:35:00,long,5786.5,5783.0,-17.5,1
2025-03-25 10:30:00,2025-03-25 11:55:00,long,5831.0,5820.75,-51.25,1
2025-03-26 09:40:00,2025-03-26 09:50:00,long,5830.5,5821.5,-45.0,1
2025-04-08 09:55:00,2025-04-08 11:00:00,long,5269.5,5231.75,-188.75,1
2025-04-11 10:10:00,2025-04-11 10:25:00,long,5324.0,5270.5,-267.5,1
2025-04-11 13:40:00,2025-04-11 15:20:00,long,5380.0,5402.25,111.25,1
2025-04-15 10:35:00,2025-04-15 13:05:00,long,5460.75,5448.25,-62.5,1
2025-04-23 09:20:00,2025-04-23 09:40:00,long,5448.75,5460.5,58.75,1
2025-04-23 10:25:00,2025-04-23 11:25:00,long,5475.75,5445.75,-150.0,1
2025-04-24 09:40:00,2025-04-24 09:50:00,long,5412.0,5427.5,77.5,1
2025-04-25 10:10:00,2025-04-25 10:25:00,long,5518.0,5496.5,-107.5,1
2025-04-25 14:55:00,2025-04-25 15:20:00,long,5548.25,5543.0,-26.25,1
2025-04-28 10:25:00,2025-04-28 10:35:00,long,5563.25,5549.0,-71.25,1
2025-04-29 10:05:00,2025-04-29 10:30:00,long,5555.5,5541.25,-71.25,1
2025-05-05 10:10:00,2025-05-05 12:05:00,long,5673.75,5693.0,96.25,1
2025-05-05 13:35:00,2025-05-05 14:45:00,long,5695.0,5705.0,50.0,1
2025-05-09 10:00:00,2025-05-09 10:20:00,long,5704.75,5692.25,-62.5,1
2025-05-12 15:05:00,2025-05-12 15:20:00,long,5856.5,5856.0,-2.5,1
2025-05-14 09:35:00,2025-05-14 09:45:00,long,5923.0,5912.75,-51.25,1
2025-05-15 09:45:00,2025-05-15 09:50:00,long,5896.25,5887.25,-45.0,1
2025-05-15 10:15:00,2025-05-15 11:20:00,long,5896.75,5916.0,96.25,1
2025-05-27 15:10:00,2025-05-27 15:20:00,long,5931.5,5930.5,-5.0,1
2025-05-28 09:10:00,2025-05-28 09:30:00,long,5940.25,5940.25,0.0,1
2025-05-28 09:35:00,2025-05-28 09:50:00,long,5944.75,5937.5,-36.25,1
2025-06-02 14:00:00,2025-06-02 14:20:00,long,5920.25,5929.5,46.25,1
2025-06-04 10:20:00,2025-06-04 12:15:00,long,5990.25,5978.0,-61.25,1
2025-06-05 08:50:00,2025-06-05 09:35:00,long,6000.5,5984.25,-81.25,1
2025-06-09 10:35:00,2025-06-09 10:50:00,long,6016.0,6007.5,-42.5,1
2025-06-10 09:50:00,2025-06-10 11:35:00,long,6021.75,6014.75,-35.0,1
2025-06-12 14:40:00,2025-06-12 15:20:00,long,6044.0,6048.5,22.5,1
2025-06-13 09:35:00,2025-06-13 09:55:00,long,6009.0,5995.75,-66.25,1
2025-06-17 09:35:00,2025-06-17 10:15:00,long,6014.0,6025.0,55.0,1
2025-06-23 09:15:00,2025-06-23 09:35:00,long,6023.0,6014.75,-41.25,1
2025-06-26 09:45:00,2025-06-26 09:50:00,long,6168.5,6163.0,-27.5,1
2025-07-01 10:15:00,2025-07-01 10:30:00,long,6249.0,6243.5,-27.5,1
2025-07-09 09:05:00,2025-07-09 09:30:00,long,6288.75,6295.25,32.5,1
2025-07-10 09:45:00,2025-07-10 09:55:00,long,6304.25,6300.75,-17.5,1
2025-07-10 10:35:00,2025-07-10 10:50:00,long,6306.0,6314.25,41.25,1
2025-07-14 09:50:00,2025-07-14 13:05:00,long,6294.5,6309.0,72.5,1
2025-07-15 09:05:00,2025-07-15 09:40:00,long,6336.25,6327.5,-43.75,1
2025-07-17 09:45:00,2025-07-17 10:25:00,long,6316.5,6311.25,-26.25,1
2025-07-17 14:20:00,2025-07-17 14:50:00,long,6335.75,6341.25,27.5,1
2025-07-18 09:30:00,2025-07-18 09:35:00,long,6352.0,6347.75,-21.25,1
2025-07-22 09:40:00,2025-07-22 09:50:00,long,6348.25,6337.25,-55.0,1
2025-07-24 09:45:00,2025-07-24 10:50:00,long,6401.25,6410.5,46.25,1
2025-08-04 14:05:00,2025-08-04 15:20:00,long,6347.5,6350.75,16.25,1
2025-08-06 10:05:00,2025-08-06 10:25:00,long,6347.75,6328.5,-96.25,1
2025-08-07 09:40:00,2025-08-07 09:45:00,long,6412.0,6406.5,-27.5,1
2025-08-13 09:35:00,2025-08-13 09:50:00,long,6492.0,6499.25,36.25,1
2025-08-19 10:05:00,2025-08-19 10:30:00,long,6476.0,6465.5,-52.5,1
2025-08-22 09:20:00,2025-08-22 09:35:00,long,6405.0,6407.0,10.0,1
2025-08-26 09:35:00,2025-08-26 09:40:00,long,6455.0,6451.75,-16.25,1
2025-08-26 09:55:00,2025-08-26 14:45:00,long,6455.0,6466.75,58.75,1
2025-08-28 09:35:00,2025-08-28 09:40:00,long,6505.75,6502.25,-17.5,1
2025-09-05 09:50:00,2025-09-05 09:55:00,long,6541.0,6532.25,-43.75,1
2025-09-08 09:50:00,2025-09-08 10:20:00,long,6504.75,6497.25,-37.5,1
2025-09-10 09:50:00,2025-09-10 09:55:00,long,6554.5,6548.25,-31.25,1
