entry_time,exit_time,side,entry_price,exit_price,pnl,contracts
2024-03-05 10:10:00,2024-03-05 10:35:00,short,5106.25,5093.75,62.5,1
2024-03-05 13:40:00,2024-03-05 14:35:00,short,5088.75,5078.5,51.25,1
2024-03-06 10:05:00,2024-03-06 10:20:00,short,5102.0,5107.75,-28.75,1
2024-03-06 13:50:00,2024-03-06 15:20:00,short,5107.5,5105.5,10.0,1
2024-03-11 14:55:00,2024-03-11 15:20:00,short,5125.25,5119.75,27.5,1
2024-03-12 09:40:00,2024-03-12 10:00:00,short,5124.75,5143.5,-93.75,1
2024-04-01 10:05:00,2024-04-01 10:15:00,short,5305.5,5312.25,-33.75,1
2024-04-10 13:35:00,2024-04-10 14:00:00,short,5197.25,5202.5,-26.25,1
2024-04-12 10:05:00,2024-04-12 10:40:00,short,5205.75,5189.75,80.0,1
2024-04-15 10:10:00,2024-04-15 10:40:00,short,5190.5,5176.5,70.0,1
2024-04-18 09:35:00,2024-04-18 09:40:00,short,5064.5,5052.5,60.0,1
2024-04-25 10:35:00,2024-04-25 12:00:00,short,5037.0,5050.0,-65.0,1
2024-04-29 15:05:00,2024-04-29 15:20:00,short,5125.0,5130.25,-26.25,1
2024-04-30 14:30:00,2024-04-30 15:20:00,short,5096.75,5090.5,31.25,1
2024-05-21 09:15:00,2024-05-21 10:05:00,short,5325.5,5330.25,-23.75,1
2024-06-07 09:35:00,2024-06-07 09:45:00,short,5342.0,5353.25,-56.25,1
2024-06-17 09:50:00,2024-06-17 10:00:00,short,5425.5,5430.0,-22.5,1
2024-06-20 15:05:00,2024-06-20 15:20:00,short,5471.5,5472.0,-2.5,1
2024-07-01 10:10:00,2024-07-01 10:15:00,short,5528.0,5507.5,102.5,1
2024-07-24 09:35:00,2024-07-24 09:55:00,short,5542.25,5530.0,61.25,1
2024-07-25 10:00:00,2024-07-25 10:10:00,short,5457.0,5438.25,93.75,1
2024-07-29 10:50:00,2024-07-29 11:35:00,short,5500.25,5484.0,81.25,1
2024-08-02 09:35:00,2024-08-02 09:40:00,short,5387.0,5410.5,-117.5,1
2024-08-02 09:55:00,2024-08-02 10:10:00,short,5396.0,5363.0,165.0,1
2024-08-06 09:30:00,2024-08-06 09:35:00,short,5235.25,5237.5,-11.25,1
2024-08-06 09:45:00,2024-08-06 09:55:00,short,5228.25,5260.25,-160.0,1
2024-08-26 13:40:00,2024-08-26 14:45:00,short,5629.25,5637.25,-40.0,1
2024-08-28 09:35:00,2024-08-28 10:10:00,short,5638.75,5637.75,5.0,1
2024-08-28 10:45:00,2024-08-28 11:05:00,short,5630.25,5620.75,47.5,1
2024-09-03 09:30:00,2024-09-03 09:40:00,short,5626.0,5618.0,40.0,1
2024-09-09 11:00:00,2024-09-09 11:35:00,short,5449.0,5464.75,-78.75,1
2024-09-10 10:15:00,2024-09-10 10:30:00,short,5473.75,5485.5,-58.75,1
2024-09-17 14:50:00,2024-09-17 15:20:00,short,5627.0,5631.0,-20.0,1
2024-09-18 09:35:00,2024-09-18 09:45:00,short,5636.5,5641.5,-25.0,1
2024-09-18 10:35:00,2024-09-18 12:55:00,short,5633.75,5642.75,-45.0,1
2024-10-01 09:35:00,2024-10-01 09:40:00,short,5784.5,5777.5,35.0,1
2024-10-02 09:35:00,2024-10-02 09:45:00,short,5740.25,5725.25,75.0,1
2024-10-03 09:40:00,2024-10-03 10:00:00,short,5743.75,5750.0,-31.25,1
2024-10-03 10:45:00,2024-10-03 11:45:00,short,5739.5,5757.0,-87.5,1
2024-10-23 10:55:00,2024-10-23 11:15:00,short,5862.75,5850.0,63.75,1
2024-10-29 09:35:00,2024-10-29 09:45:00,short,5841.25,5846.75,-27.5,1
2024-10-29 09:50:00,2024-10-29 09:55:00,short,5842.75,5850.75,-40.0,1
2024-10-30 09:35:00,2024-10-30 09:45:00,short,5862.5,5850.25,61.25,1
2024-11-04 09:35:00,2024-11-04 09:50:00,short,5749.25,5759.25,-50.0,1
2024-11-14 15:05:00,2024-11-14 15:20:00,short,5980.5,5983.25,-13.75,1
2024-11-15 09:55:00,2024-11-15 10:05:00,short,5932.5,5919.25,66.25,1
2024-11-15 14:55:00,2024-11-15 15:05:00,short,5883.5,5892.75,-46.25,1
2024-11-29 09:30:00,2024-11-29 09:35:00,short,6021.25,6024.5,-16.25,1
2024-12-10 09:55:00,2024-12-10 10:00:00,short,6062.75,6068.75,-30.0,1
2024-12-17 10:00:00,2024-12-17 10:15:00,short,6055.0,6045.5,47.5,1
2024-12-18 14:05:00,2024-12-18 14:10:00,short,6047.25,6022.25,125.0,1
2024-12-19 10:05:00,2024-12-19 11:35:00,short,5902.5,5914.0,-57.5,1
2024-12-27 09:00:00,2024-12-27 09:20:00,short,6066.5,6060.0,32.5,1
2024-12-30 10:50:00,2024-12-30 11:10:00,short,5930.25,5950.5,-101.25,1
2024-12-31 09:40:00,2024-12-31 09:50:00,short,5963.0,5972.25,-46.25,1
2024-12-31 13:55:00,2024-12-31 15:20:00,short,5930.5,5934.5,-20.0,1
2025-01-02 10:25:00,2025-01-02 12:30:00,short,5950.0,5916.0,170.0,1
2025-01-02 15:00:00,2025-01-02 15:05:00,short,5892.5,5908.5,-80.0,1
2025-01-08 09:40:00,2025-01-08 10:05:00,short,5940.5,5951.5,-55.0,1
2025-01-08 10:15:00,2025-01-08 10:55:00,short,5930.5,5947.75,-86.25,1
2025-01-10 10:55:00,2025-01-10 11:40:00,short,5877.0,5852.0,125.0,1
2025-01-24 15:00:00,2025-01-24 15:20:00,short,6127.75,6126.5,6.25,1
2025-01-28 09:35:00,2025-01-28 09:45:00,short,6047.5,6035.25,61.25,1
2025-01-29 10:45:00,2025-01-29 13:05:00,short,6077.25,6050.5,133.75,1
2025-01-30 10:30:00,2025-01-30 11:55:00,short,6076.0,6089.25,-66.25,1
2025-02-07 10:55:00,2025-02-07 11:20:00,short,6058.75,6077.75,-95.0,1
2025-02-12 10:05:00,2025-02-12 10:20:00,short,6037.5,6051.25,-68.75,1
2025-02-19 09:40:00,2025-02-19 10:35:00,short,6133.5,6138.5,-25.0,1
2025-02-20 09:45:00,2025-02-20 09:55:00,short,6138.25,6127.25,55.0,1
2025-02-25 09:45:00,2025-02-25 09:55:00,short,5993.0,5973.75,96.25,1
2025-02-27 08:50:00,2025-02-27 09:10:00,short,5987.75,5995.75,-40.0,1
2025-02-27 09:45:00,2025-02-27 10:00:00,short,5981.75,5951.0,153.75,1
2025-02-27 10:35:00,2025-02-27 14:30:00,short,5969.75,5934.0,178.75,1
2025-03-04 09:20:00,2025-03-04 09:35:00,short,5824.75,5807.75,85.0,1
2025-03-05 09:50:00,2025-03-05 10:05:00,short,5788.5,5805.75,-86.25,1
2025-03-06 09:20:00,2025-03-06 09:35:00,short,5781.25,5769.5,58.75,1
2025-03-06 15:00:00,2025-03-06 15:20:00,short,5729.0,5751.5,-112.5,1
2025-03-10 09:35:00,2025-03-10 09:40:00,short,5687.25,5699.75,-62.5,1
2025-03-11 09:55:00,2025-03-11 10:05:00,short,5612.5,5584.25,141.25,1
2025-03-13 10:40:00,2025-03-13 11:40:00,short,5576.5,5542.25,171.25,1
2025-03-20 15:00:00,2025-03-20 15:20:00,short,5652.0,5664.75,-63.75,1
2025-03-27 13:55:00,2025-03-27 14:10:00,short,5735.25,5748.75,-67.5,1
2025-03-31 09:35:00,2025-03-31 09:50:00,short,5552.25,5542.0,51.25,1
2025-04-03 10:05:00,2025-04-03 11:10:00,short,5492.5,5461.25,156.25,1
2025-04-04 09:55:00,2025-04-04 10:35:00,short,5268.0,5210.75,286.25,1
2025-04-16 13:35:00,2025-04-16 13:50:00,short,5333.75,5308.75,125.0,1
2025-04-17 09:30:00,2025-04-17 09:55:00,short,5322.5,5335.0,-62.5,1
2025-04-17 10:10:00,2025-04-17 10:35:00,short,5321.75,5296.75,125.0,1
2025-04-21 09:40:00,2025-04-21 10:00:00,short,5245.5,5220.5,125.0,1
2025-04-21 14:45:00,2025-04-21 15:20:00,short,5137.25,5148.5,-56.25,1
2025-04-30 13:40:00,2025-04-30 14:10:00,short,5546.25,5551.75,-27.5,1
2025-05-06 09:50:00,2025-05-06 10:15:00,short,5617.0,5625.5,-42.5,1
2025-05-07 09:50:00,2025-05-07 10:00:00,short,5636.25,5651.0,-73.75,1
2025-05-07 10:55:00,2025-05-07 12:50:00,short,5630.0,5642.0,-60.0,1
2025-05-07 14:50:00,2025-05-07 15:00:00,short,5617.25,5645.25,-140.0,1
2025-05-08 10:55:00,2025-05-08 11:15:00,short,5663.25,5680.0,-83.75,1
2025-05-29 09:35:00,2025-05-29 09:50:00,short,5944.5,5928.25,81.25,1
2025-05-29 14:20:00,2025-05-29 14:40:00,short,5905.0,5914.75,-48.75,1
2025-05-29 15:00:00,2025-05-29 15:20:00,short,5911.75,5915.25,-17.5,1
2025-05-30 09:50:00,2025-05-30 10:10:00,short,5894.25,5909.0,-73.75,1
2025-06-18 09:35:00,2025-06-18 09:40:00,short,5983.0,5989.0,-30.0,1
2025-06-19 09:35:00,2025-06-19 09:50:00,short,5941.5,5923.25,91.25,1
2025-07-08 09:35:00,2025-07-08 09:45:00,short,6273.25,6278.25,-25.0,1
2025-07-08 10:00:00,2025-07-08 10:30:00,short,6274.25,6267.5,33.75,1
2025-07-11 09:40:00,2025-07-11 10:00:00,short,6286.0,6295.75,-48.75,1
2025-07-22 09:50:00,2025-07-22 09:55:00,short,6337.25,6322.25,75.0,1
2025-07-30 10:05:00,2025-07-30 10:20:00,short,6407.0,6414.0,-35.0,1
2025-07-30 14:50:00,2025-07-30 15:00:00,short,6407.25,6380.25,135.0,1
2025-08-01 09:35:00,2025-08-01 09:50:00,short,6290.75,6260.5,151.25,1
2025-08-01 10:50:00,2025-08-01 12:05:00,short,6271.25,6294.0,-113.75,1
2025-08-06 09:40:00,2025-08-06 09:50:00,short,6329.0,6337.5,-42.5,1
2025-08-06 10:00:00,2025-08-06 10:05:00,short,6333.5,6347.75,-71.25,1
2025-08-11 14:45:00,2025-08-11 14:55:00,short,6397.75,6404.75,-35.0,1
2025-08-19 09:35:00,2025-08-19 09:40:00,short,6456.25,6461.25,-25.0,1
2025-08-20 09:35:00,2025-08-20 09:50:00,short,6421.75,6407.5,71.25,1
2025-09-03 10:15:00,2025-09-03 10:20:00,short,6438.25,6448.25,-50.0,1
2025-09-09 09:05:00,2025-09-09 09:10:00,short,6503.75,6509.25,-27.5,1
2025-09-17 14:40:00,2025-09-17 15:05:00,short,6580.25,6600.25,-100.0,1
2025-09-26 10:50:00,2025-09-26 11:30:00,short,6662.25,6678.0,-78.75,1
2025-10-10 11:00:00,2025-10-10 11:05:00,short,6757.5,6725.5,160.0,1
2025-10-14 09:35:00,2025-10-14 09:40:00,short,6621.75,6614.75,35.0,1
2025-10-23 09:10:00,2025-10-23 09:20:00,short,6726.0,6733.25,-36.25,1
2025-10-29 14:40:00,2025-10-29 14:55:00,short,6889.75,6915.0,-126.25,1
2025-10-29 15:05:00,2025-10-29 15:20:00,short,6901.75,6913.25,-57.5,1
2025-10-30 10:20:00,2025-10-30 10:45:00,short,6892.25,6906.75,-72.5,1
2025-11-04 09:05:00,2025-11-04 09:20:00,short,6802.5,6813.5,-55.0,1
2025-11-04 14:10:00,2025-11-04 15:20:00,short,6806.75,6808.25,-7.5,1
2025-11-07 09:05:00,2025-11-07 09:35:00,short,6720.25,6706.75,67.5,1
2025-11-07 10:25:00,2025-11-07 11:15:00,short,6699.5,6671.25,141.25,1
2025-11-13 14:40:00,2025-11-13 15:00:00,short,6768.5,6758.0,52.5,1
2025-11-14 09:30:00,2025-11-14 09:35:00,short,6692.0,6674.0,90.0,1
2025-11-17 10:40:00,2025-11-17 11:20:00,short,6743.25,6718.0,126.25,1
2025-11-18 09:50:00,2025-11-18 10:05:00,short,6645.5,6605.75,198.75,1
2025-11-20 15:05:00,2025-11-20 15:20:00,short,6595.75,6600.75,-25.0,1
2025-11-21 10:05:00,2025-11-21 11:40:00,short,6570.0,6601.25,-156.25,1
2025-12-03 09:05:00,2025-12-03 09:10:00,short,6832.75,6820.75,60.0,1
2025-12-10 09:35:00,2025-12-10 09:40:00,short,6839.0,6840.75,-8.75,1
2025-12-11 09:50:00,2025-12-11 10:15:00,short,6853.0,6866.75,-68.75,1
2025-12-17 10:10:00,2025-12-17 10:45:00,short,6796.5,6771.75,123.75,1
2025-12-17 15:05:00,2025-12-17 15:20:00,short,6737.75,6741.0,-16.25,1
2025-12-29 09:50:00,2025-12-29 12:25:00,short,6954.25,6940.75,67.5,1
2026-01-02 09:35:00,2026-01-02 09:50:00,short,6918.25,6931.0,-63.75,1
2026-01-02 10:15:00,2026-01-02 10:25:00,short,6913.5,6890.5,115.0,1
2026-01-02 13:50:00,2026-01-02 14:10:00,short,6870.5,6884.5,-70.0,1
2026-01-08 09:40:00,2026-01-08 09:50:00,short,6949.75,6951.75,-10.0,1
2026-01-14 09:45:00,2026-01-14 10:05:00,short,6957.25,6944.75,62.5,1
2026-01-14 13:35:00,2026-01-14 13:55:00,short,6930.0,6940.25,-51.25,1
2026-01-16 09:55:00,2026-01-16 10:05:00,short,6988.25,6980.5,38.75,1
2026-01-23 09:40:00,2026-01-23 09:50:00,short,6927.75,6927.0,3.75,1
2026-01-28 14:30:00,2026-01-28 14:35:00,short,6993.5,7003.0,-47.5,1
2026-01-28 14:40:00,2026-01-28 15:15:00,short,6999.0,7009.75,-53.75,1
2026-01-30 13:35:00,2026-01-30 13:50:00,short,6927.0,6947.75,-103.75,1
2026-02-03 14:35:00,2026-02-03 15:20:00,short,6905.25,6918.25,-65.0,1
2026-02-04 09:35:00,2026-02-04 09:40:00,short,6941.75,6951.75,-50.0,1
2026-02-04 10:00:00,2026-02-04 10:25:00,short,6927.25,6945.5,-91.25,1
2026-02-04 10:35:00,2026-02-04 11:50:00,short,6928.5,6893.25,176.25,1
2026-02-05 09:55:00,2026-02-05 10:10:00,short,6862.5,6832.5,150.0,1
2026-02-12 10:35:00,2026-02-12 10:55:00,short,6958.25,6933.75,122.5,1
2026-02-13 10:00:00,2026-02-13 10:10:00,short,6833.5,6859.25,-128.75,1
