entry_time,exit_time,side,entry_price,exit_price,pnl,contracts
2024-03-12 09:00:00,2024-03-12 09:10:00,short,2175.5,2168.7,68.0,1
2024-03-13 09:35:00,2024-03-13 09:40:00,long,2171.8,2175.0,32.0,1
2024-03-14 08:50:00,2024-03-14 09:00:00,short,2170.5,2167.1,34.0,1
2024-03-20 14:05:00,2024-03-20 14:20:00,long,2174.0,2168.1,-59.0,1
2024-03-20 14:40:00,2024-03-20 15:00:00,long,2174.7,2185.7,110.0,1
2024-05-01 14:20:00,2024-05-01 14:30:00,long,2316.3,2324.2,79.0,1
2024-05-03 09:35:00,2024-05-03 10:05:00,short,2290.3,2302.1,-118.0,1
2024-05-03 10:15:00,2024-05-03 13:35:00,short,2298.5,2309.4,-109.0,1
2024-05-06 09:55:00,2024-05-06 10:40:00,long,2336.2,2330.8,-54.0,1
2024-05-14 09:10:00,2024-05-14 10:05:00,long,2354.5,2360.9,64.0,1
2024-05-22 10:10:00,2024-05-22 10:20:00,short,2403.4,2392.8,106.0,1
2024-05-22 14:10:00,2024-05-22 14:25:00,short,2391.5,2386.7,48.0,1
2024-05-23 10:05:00,2024-05-23 10:35:00,short,2357.7,2344.8,129.0,1
2024-05-27 09:20:00,2024-05-27 09:50:00,long,2351.5,2356.6,51.0,1
2024-06-28 09:10:00,2024-06-28 09:25:00,long,2349.0,2343.2,-58.0,1
2024-07-01 10:00:00,2024-07-01 10:05:00,short,2339.9,2342.3,-24.0,1
2024-07-15 10:00:00,2024-07-15 10:50:00,long,2423.7,2429.3,56.0,1
2024-07-16 09:40:00,2024-07-16 10:55:00,long,2447.3,2454.6,73.0,1
2024-07-17 09:35:00,2024-07-17 10:00:00,long,2480.8,2487.6,68.0,1
2024-07-22 09:45:00,2024-07-22 10:35:00,short,2395.1,2385.6,95.0,1
2024-07-24 09:50:00,2024-07-24 13:05:00,long,2425.4,2417.6,-78.0,1
2024-07-25 09:05:00,2024-07-25 09:20:00,short,2368.7,2372.1,-34.0,1
2024-07-26 10:00:00,2024-07-26 10:05:00,long,2382.6,2385.0,24.0,1
2024-08-29 10:25:00,2024-08-29 11:10:00,long,2527.3,2534.5,72.0,1
2024-09-12 09:05:00,2024-09-12 09:10:00,long,2535.3,2543.6,83.0,1
2024-09-17 13:35:00,2024-09-17 13:45:00,short,2567.0,2570.6,-36.0,1
2024-09-18 14:05:00,2024-09-18 14:15:00,long,2587.6,2592.7,51.0,1
2024-09-23 09:50:00,2024-09-23 11:10:00,long,2632.0,2627.0,-50.0,1
2024-11-27 09:35:00,2024-11-27 09:55:00,long,2653.1,2650.8,-23.0,1
2024-12-30 10:05:00,2024-12-30 10:15:00,short,2619.5,2616.0,35.0,1
2025-01-02 09:15:00,2025-01-02 10:55:00,long,2660.2,2668.6,84.0,1
2025-01-08 10:05:00,2025-01-08 12:40:00,long,2680.9,2667.2,-137.0,1
2025-01-09 10:05:00,2025-01-09 10:10:00,long,2694.4,2690.8,-36.0,1
2025-01-13 09:40:00,2025-01-13 09:50:00,short,2684.6,2690.6,-60.0,1
2025-01-15 09:25:00,2025-01-15 09:35:00,long,2713.3,2705.3,-80.0,1
2025-01-21 08:50:00,2025-01-21 09:00:00,long,2741.0,2737.6,-34.0,1
2025-01-22 09:40:00,2025-01-22 09:50:00,long,2762.0,2768.0,60.0,1
2025-01-23 09:45:00,2025-01-23 09:55:00,short,2746.1,2752.1,-60.0,1
2025-01-27 09:50:00,2025-01-27 10:10:00,short,2752.7,2746.5,62.0,1
2025-02-27 08:55:00,2025-02-27 09:40:00,long,2903.2,2897.1,-61.0,1
2025-03-03 09:35:00,2025-03-03 09:50:00,long,2891.3,2889.6,-17.0,1
2025-03-03 10:05:00,2025-03-03 10:35:00,long,2890.0,2898.0,80.0,1
2025-03-06 10:50:00,2025-03-06 15:20:00,long,2924.0,2923.6,-4.0,1
2025-03-10 10:05:00,2025-03-10 10:15:00,short,2907.6,2914.3,-67.0,1
2025-03-18 09:50:00,2025-03-18 10:05:00,long,3042.8,3037.4,-54.0,1
2025-03-21 09:05:00,2025-03-21 09:25:00,long,3043.1,3038.2,-49.0,1
2025-03-24 10:00:00,2025-03-24 10:30:00,short,3026.9,3020.6,63.0,1
2025-03-26 10:55:00,2025-03-26 15:20:00,short,3023.7,3021.9,18.0,1
2025-05-05 10:05:00,2025-05-05 10:10:00,long,3327.5,3329.6,21.0,1
2025-05-05 10:25:00,2025-05-05 11:05:00,long,3328.1,3320.6,-75.0,1
2025-05-07 14:25:00,2025-05-07 14:45:00,long,3397.1,3387.6,-95.0,1
2025-05-13 09:35:00,2025-05-13 10:00:00,short,3245.2,3231.8,134.0,1
2025-05-15 13:55:00,2025-05-15 15:20:00,long,3225.2,3228.5,33.0,1
2025-05-23 15:05:00,2025-05-23 15:20:00,long,3365.4,3364.8,-6.0,1
2025-05-27 10:05:00,2025-05-27 10:15:00,short,3288.8,3296.5,-77.0,1
2025-05-28 10:10:00,2025-05-28 11:05:00,short,3304.3,3295.7,86.0,1
2025-05-29 10:10:00,2025-05-29 10:30:00,long,3316.0,3309.1,-69.0,1
2025-07-04 09:15:00,2025-07-04 09:45:00,short,3343.5,3347.7,-42.0,1
2025-07-08 09:35:00,2025-07-08 09:50:00,short,3333.1,3325.1,80.0,1
2025-07-09 15:05:00,2025-07-09 15:20:00,long,3323.6,3325.3,17.0,1
2025-07-11 09:35:00,2025-07-11 09:50:00,long,3370.4,3365.2,-52.0,1
2025-07-15 15:10:00,2025-07-15 15:20:00,short,3334.7,3334.6,1.0,1
2025-07-25 08:50:00,2025-07-25 09:10:00,short,3339.2,3342.3,-31.0,1
2025-09-08 09:35:00,2025-09-08 09:50:00,long,3637.1,3643.8,67.0,1
2025-09-17 14:05:00,2025-09-17 14:10:00,long,3697.6,3712.2,146.0,1
2025-09-22 09:20:00,2025-09-22 09:35:00,long,3727.4,3720.1,-73.0,1
2025-09-22 10:55:00,2025-09-22 11:40:00,long,3729.5,3736.7,72.0,1
2025-09-26 09:05:00,2025-09-26 09:10:00,long,3752.7,3759.5,68.0,1
2025-09-26 09:45:00,2025-09-26 10:05:00,long,3755.2,3766.3,111.0,1
2025-09-29 10:05:00,2025-09-29 10:20:00,long,3823.0,3815.7,-73.0,1
2025-10-30 10:50:00,2025-10-30 15:10:00,long,4012.5,4037.4,249.0,1
2025-10-31 10:05:00,2025-10-31 10:35:00,long,4038.1,4032.5,-56.0,1
2025-11-07 10:20:00,2025-11-07 11:15:00,short,3997.5,4006.9,-94.0,1
2025-11-11 08:50:00,2025-11-11 09:05:00,long,4151.8,4146.1,-57.0,1
2025-11-12 09:40:00,2025-11-12 10:15:00,long,4142.0,4168.9,269.0,1
2025-11-19 09:15:00,2025-11-19 09:25:00,long,4118.8,4110.5,-83.0,1
2025-11-19 09:35:00,2025-11-19 10:00:00,long,4114.5,4129.1,146.0,1
2025-11-20 08:50:00,2025-11-20 11:00:00,long,4088.4,4069.2,-192.0,1
2025-11-21 09:55:00,2025-11-21 10:40:00,long,4073.2,4060.0,-132.0,1
