entry_time,exit_time,side,entry_price,exit_price,pnl,contracts
2024-03-01 09:35:00,2024-03-01 09:40:00,long,18134.0,18128.25,-11.5,1
2024-03-06 08:50:00,2024-03-06 09:35:00,long,18088.75,18095.75,14.0,1
2024-03-06 13:50:00,2024-03-06 15:20:00,short,18045.5,18025.25,40.5,1
2024-03-07 09:55:00,2024-03-07 10:45:00,long,18194.0,18264.75,141.5,1
2024-03-08 09:35:00,2024-03-08 09:40:00,long,18344.5,18301.0,-87.0,1
2024-03-08 09:50:00,2024-03-08 11:10:00,long,18356.75,18267.0,-179.5,1
2024-03-11 09:35:00,2024-03-11 09:40:00,short,17913.5,17983.5,-140.0,1
2024-03-11 09:50:00,2024-03-11 10:05:00,short,17966.0,17908.75,114.5,1
2024-03-11 10:25:00,2024-03-11 10:35:00,short,17905.0,17972.25,-134.5,1
2024-03-12 09:35:00,2024-03-12 09:50:00,short,18018.5,17960.75,115.5,1
2024-03-12 14:50:00,2024-03-12 15:20:00,long,18194.75,18198.25,7.0,1
2024-03-14 09:50:00,2024-03-14 10:35:00,short,18028.25,18089.0,-121.5,1
2024-03-18 10:10:00,2024-03-18 11:35:00,long,18332.0,18295.25,-73.5,1
2024-03-19 09:10:00,2024-03-19 09:25:00,short,18120.25,18141.0,-41.5,1
2024-03-19 09:40:00,2024-03-19 10:10:00,short,18078.0,18107.5,-59.0,1
2024-03-19 10:20:00,2024-03-19 10:45:00,short,18081.5,18129.5,-96.0,1
2024-03-20 14:05:00,2024-03-20 14:20:00,long,18361.5,18322.0,-79.0,1
2024-03-20 14:40:00,2024-03-20 15:20:00,long,18366.25,18482.5,232.5,1
2024-03-21 10:10:00,2024-03-21 10:45:00,long,18662.25,18648.75,-27.0,1
2024-03-22 09:45:00,2024-03-22 09:55:00,short,18508.5,18538.25,-59.5,1
2024-03-22 14:30:00,2024-03-22 14:50:00,long,18609.75,18587.75,-44.0,1
2024-03-25 09:10:00,2024-03-25 09:35:00,short,18470.0,18471.5,-3.0,1
2024-03-25 09:40:00,2024-03-25 09:55:00,short,18448.25,18484.0,-71.5,1
2024-03-26 14:45:00,2024-03-26 15:20:00,short,18542.5,18527.5,30.0,1
2024-03-27 15:10:00,2024-03-27 15:20:00,short,18421.0,18403.0,36.0,1
2024-03-28 09:45:00,2024-03-28 12:25:00,long,18506.0,18479.25,-53.5,1
2024-04-01 10:10:00,2024-04-01 10:20:00,long,18576.25,18524.0,-104.5,1
2024-04-03 09:45:00,2024-04-03 10:05:00,short,18255.5,18352.25,-193.5,1
2024-04-03 14:40:00,2024-04-03 14:55:00,long,18419.75,18403.5,-32.5,1
2024-04-05 09:40:00,2024-04-05 09:45:00,short,18107.25,18169.5,-124.5,1
2024-04-09 09:40:00,2024-04-09 09:50:00,long,18390.5,18349.25,-82.5,1
2024-04-09 10:30:00,2024-04-09 10:40:00,short,18282.5,18223.0,119.0,1
2024-04-10 09:50:00,2024-04-10 09:55:00,short,18125.0,18193.25,-136.5,1
2024-04-10 13:40:00,2024-04-10 14:00:00,short,18124.5,18166.75,-84.5,1
