entry_time,exit_time,side,entry_price,exit_price,pnl,contracts
2024-03-01 09:35:00,2024-03-01 09:40:00,long,18134.0,18128.25,-11.5,1
2024-03-06 08:50:00,2024-03-06 09:35:00,long,18088.75,18095.75,14.0,1
2024-03-07 09:55:00,2024-03-07 10:45:00,long,18194.0,18264.75,141.5,1
2024-03-08 09:35:00,2024-03-08 09:40:00,long,18344.5,18301.0,-87.0,1
2024-03-08 09:50:00,2024-03-08 11:10:00,long,18356.75,18267.0,-179.5,1
2024-03-12 14:50:00,2024-03-12 15:20:00,long,18194.75,18198.25,7.0,1
2024-03-18 10:10:00,2024-03-18 11:35:00,long,18332.0,18295.25,-73.5,1
2024-03-20 14:05:00,2024-03-20 14:20:00,long,18361.5,18322.0,-79.0,1
2024-03-20 14:40:00,2024-03-20 15:20:00,long,18366.25,18482.5,232.5,1
2024-03-21 10:10:00,2024-03-21 10:45:00,long,18662.25,18648.75,-27.0,1
2024-03-22 14:30:00,2024-03-22 14:50:00,long,18609.75,18587.75,-44.0,1
2024-03-28 09:45:00,2024-03-28 12:25:00,long,18506.0,18479.25,-53.5,1
2024-04-01 10:10:00,2024-04-01 10:20:00,long,18576.25,18524.0,-104.5,1
2024-04-03 14:40:00,2024-04-03 14:55:00,long,18419.75,18403.5,-32.5,1
2024-04-09 09:40:00,2024-04-09 09:50:00,long,18390.5,18349.25,-82.5,1
2024-04-15 09:55:00,2024-04-15 10:10:00,long,18320.0,18240.5,-159.0,1
2024-04-25 15:00:00,2024-04-25 15:20:00,long,17526.75,17597.75,142.0,1
2024-04-26 09:50:00,2024-04-26 10:20:00,long,17760.0,17831.5,143.0,1
2024-04-29 09:30:00,2024-04-29 09:35:00,long,17921.5,17936.25,29.5,1
2024-05-03 10:40:00,2024-05-03 15:20:00,long,17954.25,18008.5,108.5,1
2024-05-06 09:20:00,2024-05-06 09:35:00,long,18064.75,18069.0,8.5,1
2024-05-06 10:25:00,2024-05-06 12:25:00,long,18100.25,18079.75,-41.0,1
2024-05-07 09:55:00,2024-05-07 11:00:00,long,18208.5,18250.25,83.5,1
2024-05-08 14:30:00,2024-05-08 15:05:00,long,18186.75,18164.25,-45.0,1
2024-05-10 09:35:00,2024-05-10 09:50:00,long,18313.5,18342.25,57.5,1
2024-05-14 10:10:00,2024-05-14 10:30:00,long,18306.75,18364.25,115.0,1
2024-05-15 10:05:00,2024-05-15 10:45:00,long,18511.0,18564.5,107.0,1
2024-05-16 10:20:00,2024-05-16 11:00:00,long,18706.5,18748.25,83.5,1
2024-05-22 09:20:00,2024-05-22 09:45:00,long,18808.5,18813.0,9.0,1
2024-05-22 10:15:00,2024-05-22 12:55:00,long,18824.75,18802.75,-44.0,1
2024-05-24 10:05:00,2024-05-24 10:50:00,long,18782.25,18842.5,120.5,1
2024-05-27 09:35:00,2024-05-27 09:55:00,long,18901.75,18885.75,-32.0,1
2024-05-28 13:35:00,2024-05-28 13:55:00,long,18937.0,18899.75,-74.5,1
2024-06-03 09:05:00,2024-06-03 09:30:00,long,18693.75,18712.75,38.0,1
