entry_time,exit_time,side,entry_price,exit_price,pnl,contracts
2024-03-01 10:10:00,2024-03-01 12:30:00,long,5113.0,5131.5,92.5,1
2024-03-04 14:40:00,2024-03-04 15:20:00,long,5155.5,5155.5,0.0,1
2024-03-05 10:10:00,2024-03-05 11:45:00,short,5106.25,5087.0,96.25,1
2024-03-06 13:45:00,2024-03-06 13:50:00,long,5125.0,5107.5,-87.5,1
2024-03-06 14:05:00,2024-03-06 15:20:00,short,5108.0,5105.5,12.5,1
2024-03-07 13:35:00,2024-03-07 15:20:00,long,5163.25,5158.75,-22.5,1
2024-03-11 10:05:00,2024-03-11 12:40:00,short,5100.25,5116.25,-80.0,1
2024-03-19 12:20:00,2024-03-19 15:20:00,long,5221.0,5231.25,51.25,1
2024-03-20 10:25:00,2024-03-20 13:20:00,long,5244.5,5238.25,-31.25,1
2024-03-25 10:15:00,2024-03-25 15:20:00,long,5285.0,5283.25,-8.75,1
2024-03-27 10:05:00,2024-03-27 15:20:00,short,5276.5,5277.25,-3.75,1
2024-03-28 15:00:00,2024-03-28 15:20:00,long,5316.25,5317.5,6.25,1
2024-04-01 10:05:00,2024-04-01 11:25:00,short,5305.5,5291.0,72.5,1
2024-04-02 10:15:00,2024-04-02 15:10:00,short,5236.75,5254.75,-90.0,1
2024-04-03 10:05:00,2024-04-03 12:05:00,long,5270.75,5270.0,-3.75,1
2024-04-04 12:10:00,2024-04-04 13:45:00,long,5307.25,5295.75,-57.5,1
2024-04-04 14:00:00,2024-04-04 14:20:00,short,5287.75,5258.75,145.0,1
2024-04-05 14:05:00,2024-04-05 15:20:00,long,5244.5,5251.0,32.5,1
2024-04-08 10:30:00,2024-04-08 12:25:00,long,5262.0,5247.0,-75.0,1
2024-04-09 10:30:00,2024-04-09 12:15:00,short,5242.0,5240.0,10.0,1
2024-04-10 13:10:00,2024-04-10 13:25:00,short,5185.75,5213.25,-137.5,1
2024-04-11 10:10:00,2024-04-11 13:05:00,short,5193.25,5223.5,-151.25,1
2024-04-11 13:05:00,2024-04-11 15:20:00,long,5223.5,5248.75,126.25,1
2024-04-12 10:10:00,2024-04-12 11:40:00,short,5200.0,5194.5,27.5,1
2024-04-15 10:40:00,2024-04-15 12:25:00,short,5176.5,5166.25,51.25,1
2024-04-16 14:10:00,2024-04-16 14:25:00,long,5120.5,5088.25,-161.25,1
2024-04-17 10:15:00,2024-04-17 10:55:00,short,5096.75,5081.0,78.75,1
2024-04-18 13:25:00,2024-04-18 15:20:00,short,5042.5,5049.25,-33.75,1
2024-04-19 14:00:00,2024-04-19 15:20:00,short,5025.75,5004.25,107.5,1
2024-04-22 13:30:00,2024-04-22 15:20:00,long,5052.75,5060.0,36.25,1
2024-04-23 10:35:00,2024-04-23 15:20:00,long,5102.0,5105.25,16.25,1
2024-04-26 10:10:00,2024-04-26 15:20:00,long,5133.75,5140.75,35.0,1
2024-04-30 11:10:00,2024-04-30 14:55:00,short,5118.75,5090.25,142.5,1
2024-05-01 10:05:00,2024-05-01 14:05:00,short,5047.25,5064.0,-83.75,1
2024-05-01 14:05:00,2024-05-01 14:40:00,long,5064.0,5085.5,107.5,1
2024-05-02 10:10:00,2024-05-02 14:15:00,short,5038.75,5085.25,-232.5,1
2024-05-06 10:10:00,2024-05-06 15:20:00,long,5186.25,5193.0,33.75,1
2024-05-08 10:25:00,2024-05-08 15:20:00,long,5207.75,5213.0,26.25,1
2024-05-09 10:05:00,2024-05-09 15:20:00,long,5217.0,5235.25,91.25,1
