entry_time,exit_time,side,entry_price,exit_price,pnl,contracts
2024-03-05 10:10:00,2024-03-05 11:45:00,short,5106.25,5087.0,96.25,1
2024-03-06 14:05:00,2024-03-06 15:20:00,short,5108.0,5105.5,12.5,1
2024-03-11 10:05:00,2024-03-11 12:40:00,short,5100.25,5116.25,-80.0,1
2024-03-27 10:05:00,2024-03-27 15:20:00,short,5276.5,5277.25,-3.75,1
2024-04-01 10:05:00,2024-04-01 11:25:00,short,5305.5,5291.0,72.5,1
2024-04-02 10:15:00,2024-04-02 15:10:00,short,5236.75,5254.75,-90.0,1
2024-04-04 14:00:00,2024-04-04 14:20:00,short,5287.75,5258.75,145.0,1
2024-04-09 10:30:00,2024-04-09 12:15:00,short,5242.0,5240.0,10.0,1
2024-04-10 13:10:00,2024-04-10 13:25:00,short,5185.75,5213.25,-137.5,1
2024-04-11 10:10:00,2024-04-11 13:05:00,short,5193.25,5223.5,-151.25,1
2024-04-12 10:10:00,2024-04-12 11:40:00,short,5200.0,5194.5,27.5,1
2024-04-15 10:40:00,2024-04-15 12:25:00,short,5176.5,5166.25,51.25,1
2024-04-17 10:15:00,2024-04-17 10:55:00,short,5096.75,5081.0,78.75,1
2024-04-18 13:25:00,2024-04-18 15:20:00,short,5042.5,5049.25,-33.75,1
2024-04-19 14:00:00,2024-04-19 15:20:00,short,5025.75,5004.25,107.5,1
2024-04-30 11:10:00,2024-04-30 14:55:00,short,5118.75,5090.25,142.5,1
2024-05-01 10:05:00,2024-05-01 14:05:00,short,5047.25,5064.0,-83.75,1
2024-05-02 10:10:00,2024-05-02 14:15:00,short,5038.75,5085.25,-232.5,1
2024-05-10 10:20:00,2024-05-10 15:20:00,short,5249.5,5247.5,10.0,1
2024-05-13 13:05:00,2024-05-13 15:20:00,short,5242.5,5247.25,-23.75,1
2024-05-16 13:25:00,2024-05-16 14:15:00,short,5329.5,5324.25,26.25,1
2024-05-17 14:05:00,2024-05-17 14:50:00,short,5315.5,5315.5,0.0,1
2024-05-22 13:45:00,2024-05-22 14:05:00,short,5327.75,5321.5,31.25,1
2024-05-23 13:40:00,2024-05-23 15:20:00,short,5307.0,5279.75,136.25,1
2024-05-28 13:50:00,2024-05-28 15:20:00,short,5317.0,5310.75,31.25,1
2024-05-31 10:15:00,2024-05-31 15:10:00,short,5241.5,5241.25,1.25,1
2024-06-03 10:50:00,2024-06-03 13:15:00,short,5285.75,5253.25,162.5,1
2024-06-05 10:10:00,2024-06-05 10:35:00,short,5309.5,5328.5,-95.0,1
2024-06-06 14:10:00,2024-06-06 15:20:00,short,5347.5,5362.0,-72.5,1
