entry_time,exit_time,side,entry_price,exit_price,pnl,contracts
2024-03-01 10:50:00,2024-03-01 13:40:00,long,2077.5,2096.3,188.0,1
2024-03-04 10:55:00,2024-03-04 15:20:00,long,2115.5,2125.0,95.0,1
2024-03-05 13:30:00,2024-03-05 15:20:00,long,2141.8,2138.5,-33.0,1
2024-03-06 13:30:00,2024-03-06 15:20:00,long,2159.0,2152.7,-63.0,1
2024-03-07 13:30:00,2024-03-07 15:20:00,long,2165.6,2166.3,7.0,1
2024-03-08 12:05:00,2024-03-08 15:20:00,long,2194.3,2184.3,-100.0,1
2024-03-12 14:00:00,2024-03-12 15:20:00,short,2160.5,2159.4,11.0,1
2024-03-13 13:15:00,2024-03-13 15:20:00,long,2183.5,2178.8,-47.0,1
2024-03-14 11:20:00,2024-03-14 13:20:00,short,2161.7,2167.6,-59.0,1
2024-03-18 10:05:00,2024-03-18 12:05:00,long,2162.6,2158.2,-44.0,1
2024-03-20 10:05:00,2024-03-20 14:35:00,long,2166.7,2166.3,-4.0,1
2024-03-21 10:30:00,2024-03-21 15:20:00,short,2178.7,2184.4,-57.0,1
2024-03-22 13:25:00,2024-03-22 15:20:00,short,2161.4,2163.8,-24.0,1
2024-03-26 11:40:00,2024-03-26 15:20:00,short,2174.1,2177.4,-33.0,1
2024-04-05 16:50:00,2024-04-05 16:55:00,long,2328.4,2328.9,5.0,1
2024-04-12 11:30:00,2024-04-12 12:15:00,long,2391.1,2387.5,-36.0,1
2024-04-28 18:00:00,2024-04-28 18:05:00,long,2347.1,2345.1,-20.0,1
2024-04-29 12:25:00,2024-04-29 15:20:00,long,2357.4,2348.3,-91.0,1
2024-04-30 10:10:00,2024-04-30 15:20:00,short,2313.4,2302.2,112.0,1
2024-05-01 10:15:00,2024-05-01 10:45:00,long,2320.7,2310.7,-100.0,1
2024-05-02 14:00:00,2024-05-02 15:20:00,long,2317.4,2314.6,-28.0,1
2024-05-07 11:00:00,2024-05-07 15:20:00,short,2322.6,2321.9,7.0,1
2024-05-09 10:05:00,2024-05-09 15:20:00,long,2332.1,2343.0,109.0,1
2024-05-13 11:10:00,2024-05-13 15:20:00,short,2342.3,2343.5,-12.0,1
2024-05-14 14:05:00,2024-05-14 15:20:00,long,2363.2,2361.4,-18.0,1
2024-05-15 11:15:00,2024-05-15 15:20:00,long,2386.7,2392.5,58.0,1
2024-05-17 10:55:00,2024-05-17 15:20:00,long,2419.6,2420.0,4.0,1
2024-05-20 13:30:00,2024-05-20 15:20:00,long,2438.3,2436.2,-21.0,1
2024-05-21 11:05:00,2024-05-21 11:45:00,long,2437.3,2427.5,-98.0,1
2024-05-22 10:10:00,2024-05-22 10:30:00,short,2403.4,2389.3,141.0,1
2024-05-23 10:20:00,2024-05-23 15:20:00,short,2348.9,2335.2,137.0,1
2024-05-24 13:35:00,2024-05-24 15:20:00,short,2333.8,2333.6,2.0,1
2024-06-27 10:05:00,2024-06-27 15:20:00,long,2339.8,2337.7,-21.0,1
2024-07-01 10:25:00,2024-07-01 15:20:00,short,2331.4,2340.2,-88.0,1
2024-07-02 14:25:00,2024-07-02 15:20:00,short,2335.6,2338.1,-25.0,1
2024-07-03 13:30:00,2024-07-03 15:20:00,long,2369.8,2365.5,-43.0,1
2024-07-04 10:35:00,2024-07-04 11:25:00,long,2369.0,2365.8,-32.0,1
2024-07-04 13:55:00,2024-07-04 18:05:00,short,2364.5,2365.1,-6.0,1
2024-07-05 13:30:00,2024-07-05 15:20:00,long,2397.9,2400.6,27.0,1
2024-07-08 11:30:00,2024-07-08 11:50:00,short,2377.0,2361.5,155.0,1
2024-07-09 11:00:00,2024-07-09 15:20:00,short,2361.5,2370.7,-92.0,1
2024-07-10 13:25:00,2024-07-10 15:20:00,short,2378.6,2378.6,0.0,1
2024-07-11 13:30:00,2024-07-11 15:20:00,long,2421.8,2423.2,14.0,1
2024-07-15 10:10:00,2024-07-15 11:30:00,long,2427.4,2441.0,136.0,1
2024-07-16 11:25:00,2024-07-16 15:20:00,long,2465.6,2469.4,38.0,1
2024-07-17 12:25:00,2024-07-17 15:20:00,short,2460.2,2463.3,-31.0,1
2024-07-22 10:30:00,2024-07-22 15:20:00,short,2388.1,2397.9,-98.0,1
2024-07-23 13:25:00,2024-07-23 15:20:00,long,2408.6,2408.9,3.0,1
2024-07-24 10:55:00,2024-07-24 13:20:00,long,2432.7,2415.9,-168.0,1
2024-07-25 13:30:00,2024-07-25 15:20:00,short,2353.5,2357.6,-41.0,1
2024-07-26 10:05:00,2024-07-26 15:20:00,long,2385.0,2383.0,-20.0,1
2024-07-29 10:45:00,2024-07-29 13:25:00,short,2379.0,2379.6,-6.0,1
2024-07-30 11:40:00,2024-07-30 13:00:00,short,2383.0,2399.5,-165.0,1
2024-08-15 07:00:00,2024-08-15 08:40:00,short,2457.8,2450.0,78.0,1
2024-08-29 11:10:00,2024-08-29 15:20:00,long,2534.5,2532.7,-18.0,1
2024-08-30 10:30:00,2024-08-30 12:45:00,short,2519.2,2508.4,108.0,1
2024-09-02 14:10:00,2024-09-02 18:05:00,short,2508.7,2507.3,14.0,1
2024-09-04 14:15:00,2024-09-04 15:20:00,long,2501.0,2501.8,8.0,1
2024-09-05 10:20:00,2024-09-05 10:45:00,long,2526.7,2518.8,-79.0,1
2024-09-05 11:10:00,2024-09-05 15:20:00,short,2512.4,2522.2,-98.0,1
2024-09-06 12:05:00,2024-09-06 15:20:00,short,2503.5,2500.6,29.0,1
2024-09-09 10:45:00,2024-09-09 13:00:00,short,2499.9,2510.2,-103.0,1
2024-09-09 13:00:00,2024-09-09 14:10:00,long,2510.2,2505.7,-45.0,1
2024-09-11 12:25:00,2024-09-11 15:20:00,long,2520.6,2516.8,-38.0,1
2024-09-12 13:05:00,2024-09-12 15:20:00,long,2558.2,2560.4,22.0,1
2024-09-17 11:25:00,2024-09-17 14:45:00,short,2574.0,2573.8,2.0,1
2024-09-18 14:05:00,2024-09-18 14:45:00,long,2587.6,2582.7,-49.0,1
2024-09-19 11:50:00,2024-09-19 15:20:00,long,2588.9,2588.3,-6.0,1
2024-09-20 11:40:00,2024-09-20 15:25:00,long,2620.5,2623.6,31.0,1
2024-09-24 12:00:00,2024-09-24 12:45:00,long,2643.5,2654.3,108.0,1
2024-09-25 12:30:00,2024-09-25 13:10:00,short,2654.8,2653.9,9.0,1
2024-09-26 13:25:00,2024-09-26 15:20:00,long,2670.4,2675.3,49.0,1
2024-09-27 10:25:00,2024-09-27 11:05:00,short,2657.8,2643.7,141.0,1
2024-10-31 10:05:00,2024-10-31 15:20:00,short,2760.6,2759.0,16.0,1
2024-11-01 10:40:00,2024-11-01 15:20:00,short,2755.7,2744.7,110.0,1
2024-11-12 10:40:00,2024-11-12 15:20:00,short,2605.1,2605.0,1.0,1
2024-11-13 11:35:00,2024-11-13 15:20:00,short,2594.5,2582.5,120.0,1
2024-11-14 10:10:00,2024-11-14 15:10:00,long,2572.0,2570.3,-17.0,1
2024-11-22 13:25:00,2024-11-22 15:20:00,long,2712.7,2708.8,-39.0,1
2024-11-25 13:20:00,2024-11-25 15:20:00,short,2621.9,2629.4,-75.0,1
2024-11-27 10:05:00,2024-11-27 10:25:00,short,2640.5,2640.6,-1.0,1
2024-11-28 10:55:00,2024-11-28 20:55:00,short,2640.3,2644.9,-46.0,1
2024-12-30 10:10:00,2024-12-30 15:20:00,short,2615.3,2622.5,-72.0,1
2024-12-31 10:35:00,2024-12-31 15:20:00,long,2635.4,2637.6,22.0,1
2025-01-03 10:20:00,2025-01-03 15:20:00,short,2656.1,2653.6,25.0,1
2025-01-14 14:40:00,2025-01-14 15:20:00,long,2689.5,2686.3,-32.0,1
2025-01-15 10:05:00,2025-01-15 12:10:00,short,2698.9,2715.7,-168.0,1
2025-01-17 10:05:00,2025-01-17 15:20:00,long,2748.6,2740.8,-78.0,1
2025-01-20 11:25:00,2025-01-20 18:05:00,short,2718.2,2731.8,-136.0,1
2025-01-21 11:20:00,2025-01-21 15:20:00,long,2758.9,2755.2,-37.0,1
2025-01-23 11:20:00,2025-01-23 15:20:00,long,2757.1,2762.0,49.0,1
2025-01-27 10:05:00,2025-01-27 15:20:00,short,2746.1,2741.2,49.0,1
2025-01-28 11:40:00,2025-01-28 13:50:00,long,2763.2,2772.4,92.0,1
2025-01-29 13:05:00,2025-01-29 15:20:00,short,2765.8,2771.5,-57.0,1
2025-01-30 10:05:00,2025-01-30 15:30:00,long,2814.2,2823.7,95.0,1
2025-02-25 16:30:00,2025-02-26 19:00:00,short,2915.4,2933.9,-185.0,1
2025-03-03 10:25:00,2025-03-03 15:20:00,long,2897.5,2894.9,-26.0,1
2025-03-10 13:40:00,2025-03-10 14:50:00,short,2893.7,2894.2,-5.0,1
2025-03-12 11:05:00,2025-03-12 13:50:00,long,2931.4,2947.7,163.0,1
2025-03-13 10:40:00,2025-03-13 11:40:00,long,2968.4,2989.3,209.0,1
2025-03-17 14:25:00,2025-03-17 15:20:00,long,3008.4,3006.5,-19.0,1
2025-03-19 14:10:00,2025-03-19 15:20:00,long,3046.5,3053.7,72.0,1
2025-03-20 14:15:00,2025-03-20 15:20:00,long,3052.4,3052.4,0.0,1
2025-03-21 10:10:00,2025-03-21 15:20:00,short,3004.1,3026.2,-221.0,1
2025-03-24 10:35:00,2025-03-24 15:20:00,short,3014.5,3015.1,-6.0,1
2025-03-25 10:05:00,2025-03-25 11:15:00,long,3039.6,3027.7,-119.0,1
