entry_time,exit_time,side,entry_price,exit_price,pnl,contracts
2024-03-12 14:00:00,2024-03-12 15:20:00,short,2160.5,2159.4,11.0,1
2024-03-14 11:20:00,2024-03-14 13:20:00,short,2161.7,2167.6,-59.0,1
2024-03-21 10:30:00,2024-03-21 15:20:00,short,2178.7,2184.4,-57.0,1
2024-03-22 13:25:00,2024-03-22 15:20:00,short,2161.4,2163.8,-24.0,1
2024-03-26 11:40:00,2024-03-26 15:20:00,short,2174.1,2177.4,-33.0,1
2024-04-30 10:10:00,2024-04-30 15:20:00,short,2313.4,2302.2,112.0,1
2024-05-07 11:00:00,2024-05-07 15:20:00,short,2322.6,2321.9,7.0,1
2024-05-13 11:10:00,2024-05-13 15:20:00,short,2342.3,2343.5,-12.0,1
2024-05-22 10:10:00,2024-05-22 10:30:00,short,2403.4,2389.3,141.0,1
2024-05-23 10:20:00,2024-05-23 15:20:00,short,2348.9,2335.2,137.0,1
2024-05-24 13:35:00,2024-05-24 15:20:00,short,2333.8,2333.6,2.0,1
2024-07-01 10:25:00,2024-07-01 15:20:00,short,2331.4,2340.2,-88.0,1
2024-07-02 14:25:00,2024-07-02 15:20:00,short,2335.6,2338.1,-25.0,1
2024-07-04 13:55:00,2024-07-04 18:05:00,short,2364.5,2365.1,-6.0,1
2024-07-08 11:30:00,2024-07-08 11:50:00,short,2377.0,2361.5,155.0,1
2024-07-09 11:00:00,2024-07-09 15:20:00,short,2361.5,2370.7,-92.0,1
2024-07-10 13:25:00,2024-07-10 15:20:00,short,2378.6,2378.6,0.0,1
2024-07-17 12:25:00,2024-07-17 15:20:00,short,2460.2,2463.3,-31.0,1
2024-07-22 10:30:00,2024-07-22 15:20:00,short,2388.1,2397.9,-98.0,1
2024-07-25 13:30:00,2024-07-25 15:20:00,short,2353.5,2357.6,-41.0,1
2024-07-29 10:45:00,2024-07-29 13:25:00,short,2379.0,2379.6,-6.0,1
2024-07-30 11:40:00,2024-07-30 13:00:00,short,2383.0,2399.5,-165.0,1
2024-08-15 07:00:00,2024-08-15 08:40:00,short,2457.8,2450.0,78.0,1
2024-08-30 10:30:00,2024-08-30 12:45:00,short,2519.2,2508.4,108.0,1
2024-09-02 14:10:00,2024-09-02 18:05:00,short,2508.7,2507.3,14.0,1
2024-09-05 11:10:00,2024-09-05 15:20:00,short,2512.4,2522.2,-98.0,1
2024-09-06 12:05:00,2024-09-06 15:20:00,short,2503.5,2500.6,29.0,1
2024-09-09 10:45:00,2024-09-09 13:00:00,short,2499.9,2510.2,-103.0,1
2024-09-17 11:25:00,2024-09-17 14:45:00,short,2574.0,2573.8,2.0,1
2024-09-25 12:30:00,2024-09-25 13:10:00,short,2654.8,2653.9,9.0,1
2024-09-27 10:25:00,2024-09-27 11:05:00,short,2657.8,2643.7,141.0,1
2024-10-31 10:05:00,2024-10-31 15:20:00,short,2760.6,2759.0,16.0,1
2024-11-01 10:40:00,2024-11-01 15:20:00,short,2755.7,2744.7,110.0,1
2024-11-12 10:40:00,2024-11-12 15:20:00,short,2605.1,2605.0,1.0,1
2024-11-13 11:35:00,2024-11-13 15:20:00,short,2594.5,2582.5,120.0,1
2024-11-25 13:20:00,2024-11-25 15:20:00,short,2621.9,2629.4,-75.0,1
2024-11-27 10:05:00,2024-11-27 10:25:00,short,2640.5,2640.6,-1.0,1
2024-11-28 10:55:00,2024-11-28 20:55:00,short,2640.3,2644.9,-46.0,1
2024-12-30 10:10:00,2024-12-30 15:20:00,short,2615.3,2622.5,-72.0,1
2025-01-03 10:20:00,2025-01-03 15:20:00,short,2656.1,2653.6,25.0,1
2025-01-15 10:05:00,2025-01-15 12:10:00,short,2698.9,2715.7,-168.0,1
2025-01-20 11:25:00,2025-01-20 18:05:00,short,2718.2,2731.8,-136.0,1
2025-01-27 10:05:00,2025-01-27 15:20:00,short,2746.1,2741.2,49.0,1
2025-01-29 13:05:00,2025-01-29 15:20:00,short,2765.8,2771.5,-57.0,1
2025-02-25 16:30:00,2025-02-26 19:00:00,short,2915.4,2933.9,-185.0,1
2025-03-10 13:40:00,2025-03-10 14:50:00,short,2893.7,2894.2,-5.0,1
2025-03-21 10:10:00,2025-03-21 15:20:00,short,3004.1,3026.2,-221.0,1
2025-03-24 10:35:00,2025-03-24 15:20:00,short,3014.5,3015.1,-6.0,1
2025-03-26 11:05:00,2025-03-26 15:20:00,short,3019.5,3021.9,-24.0,1
