entry_time,exit_time,side,entry_price,exit_price,pnl,contracts
2024-03-01 10:10:00,2024-03-01 12:40:00,long,18172.75,18266.75,188.0,1
2024-03-04 14:40:00,2024-03-04 15:20:00,long,18341.75,18342.25,1.0,1
2024-03-20 14:05:00,2024-03-20 15:20:00,long,18361.5,18482.5,242.0,1
2024-03-26 10:05:00,2024-03-26 10:30:00,long,18606.5,18555.5,-102.0,1
2024-04-03 10:05:00,2024-04-03 11:15:00,long,18352.25,18445.25,186.0,1
2024-04-05 14:10:00,2024-04-05 15:20:00,long,18323.5,18294.75,-57.5,1
2024-04-11 12:00:00,2024-04-11 13:25:00,long,18317.0,18411.25,188.5,1
2024-04-16 14:10:00,2024-04-16 15:20:00,long,17978.25,17936.25,-84.0,1
2024-04-22 13:55:00,2024-04-22 15:20:00,long,17408.5,17400.0,-17.0,1
2024-04-26 10:10:00,2024-04-26 15:20:00,long,17811.0,17873.25,124.5,1
2024-05-01 14:30:00,2024-05-01 14:45:00,long,17558.5,17720.5,324.0,1
2024-05-08 10:25:00,2024-05-08 15:20:00,long,18194.25,18184.0,-20.5,1
2024-05-09 13:05:00,2024-05-09 15:20:00,long,18227.25,18214.5,-25.5,1
2024-05-14 10:25:00,2024-05-14 15:20:00,long,18343.75,18419.25,151.0,1
2024-05-20 12:45:00,2024-05-20 15:20:00,long,18777.75,18770.25,-15.0,1
2024-05-29 10:25:00,2024-05-29 15:20:00,long,18856.5,18834.25,-44.5,1
2024-06-04 14:20:00,2024-06-04 15:20:00,long,18690.0,18661.0,-58.0,1
2024-06-05 10:25:00,2024-06-05 11:20:00,long,18876.0,18967.0,182.0,1
2024-06-07 10:40:00,2024-06-07 14:05:00,long,19073.25,19065.5,-15.5,1
2024-06-10 13:05:00,2024-06-10 15:20:00,long,19102.25,19113.0,21.5,1
2024-06-11 13:05:00,2024-06-11 15:20:00,long,19126.5,19197.0,141.0,1
2024-06-12 14:40:00,2024-06-12 15:20:00,long,19540.0,19577.5,75.0,1
2024-06-14 14:20:00,2024-06-14 15:20:00,long,19650.25,19668.5,36.5,1
2024-06-17 12:30:00,2024-06-17 13:55:00,long,19818.0,19965.0,294.0,1
2024-06-25 10:05:00,2024-06-25 12:50:00,long,19874.5,19891.5,34.0,1
2024-06-27 10:15:00,2024-06-27 11:30:00,long,20110.75,19993.25,-235.0,1
2024-06-28 10:05:00,2024-06-28 12:20:00,long,20219.75,20038.0,-363.5,1
2024-07-01 14:15:00,2024-07-01 15:20:00,long,20030.5,20029.75,-1.5,1
2024-07-02 13:10:00,2024-07-02 15:20:00,long,20163.0,20219.25,112.5,1
2024-07-10 10:10:00,2024-07-10 11:05:00,long,20785.25,20720.5,-129.5,1
2024-07-15 11:50:00,2024-07-15 13:35:00,long,20693.5,20576.25,-234.5,1
2024-07-26 13:45:00,2024-07-26 15:20:00,long,19186.75,19122.0,-129.5,1
2024-08-08 10:05:00,2024-08-08 15:20:00,long,18275.75,18481.75,412.0,1
2024-08-12 10:25:00,2024-08-12 15:20:00,long,18702.5,18630.25,-144.5,1
2024-08-19 12:55:00,2024-08-19 15:20:00,long,19697.5,19772.5,150.0,1
2024-08-21 10:20:00,2024-08-21 10:55:00,long,19898.5,19814.75,-167.5,1
2024-08-23 10:05:00,2024-08-23 10:50:00,long,19845.75,19677.5,-336.5,1
2024-09-02 10:40:00,2024-09-02 18:05:00,long,19651.25,19679.5,56.5,1
2024-09-11 14:30:00,2024-09-11 15:20:00,long,19120.0,19172.0,104.0,1
2024-09-12 15:00:00,2024-09-12 15:20:00,long,19454.25,19462.25,16.0,1
2024-09-13 10:10:00,2024-09-13 15:20:00,long,19507.25,19519.75,25.0,1
2024-09-18 14:20:00,2024-09-18 15:05:00,long,19565.75,19424.5,-282.5,1
2024-09-19 10:30:00,2024-09-19 15:20:00,long,19890.75,19859.5,-62.5,1
2024-09-24 11:55:00,2024-09-24 15:20:00,long,20204.75,20151.5,-106.5,1
2024-09-25 10:10:00,2024-09-25 13:05:00,long,20245.25,20168.25,-154.0,1
2024-10-03 10:05:00,2024-10-03 13:05:00,long,20090.75,19896.75,-388.0,1
2024-10-08 10:45:00,2024-10-08 15:20:00,long,20243.5,20289.75,92.5,1
2024-10-09 10:25:00,2024-10-09 14:30:00,long,20332.5,20456.0,247.0,1
2024-10-10 12:35:00,2024-10-10 15:20:00,long,20464.0,20413.25,-101.5,1
2024-10-11 10:15:00,2024-10-11 15:20:00,long,20437.25,20485.0,95.5,1
2024-10-16 14:25:00,2024-10-16 15:20:00,long,20377.0,20358.25,-37.5,1
2024-10-18 10:10:00,2024-10-18 15:20:00,long,20514.0,20483.75,-60.5,1
2024-10-21 10:10:00,2024-10-21 10:45:00,long,20527.5,20435.0,-185.0,1
2024-10-22 12:55:00,2024-10-22 15:20:00,long,20490.5,20547.5,114.0,1
2024-10-25 10:25:00,2024-10-25 13:45:00,long,20696.5,20486.75,-419.5,1
2024-10-29 10:25:00,2024-10-29 15:20:00,long,20588.0,20725.75,275.5,1
2024-11-01 10:15:00,2024-11-01 15:20:00,long,20215.25,20196.5,-37.5,1
2024-11-07 14:10:00,2024-11-07 15:20:00,long,21192.75,21241.0,96.5,1
2024-11-08 13:35:00,2024-11-08 15:20:00,long,21244.5,21229.25,-30.5,1
2024-11-13 13:50:00,2024-11-13 15:20:00,long,21259.0,21197.0,-124.0,1
2024-11-18 10:35:00,2024-11-18 15:20:00,long,20691.0,20649.25,-83.5,1
2024-11-19 13:50:00,2024-11-19 15:20:00,long,20774.0,20750.25,-47.5,1
2024-11-29 10:10:00,2024-12-01 18:05:00,long,20947.5,20988.5,82.0,1
2024-12-02 10:05:00,2024-12-02 15:20:00,long,21174.75,21219.25,89.0,1
2024-12-04 10:20:00,2024-12-04 15:20:00,long,21446.75,21522.5,151.5,1
2024-12-06 13:10:00,2024-12-06 15:20:00,long,21649.75,21648.5,-2.5,1
2024-12-10 10:10:00,2024-12-10 11:00:00,long,21593.25,21505.0,-176.5,1
2024-12-11 10:10:00,2024-12-11 15:20:00,long,21723.75,21815.75,184.0,1
2024-12-16 10:05:00,2024-12-16 15:00:00,long,21989.25,22124.75,271.0,1
2024-12-24 10:05:00,2024-12-25 18:05:00,long,21928.0,22052.25,248.5,1
2024-12-26 12:55:00,2024-12-26 15:20:00,long,22013.25,22045.25,64.0,1
2024-12-30 13:00:00,2024-12-30 15:20:00,long,21553.0,21534.0,-38.0,1
2025-01-06 10:15:00,2025-01-06 13:50:00,long,21852.5,21718.25,-268.5,1
2025-01-08 10:05:00,2025-01-08 10:15:00,long,21387.5,21244.75,-285.5,1
2025-01-23 11:15:00,2025-01-23 15:20:00,long,21938.75,21966.75,56.0,1
2025-01-28 10:15:00,2025-01-28 15:20:00,long,21374.5,21619.25,489.5,1
2025-01-31 10:05:00,2025-01-31 13:35:00,long,21900.0,21745.75,-308.5,1
2025-02-03 10:30:00,2025-02-03 15:20:00,long,21352.75,21489.75,274.0,1
2025-02-04 10:05:00,2025-02-04 15:20:00,long,21603.25,21647.75,89.0,1
