entry_time,exit_time,side,entry_price,exit_price,pnl,contracts
2024-03-04 12:30:00,2024-03-04 15:20:00,long,5146.75,5155.5,43.75,1
2024-03-05 11:45:00,2024-03-05 15:20:00,short,5087.0,5067.75,96.25,1
2024-03-06 09:35:00,2024-03-06 15:20:00,long,5117.75,5105.5,-61.25,1
2024-03-07 09:35:00,2024-03-07 15:20:00,long,5143.25,5158.75,77.5,1
2024-03-08 12:55:00,2024-03-08 15:20:00,short,5139.0,5139.5,-2.5,1
2024-03-13 13:10:00,2024-03-13 15:20:00,long,5178.5,5174.0,-22.5,1
2024-03-14 09:35:00,2024-03-14 09:50:00,short,5172.75,5155.5,86.25,1
2024-03-18 09:35:00,2024-03-18 15:20:00,long,5232.5,5225.75,-33.75,1
2024-03-19 09:35:00,2024-03-19 12:45:00,short,5201.75,5234.0,-161.25,1
2024-03-20 09:35:00,2024-03-20 14:05:00,long,5238.5,5258.0,97.5,1
2024-03-21 10:20:00,2024-03-21 13:55:00,long,5318.25,5309.75,-42.5,1
2024-03-22 12:35:00,2024-03-22 12:55:00,short,5290.75,5297.75,-35.0,1
2024-03-25 10:15:00,2024-03-25 15:20:00,long,5285.0,5283.25,-8.75,1
2024-03-26 09:35:00,2024-03-26 15:20:00,long,5291.5,5284.75,-33.75,1
2024-03-27 09:35:00,2024-03-27 09:55:00,long,5290.75,5286.25,-22.5,1
2024-03-28 09:35:00,2024-03-28 15:20:00,long,5307.5,5317.5,50.0,1
2024-04-01 10:20:00,2024-04-01 11:55:00,short,5303.0,5285.0,90.0,1
2024-04-03 09:40:00,2024-04-03 10:05:00,long,5255.25,5270.75,77.5,1
2024-04-04 09:35:00,2024-04-04 14:15:00,long,5305.5,5266.75,-193.75,1
2024-04-05 09:55:00,2024-04-05 15:20:00,long,5229.25,5251.0,108.75,1
2024-04-08 09:40:00,2024-04-08 15:20:00,short,5249.5,5258.75,-46.25,1
2024-04-09 09:35:00,2024-04-09 10:05:00,long,5267.75,5255.25,-62.5,1
2024-04-10 09:35:00,2024-04-10 15:20:00,short,5198.25,5207.75,-47.5,1
2024-04-11 09:35:00,2024-04-11 10:10:00,long,5215.75,5193.25,-112.5,1
2024-04-15 10:10:00,2024-04-15 13:20:00,short,5190.5,5145.25,226.25,1
2024-04-16 09:40:00,2024-04-16 15:20:00,short,5098.5,5111.5,-65.0,1
2024-04-17 09:35:00,2024-04-17 10:15:00,long,5112.25,5096.75,-77.5,1
2024-04-18 09:35:00,2024-04-18 10:40:00,short,5064.5,5078.5,-70.0,1
2024-04-19 10:25:00,2024-04-19 15:20:00,short,5031.75,5004.25,137.5,1
2024-04-23 12:35:00,2024-04-23 15:20:00,long,5106.5,5105.25,-6.25,1
2024-04-24 09:40:00,2024-04-24 10:45:00,long,5120.25,5105.25,-75.0,1
2024-04-25 09:35:00,2024-04-25 15:20:00,short,5032.5,5089.0,-282.5,1
2024-04-29 09:35:00,2024-04-29 09:45:00,long,5153.75,5139.75,-70.0,1
2024-04-30 12:35:00,2024-04-30 15:20:00,short,5098.0,5090.5,37.5,1
2024-05-03 11:55:00,2024-05-03 15:20:00,long,5148.5,5156.0,37.5,1
2024-05-06 09:40:00,2024-05-06 14:25:00,long,5180.5,5194.75,71.25,1
2024-05-07 13:25:00,2024-05-07 13:50:00,long,5225.25,5213.25,-60.0,1
2024-05-08 12:40:00,2024-05-08 14:15:00,short,5205.0,5212.75,-38.75,1
2024-05-13 09:35:00,2024-05-13 13:10:00,long,5254.75,5237.25,-87.5,1
2024-05-14 10:30:00,2024-05-14 10:40:00,long,5258.25,5246.5,-58.75,1
2024-05-15 09:35:00,2024-05-15 15:20:00,long,5299.75,5326.5,133.75,1
2024-05-17 14:15:00,2024-05-17 15:00:00,short,5311.0,5321.0,-50.0,1
2024-05-20 13:30:00,2024-05-20 15:20:00,short,5335.75,5334.25,7.5,1
2024-05-21 13:40:00,2024-05-21 15:20:00,long,5335.5,5341.0,27.5,1
2024-05-22 11:55:00,2024-05-22 14:05:00,short,5336.25,5321.5,73.75,1
2024-05-24 09:55:00,2024-05-24 10:05:00,short,5295.5,5304.75,-46.25,1
