entry_time,exit_time,side,entry_price,exit_price,pnl,contracts
2024-03-18 12:05:00,2024-03-18 13:10:00,short,2158.2,2164.3,-61.0,1
2024-03-19 09:35:00,2024-03-19 15:20:00,short,2157.6,2160.9,-33.0,1
2024-03-20 09:35:00,2024-03-20 10:00:00,short,2154.7,2161.0,-63.0,1
2024-04-30 09:35:00,2024-04-30 15:20:00,short,2316.2,2302.2,140.0,1
2024-05-07 09:50:00,2024-05-07 15:20:00,short,2326.4,2321.9,45.0,1
2024-05-08 09:35:00,2024-05-08 10:25:00,short,2318.0,2324.8,-68.0,1
2024-05-10 10:30:00,2024-05-10 15:20:00,short,2367.4,2373.1,-57.0,1
2024-05-13 09:45:00,2024-05-13 15:20:00,short,2348.9,2343.5,54.0,1
2024-05-16 09:35:00,2024-05-16 15:20:00,short,2378.2,2385.5,-73.0,1
2024-05-22 09:35:00,2024-05-22 14:25:00,short,2413.0,2386.7,263.0,1
2024-05-23 09:35:00,2024-05-23 15:20:00,short,2369.3,2335.2,341.0,1
2024-05-29 11:10:00,2024-05-29 15:20:00,short,2340.2,2338.5,17.0,1
2024-07-22 09:40:00,2024-07-22 10:25:00,short,2398.6,2390.7,79.0,1
2024-07-25 12:05:00,2024-07-25 15:20:00,short,2358.9,2357.6,13.0,1
2024-09-11 09:35:00,2024-09-11 12:10:00,short,2512.0,2521.5,-95.0,1
2024-09-25 10:55:00,2024-09-25 15:20:00,short,2657.9,2661.4,-35.0,1
2024-10-31 09:35:00,2024-10-31 15:20:00,short,2775.6,2759.0,166.0,1
2024-11-06 09:35:00,2024-11-06 15:20:00,short,2661.7,2671.8,-101.0,1
2024-11-08 13:40:00,2024-11-08 15:20:00,short,2692.0,2694.7,-27.0,1
2024-11-11 12:30:00,2024-11-11 13:45:00,short,2618.5,2624.6,-61.0,1
2024-11-12 12:10:00,2024-11-12 15:20:00,short,2602.0,2605.0,-30.0,1
2024-11-14 09:55:00,2024-11-14 15:20:00,short,2562.8,2574.1,-113.0,1
2024-11-15 10:40:00,2024-11-15 15:20:00,short,2571.6,2566.2,54.0,1
2024-11-21 12:05:00,2024-11-21 12:50:00,short,2665.2,2672.7,-75.0,1
2024-11-25 09:35:00,2024-11-25 15:20:00,short,2644.2,2629.4,148.0,1
2024-11-26 12:10:00,2024-11-26 15:20:00,short,2626.1,2629.7,-36.0,1
2024-11-28 10:30:00,2024-11-28 20:55:00,short,2640.0,2644.9,-49.0,1
2025-01-03 09:35:00,2025-01-03 10:20:00,short,2665.5,2656.1,94.0,1
2025-01-06 09:35:00,2025-01-06 15:20:00,short,2635.9,2645.0,-91.0,1
2025-01-09 12:05:00,2025-01-09 15:20:00,short,2684.9,2691.5,-66.0,1
2025-01-17 09:35:00,2025-01-17 11:45:00,short,2739.0,2756.1,-171.0,1
2025-01-22 13:05:00,2025-01-22 15:20:00,short,2766.6,2767.8,-12.0,1
2025-01-27 09:35:00,2025-01-27 15:20:00,short,2751.5,2741.2,103.0,1
2025-03-05 09:35:00,2025-03-05 09:45:00,short,2919.3,2924.0,-47.0,1
2025-03-10 09:35:00,2025-03-10 15:20:00,short,2906.5,2891.8,147.0,1
2025-03-12 09:35:00,2025-03-12 10:35:00,short,2917.3,2924.2,-69.0,1
2025-03-14 14:00:00,2025-03-14 15:20:00,short,2997.5,2993.2,43.0,1
2025-03-21 09:35:00,2025-03-21 15:20:00,short,3032.3,3026.2,61.0,1
2025-04-30 14:30:00,2025-04-30 15:20:00,short,3311.4,3313.1,-17.0,1
2025-05-01 11:35:00,2025-05-01 15:20:00,short,3216.4,3232.7,-163.0,1
2025-05-08 10:00:00,2025-05-08 15:20:00,short,3361.5,3305.7,558.0,1
2025-05-12 09:35:00,2025-05-12 15:20:00,short,3238.5,3237.1,14.0,1
2025-05-14 14:05:00,2025-05-14 15:20:00,short,3182.7,3176.8,59.0,1
2025-05-19 13:40:00,2025-05-19 15:20:00,short,3228.6,3236.2,-76.0,1
2025-05-22 09:35:00,2025-05-22 09:55:00,short,3311.7,3295.7,160.0,1
2025-05-27 09:35:00,2025-05-27 15:20:00,short,3302.2,3303.4,-12.0,1
2025-05-28 11:05:00,2025-05-28 15:20:00,short,3295.7,3294.3,14.0,1
2025-07-03 09:35:00,2025-07-03 15:20:00,short,3344.9,3338.1,68.0,1
2025-07-07 09:35:00,2025-07-07 13:35:00,short,3318.9,3344.6,-257.0,1
2025-07-09 09:40:00,2025-07-09 09:55:00,short,3301.6,3311.2,-96.0,1
2025-07-18 14:15:00,2025-07-18 15:20:00,short,3356.7,3357.4,-7.0,1
2025-07-23 09:35:00,2025-07-23 15:20:00,short,3415.0,3403.3,117.0,1
2025-07-24 09:35:00,2025-07-24 15:20:00,short,3363.5,3375.2,-117.0,1
2025-07-28 09:35:00,2025-07-28 09:55:00,short,3323.2,3304.8,184.0,1
2025-09-23 10:25:00,2025-09-23 15:20:00,short,3769.5,3754.1,154.0,1
2025-11-06 10:05:00,2025-11-06 10:15:00,short,3987.5,3990.9,-34.0,1
2025-11-11 13:15:00,2025-11-11 14:20:00,short,4115.1,4123.8,-87.0,1
2025-11-13 13:35:00,2025-11-13 15:20:00,short,4169.3,4166.5,28.0,1
2025-11-14 13:05:00,2025-11-14 15:20:00,short,4090.9,4086.4,45.0,1
2025-11-18 11:05:00,2025-11-18 15:00:00,short,4044.3,4082.3,-380.0,1
2025-11-25 09:50:00,2025-11-25 10:10:00,short,4109.7,4126.9,-172.0,1
2025-12-31 13:50:00,2025-12-31 15:20:00,short,4331.2,4330.9,3.0,1
2026-01-02 13:10:00,2026-01-02 15:20:00,short,4326.8,4332.5,-57.0,1
2026-01-07 09:35:00,2026-01-07 15:20:00,short,4459.1,4469.5,-104.0,1
2026-01-14 12:25:00,2026-01-14 13:20:00,short,4614.3,4633.9,-196.0,1
2026-01-16 10:20:00,2026-01-16 10:30:00,short,4606.2,4568.1,381.0,1
2026-01-21 12:05:00,2026-01-21 14:50:00,short,4826.7,4778.8,479.0,1
2026-01-29 14:25:00,2026-01-29 15:35:00,short,5305.4,5339.3,-339.0,1
2026-02-26 13:00:00,2026-02-26 14:40:00,short,5184.2,5201.3,-171.0,1
2026-03-02 11:05:00,2026-03-02 15:20:00,short,5287.2,5344.1,-569.0,1
2026-03-03 09:35:00,2026-03-03 15:20:00,short,5130.6,5125.8,48.0,1
2026-03-04 12:25:00,2026-03-04 15:20:00,short,5140.3,5139.0,13.0,1
2026-03-05 10:10:00,2026-03-05 15:20:00,short,5079.6,5100.2,-206.0,1
