entry_time,exit_time,side,entry_price,exit_price,pnl,contracts
2024-03-01 10:35:00,2024-03-01 11:05:00,short,5115.0,5126.75,-58.75,1
2024-03-04 12:05:00,2024-03-04 12:35:00,short,5141.75,5145.5,-18.75,1
2024-03-04 12:45:00,2024-03-04 13:25:00,short,5143.75,5139.75,20.0,1
2024-03-05 10:05:00,2024-03-05 10:10:00,long,5118.75,5106.25,-62.5,1
2024-03-05 12:30:00,2024-03-05 13:20:00,long,5098.5,5089.25,-46.25,1
2024-03-06 11:35:00,2024-03-06 12:15:00,short,5121.25,5132.5,-56.25,1
2024-03-06 13:35:00,2024-03-06 13:50:00,short,5118.0,5107.5,52.5,1
2024-03-08 10:40:00,2024-03-08 11:10:00,short,5184.25,5168.25,80.0,1
2024-03-08 14:35:00,2024-03-08 15:20:00,long,5148.75,5139.5,-46.25,1
2024-03-11 10:20:00,2024-03-11 10:55:00,long,5104.25,5114.0,48.75,1
2024-03-11 13:45:00,2024-03-11 14:45:00,short,5114.5,5124.75,-51.25,1
2024-03-12 10:40:00,2024-03-12 14:35:00,short,5163.75,5176.25,-62.5,1
2024-03-13 10:10:00,2024-03-13 10:45:00,long,5172.0,5175.75,18.75,1
2024-03-13 11:55:00,2024-03-13 12:50:00,long,5171.25,5174.0,13.75,1
2024-03-13 13:35:00,2024-03-13 15:00:00,short,5176.5,5173.25,16.25,1
2024-03-14 10:15:00,2024-03-14 13:05:00,long,5157.5,5143.75,-68.75,1
2024-03-14 14:00:00,2024-03-14 15:05:00,long,5151.5,5140.5,-55.0,1
2024-03-18 11:20:00,2024-03-18 12:05:00,short,5230.25,5224.0,31.25,1
2024-03-19 11:00:00,2024-03-19 11:35:00,short,5206.0,5214.75,-43.75,1
2024-03-20 10:35:00,2024-03-20 10:50:00,short,5243.75,5239.75,20.0,1
2024-03-20 13:20:00,2024-03-20 14:05:00,long,5238.25,5258.0,98.75,1
2024-03-20 14:10:00,2024-03-20 14:35:00,short,5251.0,5243.25,38.75,1
2024-03-20 15:15:00,2024-03-20 15:20:00,short,5275.25,5285.75,-52.5,1
2024-03-21 10:05:00,2024-03-21 11:10:00,short,5314.25,5312.75,7.5,1
2024-03-21 11:45:00,2024-03-21 13:25:00,short,5318.5,5314.0,22.5,1
2024-03-21 14:15:00,2024-03-21 15:20:00,long,5308.25,5308.75,2.5,1
2024-03-22 10:30:00,2024-03-22 12:40:00,long,5298.0,5292.25,-28.75,1
2024-03-22 12:45:00,2024-03-22 13:00:00,long,5294.75,5298.25,17.5,1
2024-03-22 14:45:00,2024-03-22 15:15:00,short,5301.5,5294.5,35.0,1
2024-03-25 11:35:00,2024-03-25 12:50:00,short,5284.0,5282.25,8.75,1
2024-03-25 13:40:00,2024-03-25 14:45:00,short,5284.0,5286.25,-11.25,1
2024-03-25 15:10:00,2024-03-25 15:20:00,short,5284.0,5283.25,3.75,1
2024-03-26 12:30:00,2024-03-26 13:45:00,long,5289.5,5285.0,-22.5,1
2024-03-26 14:30:00,2024-03-26 15:20:00,long,5288.25,5284.75,-17.5,1
2024-03-27 10:10:00,2024-03-27 12:50:00,long,5277.5,5280.25,13.75,1
2024-03-27 14:10:00,2024-03-27 14:15:00,long,5278.25,5280.25,10.0,1
2024-03-27 14:35:00,2024-03-27 14:55:00,short,5283.0,5280.0,15.0,1
2024-03-28 10:10:00,2024-03-28 12:25:00,short,5310.5,5310.0,2.5,1
2024-03-28 14:50:00,2024-03-28 14:55:00,long,5309.0,5310.5,7.5,1
2024-03-28 15:05:00,2024-03-28 15:20:00,short,5313.0,5317.5,-22.5,1
2024-04-01 10:10:00,2024-04-01 10:25:00,long,5310.75,5305.5,-26.25,1
2024-04-02 11:15:00,2024-04-02 15:05:00,long,5247.0,5252.75,28.75,1
2024-04-03 10:35:00,2024-04-03 15:15:00,short,5275.25,5258.0,86.25,1
2024-04-04 13:35:00,2024-04-04 13:45:00,short,5299.5,5295.75,18.75,1
2024-04-04 14:25:00,2024-04-04 14:30:00,long,5264.25,5248.0,-81.25,1
2024-04-04 14:50:00,2024-04-04 15:05:00,long,5239.5,5218.5,-105.0,1
2024-04-05 14:00:00,2024-04-05 14:15:00,short,5245.75,5253.5,-38.75,1
2024-04-05 14:30:00,2024-04-05 15:20:00,short,5246.0,5251.0,-25.0,1
2024-04-08 11:05:00,2024-04-08 11:50:00,short,5264.75,5254.5,51.25,1
2024-04-08 14:15:00,2024-04-08 14:40:00,short,5259.75,5255.75,20.0,1
2024-04-08 15:05:00,2024-04-08 15:20:00,short,5258.25,5258.75,-2.5,1
2024-04-09 11:00:00,2024-04-09 12:35:00,long,5220.5,5243.75,116.25,1
2024-04-09 13:55:00,2024-04-09 15:05:00,long,5236.25,5229.5,-33.75,1
