entry_time,exit_time,side,entry_price,exit_price,pnl,contracts
2024-03-01 10:35:00,2024-03-01 11:05:00,short,5115.0,5126.75,-58.75,1
2024-03-04 12:05:00,2024-03-04 12:35:00,short,5141.75,5145.5,-18.75,1
2024-03-04 12:45:00,2024-03-04 13:25:00,short,5143.75,5139.75,20.0,1
2024-03-06 11:35:00,2024-03-06 12:15:00,short,5121.25,5132.5,-56.25,1
2024-03-06 13:35:00,2024-03-06 13:50:00,short,5118.0,5107.5,52.5,1
2024-03-08 10:40:00,2024-03-08 11:10:00,short,5184.25,5168.25,80.0,1
2024-03-11 13:45:00,2024-03-11 14:45:00,short,5114.5,5124.75,-51.25,1
2024-03-12 10:40:00,2024-03-12 14:35:00,short,5163.75,5176.25,-62.5,1
2024-03-13 13:35:00,2024-03-13 15:00:00,short,5176.5,5173.25,16.25,1
2024-03-18 11:20:00,2024-03-18 12:05:00,short,5230.25,5224.0,31.25,1
2024-03-19 11:00:00,2024-03-19 11:35:00,short,5206.0,5214.75,-43.75,1
2024-03-20 10:35:00,2024-03-20 10:50:00,short,5243.75,5239.75,20.0,1
2024-03-20 14:10:00,2024-03-20 14:35:00,short,5251.0,5243.25,38.75,1
2024-03-20 15:15:00,2024-03-20 15:20:00,short,5275.25,5285.75,-52.5,1
2024-03-21 10:05:00,2024-03-21 11:10:00,short,5314.25,5312.75,7.5,1
2024-03-21 11:45:00,2024-03-21 13:25:00,short,5318.5,5314.0,22.5,1
2024-03-22 14:45:00,2024-03-22 15:15:00,short,5301.5,5294.5,35.0,1
2024-03-25 11:35:00,2024-03-25 12:50:00,short,5284.0,5282.25,8.75,1
2024-03-25 13:40:00,2024-03-25 14:45:00,short,5284.0,5286.25,-11.25,1
2024-03-25 15:10:00,2024-03-25 15:20:00,short,5284.0,5283.25,3.75,1
2024-03-27 14:35:00,2024-03-27 14:55:00,short,5283.0,5280.0,15.0,1
2024-03-28 10:10:00,2024-03-28 12:25:00,short,5310.5,5310.0,2.5,1
2024-03-28 15:05:00,2024-03-28 15:20:00,short,5313.0,5317.5,-22.5,1
2024-04-03 10:35:00,2024-04-03 15:15:00,short,5275.25,5258.0,86.25,1
2024-04-04 13:35:00,2024-04-04 13:45:00,short,5299.5,5295.75,18.75,1
2024-04-05 14:00:00,2024-04-05 14:15:00,short,5245.75,5253.5,-38.75,1
2024-04-05 14:30:00,2024-04-05 15:20:00,short,5246.0,5251.0,-25.0,1
2024-04-08 11:05:00,2024-04-08 11:50:00,short,5264.75,5254.5,51.25,1
2024-04-08 14:15:00,2024-04-08 14:40:00,short,5259.75,5255.75,20.0,1
2024-04-08 15:05:00,2024-04-08 15:20:00,short,5258.25,5258.75,-2.5,1
2024-04-11 12:05:00,2024-04-11 13:05:00,short,5213.25,5223.5,-51.25,1
2024-04-15 10:05:00,2024-04-15 10:10:00,short,5205.75,5190.5,76.25,1
2024-04-16 13:30:00,2024-04-16 13:35:00,short,5101.0,5092.0,45.0,1
2024-04-16 14:15:00,2024-04-16 14:20:00,short,5105.0,5093.75,56.25,1
2024-04-18 11:30:00,2024-04-18 12:35:00,short,5086.0,5069.75,81.25,1
2024-04-19 10:15:00,2024-04-19 10:20:00,short,5041.5,5035.5,30.0,1
2024-04-25 13:25:00,2024-04-25 13:40:00,short,5058.5,5077.25,-93.75,1
2024-04-25 14:45:00,2024-04-25 15:05:00,short,5066.25,5082.25,-80.0,1
2024-04-26 11:55:00,2024-04-26 13:05:00,short,5133.5,5142.5,-45.0,1
2024-04-26 14:35:00,2024-04-26 15:00:00,short,5133.5,5141.5,-40.0,1
2024-04-29 10:40:00,2024-04-29 10:50:00,short,5145.5,5143.75,8.75,1
2024-04-29 14:00:00,2024-04-29 14:20:00,short,5148.5,5145.0,17.5,1
2024-05-01 14:10:00,2024-05-01 14:30:00,short,5057.75,5074.25,-82.5,1
2024-05-02 13:40:00,2024-05-02 14:35:00,short,5078.75,5089.75,-55.0,1
2024-05-03 10:05:00,2024-05-03 10:20:00,short,5140.75,5137.5,16.25,1
2024-05-06 11:05:00,2024-05-06 12:50:00,short,5180.5,5185.5,-25.0,1
2024-05-07 10:25:00,2024-05-07 11:00:00,short,5214.5,5222.5,-40.0,1
2024-05-07 11:30:00,2024-05-07 13:50:00,short,5220.75,5213.25,37.5,1
2024-05-08 14:25:00,2024-05-08 15:20:00,short,5210.25,5213.0,-13.75,1
2024-05-09 10:15:00,2024-05-09 10:40:00,short,5214.75,5227.25,-62.5,1
2024-05-09 12:00:00,2024-05-09 12:50:00,short,5222.5,5229.0,-32.5,1
2024-05-14 10:20:00,2024-05-14 10:30:00,short,5247.0,5258.25,-56.25,1
2024-05-14 10:40:00,2024-05-14 14:35:00,short,5246.5,5263.25,-83.75,1
