entry_time,exit_time,side,entry_price,exit_price,pnl,contracts
2024-03-05 10:25:00,2024-03-05 10:55:00,short,2138.6,2134.2,44.0,1
2024-03-05 13:20:00,2024-03-05 13:30:00,short,2138.0,2141.8,-38.0,1
2024-03-05 13:45:00,2024-03-05 14:20:00,short,2138.5,2142.2,-37.0,1
2024-03-05 15:00:00,2024-03-05 15:20:00,short,2138.0,2138.5,-5.0,1
2024-03-06 10:05:00,2024-03-06 11:15:00,short,2143.7,2154.0,-103.0,1
2024-03-06 14:10:00,2024-03-06 15:20:00,short,2151.4,2152.7,-13.0,1
2024-03-07 13:15:00,2024-03-07 14:50:00,short,2165.1,2167.6,-25.0,1
2024-03-07 15:10:00,2024-03-07 15:20:00,short,2165.7,2166.3,-6.0,1
2024-03-08 11:05:00,2024-03-08 11:55:00,short,2181.0,2185.6,-46.0,1
2024-03-08 12:45:00,2024-03-08 13:55:00,short,2193.9,2181.9,120.0,1
2024-03-11 11:30:00,2024-03-11 12:40:00,short,2189.8,2186.6,32.0,1
2024-03-18 10:15:00,2024-03-18 12:05:00,short,2161.9,2158.2,37.0,1
2024-03-18 13:05:00,2024-03-18 15:20:00,short,2163.0,2164.0,-10.0,1
2024-03-19 13:50:00,2024-03-19 15:20:00,short,2159.5,2160.9,-14.0,1
2024-03-20 10:15:00,2024-03-20 10:55:00,short,2166.4,2159.9,65.0,1
2024-03-20 13:40:00,2024-03-20 14:05:00,short,2160.9,2174.0,-131.0,1
2024-03-20 14:20:00,2024-03-20 14:45:00,short,2168.1,2178.7,-106.0,1
2024-03-22 10:25:00,2024-03-22 11:10:00,short,2174.3,2171.8,25.0,1
2024-03-25 11:20:00,2024-03-25 14:15:00,short,2176.4,2174.4,20.0,1
2024-03-27 10:10:00,2024-03-27 15:25:00,short,2190.1,2189.8,3.0,1
2024-03-28 15:10:00,2024-03-28 16:30:00,short,2221.0,2221.1,-1.0,1
2024-04-29 10:35:00,2024-04-29 12:25:00,short,2349.8,2357.4,-76.0,1
2024-04-29 14:30:00,2024-04-29 15:05:00,short,2350.4,2346.4,40.0,1
2024-05-01 10:45:00,2024-05-01 11:30:00,short,2310.7,2319.5,-88.0,1
2024-05-01 13:30:00,2024-05-01 14:00:00,short,2310.7,2310.8,-1.0,1
2024-05-01 14:10:00,2024-05-01 14:30:00,short,2312.3,2324.2,-119.0,1
2024-05-02 14:20:00,2024-05-02 15:20:00,short,2314.4,2314.6,-2.0,1
2024-05-03 14:30:00,2024-05-03 15:20:00,short,2307.2,2308.2,-10.0,1
2024-05-06 10:30:00,2024-05-06 10:45:00,short,2333.6,2330.0,36.0,1
2024-05-06 12:30:00,2024-05-06 12:35:00,short,2333.4,2327.7,57.0,1
2024-05-06 14:00:00,2024-05-06 15:20:00,short,2333.6,2333.8,-2.0,1
2024-05-07 10:30:00,2024-05-07 11:00:00,short,2328.2,2322.6,56.0,1
2024-05-08 12:40:00,2024-05-08 14:05:00,short,2324.2,2320.7,35.0,1
2024-05-09 10:35:00,2024-05-09 15:20:00,short,2337.5,2343.0,-55.0,1
2024-05-10 13:00:00,2024-05-10 15:05:00,short,2375.0,2372.7,23.0,1
2024-05-14 10:20:00,2024-05-14 14:05:00,short,2354.7,2363.2,-85.0,1
2024-05-15 11:20:00,2024-05-15 13:35:00,short,2387.7,2395.6,-79.0,1
2024-05-17 11:45:00,2024-05-17 12:15:00,short,2409.2,2417.6,-84.0,1
2024-05-20 13:35:00,2024-05-20 15:20:00,short,2438.1,2436.2,19.0,1
2024-05-21 11:45:00,2024-05-21 12:05:00,short,2427.5,2422.2,53.0,1
2024-05-27 18:00:00,2024-05-27 18:05:00,short,2352.9,2353.6,-7.0,1
2024-05-28 12:50:00,2024-05-28 14:40:00,short,2357.1,2353.8,33.0,1
2024-05-28 15:15:00,2024-05-28 15:20:00,short,2356.8,2358.0,-12.0,1
2024-05-30 10:55:00,2024-05-30 13:00:00,short,2340.8,2346.2,-54.0,1
2024-05-30 14:10:00,2024-05-30 15:20:00,short,2340.7,2339.1,16.0,1
2024-06-03 11:50:00,2024-06-03 13:00:00,short,2340.0,2350.4,-104.0,1
2024-07-01 15:15:00,2024-07-01 15:20:00,short,2339.8,2340.2,-4.0,1
2024-07-03 13:05:00,2024-07-03 13:30:00,short,2364.7,2369.8,-51.0,1
2024-07-04 10:55:00,2024-07-04 11:25:00,short,2366.7,2365.8,9.0,1
2024-07-04 11:40:00,2024-07-04 12:00:00,short,2367.0,2365.6,14.0,1
2024-07-05 10:05:00,2024-07-05 11:35:00,short,2386.1,2395.2,-91.0,1
2024-07-09 14:35:00,2024-07-09 15:20:00,short,2371.0,2370.7,3.0,1
2024-07-10 10:30:00,2024-07-10 10:40:00,short,2385.7,2383.3,24.0,1
2024-07-11 10:35:00,2024-07-11 10:55:00,short,2410.7,2420.6,-99.0,1
2024-07-15 13:15:00,2024-07-15 14:05:00,short,2430.8,2425.0,58.0,1
2024-07-15 14:55:00,2024-07-15 15:10:00,short,2427.3,2425.0,23.0,1
2024-07-17 10:05:00,2024-07-17 10:10:00,short,2481.0,2477.3,37.0,1
2024-07-23 10:50:00,2024-07-23 15:20:00,short,2406.6,2408.9,-23.0,1
2024-07-24 10:15:00,2024-07-24 10:55:00,short,2420.2,2432.7,-125.0,1
2024-07-24 11:45:00,2024-07-24 12:40:00,short,2424.9,2420.8,41.0,1
2024-07-26 11:00:00,2024-07-26 12:25:00,short,2380.8,2386.8,-60.0,1
2024-07-26 13:30:00,2024-07-26 14:20:00,short,2381.1,2384.8,-37.0,1
2024-07-30 10:55:00,2024-07-30 11:05:00,short,2389.9,2386.1,38.0,1
2024-07-30 12:55:00,2024-07-30 13:00:00,short,2397.0,2399.5,-25.0,1
2024-07-30 13:20:00,2024-07-30 16:15:00,short,2407.0,2407.6,-6.0,1
2024-07-31 14:45:00,2024-07-31 16:10:00,short,2432.8,2448.9,-161.0,1
2024-08-29 11:05:00,2024-08-29 13:00:00,short,2532.4,2535.4,-30.0,1
2024-09-04 10:20:00,2024-09-04 10:40:00,short,2497.5,2506.0,-85.0,1
2024-09-04 11:10:00,2024-09-04 15:20:00,short,2503.9,2501.8,21.0,1
2024-09-05 10:25:00,2024-09-05 10:50:00,short,2525.0,2519.1,59.0,1
2024-09-05 14:20:00,2024-09-05 15:20:00,short,2522.0,2522.2,-2.0,1
2024-09-09 12:10:00,2024-09-09 13:00:00,short,2506.6,2510.2,-36.0,1
2024-09-09 14:00:00,2024-09-09 14:40:00,short,2505.9,2508.3,-24.0,1
2024-09-10 11:40:00,2024-09-10 15:25:00,short,2520.0,2520.8,-8.0,1
2024-09-11 12:50:00,2024-09-11 13:25:00,short,2523.0,2518.5,45.0,1
2024-09-13 10:20:00,2024-09-13 12:10:00,short,2580.2,2588.4,-82.0,1
2024-09-16 10:05:00,2024-09-16 10:10:00,short,2588.5,2586.5,20.0,1
2024-09-17 10:25:00,2024-09-17 10:40:00,short,2582.9,2577.2,57.0,1
2024-09-18 14:40:00,2024-09-20 11:45:00,short,2592.8,2623.7,-309.0,1
2024-09-23 11:05:00,2024-09-23 15:30:00,short,2629.4,2628.3,11.0,1
2024-09-24 10:15:00,2024-09-24 10:45:00,short,2636.4,2641.0,-46.0,1
2024-09-25 10:15:00,2024-09-25 10:55:00,short,2664.0,2657.9,61.0,1
2024-09-26 13:35:00,2024-09-26 14:25:00,short,2670.1,2672.8,-27.0,1
2024-11-04 10:25:00,2024-11-04 10:35:00,short,2753.0,2748.1,49.0,1
2024-11-05 10:05:00,2024-11-05 10:10:00,short,2750.9,2746.6,43.0,1
2024-11-05 15:00:00,2024-11-05 15:20:00,short,2749.9,2751.1,-12.0,1
