entry_time,exit_time,side,entry_price,exit_price,pnl,contracts
2024-03-01 10:25:00,2024-03-01 11:10:00,short,18172.25,18226.5,-108.5,1
2024-03-04 14:45:00,2024-03-04 15:20:00,short,18333.0,18342.25,-18.5,1
2024-03-06 13:35:00,2024-03-06 13:50:00,short,18087.5,18045.5,84.0,1
2024-03-08 10:40:00,2024-03-08 11:05:00,short,18381.5,18314.75,133.5,1
2024-03-11 13:35:00,2024-03-11 13:45:00,short,17986.75,17950.25,73.0,1
2024-03-11 14:55:00,2024-03-11 15:15:00,short,18001.5,17966.25,70.5,1
2024-03-12 12:25:00,2024-03-12 13:10:00,short,18132.25,18087.25,90.0,1
2024-03-18 11:15:00,2024-03-18 11:35:00,short,18321.75,18295.25,53.0,1
2024-03-20 14:10:00,2024-03-20 14:45:00,short,18332.5,18393.0,-121.0,1
2024-03-21 12:00:00,2024-03-21 13:35:00,short,18681.75,18647.5,68.5,1
2024-03-22 15:15:00,2024-03-22 15:20:00,short,18564.5,18563.25,2.5,1
2024-03-25 12:10:00,2024-03-25 13:45:00,short,18514.25,18553.25,-78.0,1
2024-03-28 10:10:00,2024-03-28 10:15:00,short,18501.5,18491.0,21.0,1
2024-03-28 12:05:00,2024-03-28 12:10:00,short,18505.5,18488.5,34.0,1
2024-04-03 10:10:00,2024-04-03 10:25:00,short,18332.5,18399.25,-133.5,1
2024-04-03 10:40:00,2024-04-03 15:15:00,short,18408.5,18344.75,127.5,1
2024-04-04 12:25:00,2024-04-04 14:00:00,short,18551.75,18498.25,107.0,1
2024-04-05 10:10:00,2024-04-05 11:00:00,short,18210.25,18310.25,-200.0,1
2024-04-05 14:00:00,2024-04-05 15:20:00,short,18291.5,18294.75,-6.5,1
2024-04-08 11:00:00,2024-04-08 11:50:00,short,18364.5,18302.5,124.0,1
2024-04-11 11:45:00,2024-04-11 12:00:00,short,18257.0,18317.0,-120.0,1
2024-04-16 10:25:00,2024-04-16 10:30:00,short,17887.5,17858.5,58.0,1
2024-04-16 12:00:00,2024-04-16 12:05:00,short,17890.5,17875.0,31.0,1
2024-04-16 13:05:00,2024-04-16 13:35:00,short,17893.5,17865.0,57.0,1
2024-04-16 14:15:00,2024-04-16 14:25:00,short,17922.25,17864.75,115.0,1
2024-04-16 15:05:00,2024-04-16 15:20:00,short,17928.75,17936.25,-15.0,1
2024-04-25 12:35:00,2024-04-25 13:05:00,short,17455.5,17501.75,-92.5,1
2024-04-25 13:25:00,2024-04-25 13:40:00,short,17471.0,17546.25,-150.5,1
2024-04-26 10:10:00,2024-04-26 11:05:00,short,17811.0,17871.5,-121.0,1
2024-04-26 14:35:00,2024-04-26 15:05:00,short,17838.0,17862.5,-49.0,1
2024-04-29 14:05:00,2024-04-29 14:30:00,short,17901.75,17886.75,30.0,1
2024-05-01 14:10:00,2024-05-01 14:30:00,short,17487.5,17558.5,-142.0,1
2024-05-02 13:55:00,2024-05-02 14:10:00,short,17582.75,17626.0,-86.5,1
2024-05-03 10:05:00,2024-05-03 11:10:00,short,17941.25,17909.5,63.5,1
2024-05-06 11:05:00,2024-05-06 11:50:00,short,18082.25,18114.75,-65.0,1
2024-05-06 12:15:00,2024-05-06 12:25:00,short,18092.75,18079.75,26.0,1
2024-05-06 12:55:00,2024-05-06 13:45:00,short,18099.0,18128.25,-58.5,1
2024-05-07 10:25:00,2024-05-07 10:55:00,short,18189.0,18233.75,-89.5,1
2024-05-07 11:30:00,2024-05-07 13:50:00,short,18246.0,18201.25,89.5,1
2024-05-09 11:00:00,2024-05-09 15:20:00,short,18210.75,18214.5,-7.5,1
2024-05-14 10:40:00,2024-05-14 14:15:00,short,18303.25,18375.25,-144.0,1
2024-05-16 11:15:00,2024-05-16 13:25:00,short,18738.0,18682.0,112.0,1
2024-05-20 10:05:00,2024-05-20 12:55:00,short,18743.75,18784.5,-81.5,1
2024-05-20 13:30:00,2024-05-20 15:15:00,short,18744.5,18770.75,-52.5,1
2024-05-21 11:35:00,2024-05-21 14:00:00,short,18747.5,18775.75,-56.5,1
2024-05-22 10:05:00,2024-05-22 10:45:00,short,18817.25,18806.75,21.0,1
2024-05-22 11:50:00,2024-05-22 12:50:00,short,18825.5,18798.25,54.5,1
2024-05-24 15:05:00,2024-05-24 15:20:00,short,18851.5,18870.25,-37.5,1
2024-05-28 12:20:00,2024-05-28 13:05:00,short,18914.5,18905.75,17.5,1
2024-05-28 13:25:00,2024-05-28 13:40:00,short,18922.0,18941.5,-39.0,1
2024-05-28 13:50:00,2024-05-28 13:55:00,short,18916.25,18899.75,33.0,1
2024-05-29 13:05:00,2024-05-29 13:40:00,short,18852.0,18828.5,47.0,1
2024-06-04 10:10:00,2024-06-04 14:15:00,short,18594.0,18660.25,-132.5,1
2024-06-04 15:05:00,2024-06-04 15:20:00,short,18651.75,18661.0,-18.5,1
2024-06-05 10:10:00,2024-06-05 10:25:00,short,18818.5,18876.0,-115.0,1
2024-06-07 11:00:00,2024-06-07 11:10:00,short,19076.25,19031.75,89.0,1
2024-06-07 12:15:00,2024-06-07 12:35:00,short,19082.75,19107.5,-49.5,1
2024-06-07 14:05:00,2024-06-07 14:10:00,short,19065.5,19041.0,49.0,1
2024-06-10 11:20:00,2024-06-10 11:45:00,short,19067.5,19097.0,-59.0,1
2024-06-10 13:30:00,2024-06-10 13:50:00,short,19063.5,19112.75,-98.5,1
2024-06-10 14:10:00,2024-06-10 14:35:00,short,19078.5,19042.5,72.0,1
2024-06-11 11:05:00,2024-06-11 13:55:00,short,19115.75,19161.0,-90.5,1
2024-06-12 14:05:00,2024-06-12 14:30:00,short,19479.0,19526.75,-95.5,1
2024-06-12 14:45:00,2024-06-12 15:20:00,short,19499.5,19577.5,-156.0,1
2024-06-14 12:45:00,2024-06-14 13:20:00,short,19629.5,19648.5,-38.0,1
2024-06-17 11:15:00,2024-06-17 12:25:00,short,19740.25,19786.75,-93.0,1
2024-06-18 13:55:00,2024-06-18 14:05:00,short,19939.75,19905.0,69.5,1
2024-06-19 11:45:00,2024-06-19 12:20:00,short,19968.25,19959.5,17.5,1
2024-06-25 10:55:00,2024-06-25 11:15:00,short,19861.25,19921.5,-120.5,1
2024-06-25 12:35:00,2024-06-25 13:05:00,short,19896.75,19846.25,101.0,1
2024-06-26 12:00:00,2024-06-26 12:45:00,short,20019.0,19968.5,101.0,1
2024-06-27 10:20:00,2024-06-27 10:50:00,short,20071.0,20033.75,74.5,1
2024-06-27 14:00:00,2024-06-27 14:05:00,short,20034.5,20011.0,47.0,1
2024-06-28 10:20:00,2024-06-28 10:55:00,short,20227.75,20148.75,158.0,1
2024-07-01 12:05:00,2024-07-01 12:50:00,short,19963.5,20013.75,-100.5,1
2024-07-02 12:15:00,2024-07-02 12:50:00,short,20076.25,20121.5,-90.5,1
2024-07-05 10:10:00,2024-07-05 10:50:00,short,20479.5,20542.5,-126.0,1
2024-07-08 11:40:00,2024-07-08 12:10:00,short,20648.5,20621.25,54.5,1
2024-07-08 13:50:00,2024-07-08 14:45:00,short,20651.25,20617.5,67.5,1
2024-07-10 10:20:00,2024-07-10 10:35:00,short,20773.25,20754.0,38.5,1
2024-07-12 12:10:00,2024-07-12 13:00:00,short,20569.25,20630.5,-122.5,1
2024-07-15 10:20:00,2024-07-15 10:55:00,short,20662.5,20727.5,-130.0,1
2024-07-15 11:35:00,2024-07-15 12:10:00,short,20707.0,20663.25,87.5,1
2024-07-22 10:05:00,2024-07-22 10:10:00,short,19932.0,19903.75,56.5,1
2024-07-22 10:50:00,2024-07-22 11:10:00,short,19990.25,19894.5,191.5,1
2024-07-23 10:15:00,2024-07-23 10:45:00,short,19995.5,19980.0,31.0,1
2024-07-23 11:40:00,2024-07-23 12:25:00,short,20057.25,19958.75,197.0,1
2024-07-25 13:25:00,2024-07-25 14:50:00,short,19253.75,19130.75,246.0,1
2024-07-26 12:15:00,2024-07-26 12:50:00,short,19212.0,19269.5,-115.0,1
2024-07-26 13:40:00,2024-07-26 14:55:00,short,19157.0,19136.25,41.5,1
2024-07-29 10:05:00,2024-07-29 10:15:00,short,19353.0,19253.75,198.5,1
2024-07-31 13:35:00,2024-07-31 13:55:00,short,19377.0,19439.5,-125.0,1
2024-07-31 14:05:00,2024-07-31 14:35:00,short,19428.75,19502.75,-148.0,1
2024-08-05 11:00:00,2024-08-05 12:20:00,short,17942.75,18205.0,-524.5,1
2024-08-05 14:45:00,2024-08-05 15:20:00,short,17930.5,17931.75,-2.5,1
2024-08-06 15:05:00,2024-08-06 15:20:00,short,18310.75,18300.5,20.5,1
2024-08-07 10:20:00,2024-08-07 10:30:00,short,18438.75,18433.75,10.0,1
2024-08-07 10:55:00,2024-08-07 11:45:00,short,18510.75,18389.75,242.0,1
2024-08-09 13:45:00,2024-08-09 15:20:00,short,18639.5,18624.5,30.0,1
2024-08-14 15:10:00,2024-08-14 15:15:00,short,19085.5,19045.75,79.5,1
2024-08-19 11:15:00,2024-08-19 13:50:00,short,19652.5,19709.0,-113.0,1
2024-08-21 10:15:00,2024-08-21 10:40:00,short,19867.75,19931.5,-127.5,1
2024-08-21 10:50:00,2024-08-21 10:55:00,short,19910.75,19814.75,192.0,1
2024-08-21 14:40:00,2024-08-21 15:20:00,short,19904.5,19859.5,90.0,1
2024-08-23 10:20:00,2024-08-23 10:50:00,short,19825.0,19677.5,295.0,1
2024-08-29 10:20:00,2024-08-29 10:50:00,short,19553.0,19680.75,-255.5,1
2024-08-29 13:40:00,2024-08-29 14:20:00,short,19603.25,19556.0,94.5,1
2024-08-30 10:15:00,2024-08-30 10:55:00,short,19576.0,19540.0,72.0,1
2024-09-02 10:15:00,2024-09-02 10:35:00,short,19601.5,19634.25,-65.5,1
2024-09-02 11:40:00,2024-09-02 18:05:00,short,19646.5,19679.5,-66.0,1
2024-09-04 10:05:00,2024-09-04 10:35:00,short,18920.25,19037.5,-234.5,1
2024-09-04 11:30:00,2024-09-04 14:40:00,short,19016.5,18964.75,103.5,1
2024-09-05 10:15:00,2024-09-05 10:30:00,short,19040.0,19106.0,-132.0,1
2024-09-09 10:20:00,2024-09-09 10:30:00,short,18652.25,18621.5,61.5,1
2024-09-09 13:45:00,2024-09-09 14:05:00,short,18649.75,18619.25,61.0,1
2024-09-10 10:15:00,2024-09-10 14:05:00,short,18711.25,18821.0,-219.5,1
2024-09-12 10:25:00,2024-09-12 11:00:00,short,19323.5,19280.0,87.0,1
2024-09-12 11:20:00,2024-09-12 11:30:00,short,19336.25,19288.5,95.5,1
2024-09-13 10:15:00,2024-09-13 10:30:00,short,19487.25,19462.0,50.5,1
2024-09-13 10:55:00,2024-09-13 12:05:00,short,19507.25,19547.0,-79.5,1
2024-09-13 12:15:00,2024-09-13 13:20:00,short,19505.75,19562.0,-112.5,1
2024-09-13 14:25:00,2024-09-13 15:20:00,short,19511.75,19519.75,-16.0,1
2024-09-16 15:05:00,2024-09-16 15:20:00,short,19421.5,19419.5,4.0,1
2024-09-17 10:55:00,2024-09-17 11:00:00,short,19582.0,19535.5,93.0,1
2024-09-18 14:15:00,2024-09-18 14:35:00,short,19498.75,19629.0,-260.5,1
2024-09-18 14:40:00,2024-09-18 15:05:00,short,19556.0,19424.5,263.0,1
2024-09-19 11:00:00,2024-09-19 11:25:00,short,19828.0,19902.75,-149.5,1
2024-09-19 15:15:00,2024-09-19 15:20:00,short,19866.0,19859.5,13.0,1
2024-09-23 10:35:00,2024-09-23 10:40:00,short,20086.0,20060.75,50.5,1
2024-09-23 11:00:00,2024-09-23 11:05:00,short,20096.5,20072.0,49.0,1
2024-09-23 11:45:00,2024-09-23 12:15:00,short,20106.75,20064.75,84.0,1
2024-09-24 14:50:00,2024-09-24 15:20:00,short,20137.0,20151.5,-29.0,1
2024-09-25 10:50:00,2024-09-25 12:50:00,short,20210.75,20181.0,59.5,1
2024-09-30 12:25:00,2024-09-30 13:10:00,short,20235.25,20190.0,90.5,1
2024-10-02 10:55:00,2024-10-02 11:20:00,short,19989.75,20085.0,-190.5,1
2024-10-02 13:00:00,2024-10-02 13:35:00,short,19980.0,19976.25,7.5,1
2024-10-02 14:30:00,2024-10-02 15:20:00,short,20020.75,20036.5,-31.5,1
2024-10-03 10:15:00,2024-10-03 10:25:00,short,20026.0,19969.75,112.5,1
2024-10-03 12:00:00,2024-10-03 12:45:00,short,20040.25,19973.25,134.0,1
2024-10-04 13:50:00,2024-10-04 14:15:00,short,20149.0,20112.5,73.0,1
2024-10-07 10:25:00,2024-10-07 11:05:00,short,20165.0,20138.0,54.0,1
2024-10-08 13:10:00,2024-10-08 14:00:00,short,20177.0,20231.5,-109.0,1
2024-10-09 10:50:00,2024-10-09 11:05:00,short,20324.25,20374.25,-100.0,1
2024-10-10 12:45:00,2024-10-10 14:40:00,short,20441.0,20403.25,75.5,1
2024-10-11 10:25:00,2024-10-11 15:20:00,short,20446.5,20485.0,-77.0,1
2024-10-14 10:20:00,2024-10-14 11:00:00,short,20606.0,20563.0,86.0,1
