entry_time,exit_time,side,entry_price,exit_price,pnl,contracts
2024-03-08 10:05:00,2024-03-08 11:25:00,long,5190.0,5163.25,-133.75,1
2024-03-11 10:05:00,2024-03-11 13:35:00,short,5100.25,5121.25,-105.0,1
2024-03-12 10:05:00,2024-03-12 10:35:00,short,5140.0,5164.5,-122.5,1
2024-03-13 10:05:00,2024-03-13 15:20:00,short,5168.25,5174.0,-28.75,1
2024-03-14 10:05:00,2024-03-14 15:10:00,short,5147.75,5133.0,73.75,1
2024-03-18 10:05:00,2024-03-18 15:20:00,long,5226.75,5225.75,-5.0,1
2024-03-19 10:05:00,2024-03-19 12:35:00,short,5202.5,5227.5,-125.0,1
2024-03-20 10:05:00,2024-03-20 14:10:00,short,5239.5,5251.0,-57.5,1
2024-03-21 10:05:00,2024-03-21 15:20:00,short,5314.25,5308.75,27.5,1
2024-03-22 10:05:00,2024-03-22 15:20:00,long,5302.0,5293.75,-41.25,1
2024-03-25 10:05:00,2024-03-25 15:20:00,long,5279.5,5283.25,18.75,1
2024-03-26 10:05:00,2024-03-26 15:20:00,long,5291.25,5284.75,-32.5,1
2024-03-27 10:05:00,2024-03-27 15:20:00,short,5276.5,5277.25,-3.75,1
2024-03-28 10:05:00,2024-03-28 15:20:00,long,5314.0,5317.5,17.5,1
2024-04-01 10:05:00,2024-04-01 15:20:00,short,5305.5,5291.75,68.75,1
2024-04-02 10:05:00,2024-04-02 15:20:00,short,5250.5,5250.25,1.25,1
2024-04-03 10:05:00,2024-04-03 15:20:00,long,5270.75,5257.5,-66.25,1
2024-04-04 10:05:00,2024-04-04 14:15:00,short,5298.25,5266.75,157.5,1
2024-04-05 10:05:00,2024-04-05 11:45:00,long,5225.0,5256.25,156.25,1
2024-04-08 10:05:00,2024-04-08 10:35:00,short,5251.0,5264.75,-68.75,1
2024-04-09 10:05:00,2024-04-09 10:35:00,short,5255.25,5232.75,112.5,1
2024-04-10 10:05:00,2024-04-10 13:10:00,long,5200.25,5185.75,-72.5,1
2024-04-11 10:05:00,2024-04-11 10:20:00,short,5199.0,5184.0,75.0,1
2024-04-12 10:05:00,2024-04-12 10:45:00,long,5205.75,5188.25,-87.5,1
2024-04-15 10:05:00,2024-04-15 11:05:00,short,5205.75,5172.5,166.25,1
2024-04-16 10:05:00,2024-04-16 14:15:00,short,5101.25,5105.0,-18.75,1
2024-04-17 10:05:00,2024-04-17 10:55:00,short,5099.75,5081.0,93.75,1
2024-04-18 10:05:00,2024-04-18 10:35:00,short,5059.25,5078.25,-95.0,1
2024-04-19 10:05:00,2024-04-19 10:40:00,long,5048.25,5029.75,-92.5,1
2024-04-22 10:05:00,2024-04-22 11:10:00,long,5031.75,5010.0,-108.75,1
2024-04-23 10:05:00,2024-04-23 15:20:00,long,5082.0,5105.25,116.25,1
2024-04-24 10:05:00,2024-04-24 15:20:00,short,5114.25,5103.0,56.25,1
2024-04-25 10:05:00,2024-04-25 12:00:00,short,5026.5,5050.0,-117.5,1
2024-04-26 10:05:00,2024-04-26 15:20:00,long,5133.75,5140.75,35.0,1
2024-04-29 10:05:00,2024-04-29 15:20:00,short,5144.75,5130.25,72.5,1
