entry_time,exit_time,side,entry_price,exit_price,pnl,contracts
2024-03-08 10:05:00,2024-03-08 11:25:00,long,5190.0,5163.25,-133.75,1
2024-03-18 10:05:00,2024-03-18 15:20:00,long,5226.75,5225.75,-5.0,1
2024-03-22 10:05:00,2024-03-22 15:20:00,long,5302.0,5293.75,-41.25,1
2024-03-25 10:05:00,2024-03-25 15:20:00,long,5279.5,5283.25,18.75,1
2024-03-26 10:05:00,2024-03-26 15:20:00,long,5291.25,5284.75,-32.5,1
2024-03-28 10:05:00,2024-03-28 15:20:00,long,5314.0,5317.5,17.5,1
2024-04-03 10:05:00,2024-04-03 15:20:00,long,5270.75,5257.5,-66.25,1
2024-04-05 10:05:00,2024-04-05 11:45:00,long,5225.0,5256.25,156.25,1
2024-04-10 10:05:00,2024-04-10 13:10:00,long,5200.25,5185.75,-72.5,1
2024-04-12 10:05:00,2024-04-12 10:45:00,long,5205.75,5188.25,-87.5,1
2024-04-19 10:05:00,2024-04-19 10:40:00,long,5048.25,5029.75,-92.5,1
2024-04-22 10:05:00,2024-04-22 11:10:00,long,5031.75,5010.0,-108.75,1
2024-04-23 10:05:00,2024-04-23 15:20:00,long,5082.0,5105.25,116.25,1
2024-04-26 10:05:00,2024-04-26 15:20:00,long,5133.75,5140.75,35.0,1
2024-04-30 10:05:00,2024-04-30 11:15:00,long,5137.0,5110.25,-133.75,1
2024-05-06 10:05:00,2024-05-06 15:20:00,long,5183.0,5193.0,50.0,1
2024-05-08 10:05:00,2024-05-08 15:20:00,long,5205.25,5213.0,38.75,1
2024-05-09 10:05:00,2024-05-09 15:20:00,long,5217.0,5235.25,91.25,1
2024-05-14 10:05:00,2024-05-14 15:20:00,long,5250.0,5270.75,103.75,1
2024-05-15 10:05:00,2024-05-15 14:00:00,long,5297.5,5325.5,140.0,1
2024-05-16 10:05:00,2024-05-16 15:20:00,long,5334.5,5333.75,-3.75,1
2024-05-17 10:05:00,2024-05-17 14:25:00,long,5321.25,5309.5,-58.75,1
2024-05-20 10:05:00,2024-05-20 14:10:00,long,5341.75,5330.0,-58.75,1
2024-05-21 10:05:00,2024-05-21 15:20:00,long,5330.25,5341.0,53.75,1
2024-05-22 10:05:00,2024-05-22 13:45:00,long,5341.75,5327.75,-70.0,1
2024-05-27 10:05:00,2024-05-28 00:05:00,long,5320.5,5329.5,45.0,1
2024-05-29 10:05:00,2024-05-29 15:20:00,long,5287.75,5290.25,12.5,1
