entry_time,exit_time,side,entry_price,exit_price,pnl,contracts
2024-03-11 10:05:00,2024-03-11 13:35:00,short,5100.25,5121.25,-105.0,1
2024-03-12 10:05:00,2024-03-12 10:35:00,short,5140.0,5164.5,-122.5,1
2024-03-13 10:05:00,2024-03-13 15:20:00,short,5168.25,5174.0,-28.75,1
2024-03-14 10:05:00,2024-03-14 15:10:00,short,5147.75,5133.0,73.75,1
2024-03-19 10:05:00,2024-03-19 12:35:00,short,5202.5,5227.5,-125.0,1
2024-03-20 10:05:00,2024-03-20 14:10:00,short,5239.5,5251.0,-57.5,1
2024-03-21 10:05:00,2024-03-21 15:20:00,short,5314.25,5308.75,27.5,1
2024-03-27 10:05:00,2024-03-27 15:20:00,short,5276.5,5277.25,-3.75,1
2024-04-01 10:05:00,2024-04-01 15:20:00,short,5305.5,5291.75,68.75,1
2024-04-02 10:05:00,2024-04-02 15:20:00,short,5250.5,5250.25,1.25,1
2024-04-04 10:05:00,2024-04-04 14:15:00,short,5298.25,5266.75,157.5,1
2024-04-08 10:05:00,2024-04-08 10:35:00,short,5251.0,5264.75,-68.75,1
2024-04-09 10:05:00,2024-04-09 10:35:00,short,5255.25,5232.75,112.5,1
2024-04-11 10:05:00,2024-04-11 10:20:00,short,5199.0,5184.0,75.0,1
2024-04-15 10:05:00,2024-04-15 11:05:00,short,5205.75,5172.5,166.25,1
2024-04-16 10:05:00,2024-04-16 14:15:00,short,5101.25,5105.0,-18.75,1
2024-04-17 10:05:00,2024-04-17 10:55:00,short,5099.75,5081.0,93.75,1
2024-04-18 10:05:00,2024-04-18 10:35:00,short,5059.25,5078.25,-95.0,1
2024-04-24 10:05:00,2024-04-24 15:20:00,short,5114.25,5103.0,56.25,1
2024-04-25 10:05:00,2024-04-25 12:00:00,short,5026.5,5050.0,-117.5,1
2024-04-29 10:05:00,2024-04-29 15:20:00,short,5144.75,5130.25,72.5,1
2024-05-01 10:05:00,2024-05-01 14:30:00,short,5047.25,5074.25,-135.0,1
2024-05-02 10:05:00,2024-05-02 10:10:00,short,5054.25,5038.75,77.5,1
2024-05-03 10:05:00,2024-05-03 15:20:00,short,5140.75,5156.0,-76.25,1
2024-05-07 10:05:00,2024-05-07 15:20:00,short,5213.5,5210.5,15.0,1
2024-05-10 10:05:00,2024-05-10 15:20:00,short,5254.5,5247.5,35.0,1
2024-05-13 10:05:00,2024-05-13 15:20:00,short,5253.25,5247.25,30.0,1
2024-05-23 10:05:00,2024-05-23 10:10:00,short,5327.75,5330.0,-11.25,1
2024-05-24 10:05:00,2024-05-24 11:00:00,short,5304.75,5316.75,-60.0,1
2024-05-28 10:05:00,2024-05-28 14:35:00,short,5322.0,5302.0,100.0,1
2024-05-31 10:05:00,2024-05-31 10:25:00,short,5252.25,5231.5,103.75,1
2024-06-03 10:05:00,2024-06-03 10:50:00,short,5299.25,5285.75,67.5,1
2024-06-05 10:05:00,2024-06-05 11:05:00,short,5318.0,5334.0,-80.0,1
2024-06-06 10:05:00,2024-06-06 15:20:00,short,5365.5,5362.0,17.5,1
2024-06-11 10:05:00,2024-06-11 10:45:00,short,5342.75,5357.25,-72.5,1
2024-06-13 10:05:00,2024-06-13 10:30:00,short,5430.5,5423.25,36.25,1
2024-06-14 10:05:00,2024-06-14 12:15:00,short,5415.5,5426.75,-56.25,1
2024-06-19 10:05:00,2024-06-20 00:05:00,short,5495.25,5501.5,-31.25,1
2024-06-25 10:05:00,2024-06-25 15:20:00,short,5525.75,5533.5,-38.75,1
2024-07-01 10:05:00,2024-07-01 10:15:00,short,5530.0,5507.5,112.5,1
2024-07-04 10:05:00,2024-07-05 00:05:00,short,5587.75,5593.0,-26.25,1
2024-07-16 10:05:00,2024-07-16 10:55:00,short,5694.25,5704.0,-48.75,1
2024-07-22 10:05:00,2024-07-22 10:40:00,short,5582.75,5604.25,-107.5,1
2024-07-24 10:05:00,2024-07-24 12:10:00,short,5522.25,5499.5,113.75,1
2024-07-25 10:05:00,2024-07-25 10:45:00,short,5444.0,5471.25,-136.25,1
2024-07-30 10:05:00,2024-07-30 11:10:00,short,5507.0,5470.25,183.75,1
2024-08-02 10:05:00,2024-08-02 10:40:00,short,5385.5,5338.25,236.25,1
2024-08-12 10:05:00,2024-08-12 15:20:00,short,5358.5,5366.25,-38.75,1
2024-08-14 10:05:00,2024-08-14 15:20:00,short,5454.75,5469.5,-73.75,1
2024-08-22 10:05:00,2024-08-22 15:20:00,short,5654.0,5597.75,281.25,1
2024-08-26 10:05:00,2024-08-26 15:20:00,short,5659.5,5635.75,118.75,1
2024-08-28 10:05:00,2024-08-28 12:25:00,short,5636.5,5599.25,186.25,1
2024-09-02 10:05:00,2024-09-03 00:05:00,short,5656.5,5651.75,23.75,1
2024-09-03 10:05:00,2024-09-03 10:55:00,short,5595.5,5574.25,106.25,1
2024-09-06 10:05:00,2024-09-06 10:30:00,short,5493.5,5463.0,152.5,1
2024-09-10 10:05:00,2024-09-10 15:20:00,short,5492.75,5498.25,-27.5,1
2024-09-11 10:05:00,2024-09-11 10:15:00,short,5454.75,5435.0,98.75,1
2024-09-12 10:05:00,2024-09-12 10:35:00,short,5547.25,5574.25,-135.0,1
2024-09-18 10:05:00,2024-09-18 14:05:00,short,5640.25,5666.5,-131.25,1
2024-09-19 10:05:00,2024-09-19 15:20:00,short,5708.75,5720.5,-58.75,1
2024-09-23 10:05:00,2024-09-23 15:20:00,short,5774.0,5774.25,-1.25,1
2024-09-24 10:05:00,2024-09-24 11:55:00,short,5761.25,5789.25,-140.0,1
2024-09-26 10:05:00,2024-09-26 13:20:00,short,5813.0,5781.0,160.0,1
2024-10-01 10:05:00,2024-10-01 10:10:00,short,5769.25,5752.0,86.25,1
2024-10-02 10:05:00,2024-10-02 10:50:00,short,5749.25,5768.75,-97.5,1
2024-10-04 10:05:00,2024-10-04 10:15:00,short,5776.25,5767.75,42.5,1
2024-10-15 10:05:00,2024-10-15 14:20:00,short,5910.5,5869.0,207.5,1
2024-10-17 10:05:00,2024-10-17 15:20:00,short,5895.5,5893.5,10.0,1
2024-10-18 10:05:00,2024-10-18 15:20:00,short,5895.5,5906.25,-53.75,1
2024-10-23 10:05:00,2024-10-23 13:15:00,short,5865.5,5824.0,207.5,1
2024-10-24 10:05:00,2024-10-24 15:20:00,short,5852.0,5850.5,7.5,1
2024-10-28 10:05:00,2024-10-28 15:20:00,short,5869.75,5864.5,26.25,1
2024-10-31 10:05:00,2024-10-31 10:35:00,short,5782.75,5771.25,57.5,1
2024-11-06 10:05:00,2024-11-06 13:05:00,short,5914.25,5943.75,-147.5,1
2024-11-11 10:05:00,2024-11-11 15:20:00,short,6033.5,6027.75,28.75,1
2024-11-12 10:05:00,2024-11-12 15:20:00,short,6024.75,6019.5,26.25,1
2024-11-13 10:05:00,2024-11-13 13:00:00,short,6004.75,6034.25,-147.5,1
2024-11-14 10:05:00,2024-11-14 15:20:00,short,6003.75,5983.25,102.5,1
2024-11-15 10:05:00,2024-11-15 15:20:00,short,5919.25,5897.5,108.75,1
2024-11-20 10:05:00,2024-11-20 10:25:00,short,5909.25,5892.25,85.0,1
2024-11-21 10:05:00,2024-11-21 10:30:00,short,5923.5,5910.0,67.5,1
2024-11-25 10:05:00,2024-11-25 15:20:00,short,6020.25,6002.5,88.75,1
2024-11-27 10:05:00,2024-11-27 15:20:00,short,6030.25,6013.5,83.75,1
2024-12-02 10:05:00,2024-12-02 15:20:00,short,6053.75,6065.5,-58.75,1
2024-12-03 10:05:00,2024-12-03 15:20:00,short,6058.25,6063.75,-27.5,1
2024-12-04 10:05:00,2024-12-04 15:10:00,short,6079.0,6096.75,-88.75,1
2024-12-09 10:05:00,2024-12-09 10:50:00,short,6093.0,6073.5,97.5,1
2024-12-10 10:05:00,2024-12-10 15:20:00,short,6070.0,6048.5,107.5,1
2024-12-12 10:05:00,2024-12-12 15:20:00,short,6074.75,6065.5,46.25,1
2024-12-13 10:05:00,2024-12-13 10:45:00,short,6071.25,6051.25,100.0,1
2024-12-17 10:05:00,2024-12-17 11:55:00,short,6051.0,6058.75,-38.75,1
2024-12-19 10:05:00,2024-12-19 15:20:00,short,5902.5,5894.75,38.75,1
2024-12-23 10:05:00,2024-12-23 12:05:00,short,5984.0,6014.25,-151.25,1
2024-12-27 10:05:00,2024-12-27 15:20:00,short,6025.5,6013.25,61.25,1
2024-12-30 10:05:00,2024-12-30 11:45:00,short,5928.75,5969.25,-202.5,1
2024-12-31 10:05:00,2024-12-31 15:20:00,short,5972.0,5934.5,187.5,1
2025-01-07 10:05:00,2025-01-07 12:55:00,short,6005.25,5968.75,182.5,1
2025-01-08 10:05:00,2025-01-08 15:20:00,short,5951.5,5953.25,-8.75,1
2025-01-10 10:05:00,2025-01-10 14:00:00,short,5862.25,5906.5,-221.25,1
2025-01-14 10:05:00,2025-01-14 15:20:00,short,5889.5,5859.5,150.0,1
2025-01-16 10:05:00,2025-01-16 15:20:00,short,5979.5,5983.5,-20.0,1
2025-01-20 10:05:00,2025-01-21 00:05:00,short,6062.0,6042.25,98.75,1
2025-01-21 10:05:00,2025-01-21 13:20:00,short,6056.0,6084.0,-140.0,1
2025-01-24 10:05:00,2025-01-24 15:20:00,short,6151.5,6126.5,125.0,1
2025-01-28 10:05:00,2025-01-28 11:05:00,short,6055.5,6082.0,-132.5,1
2025-01-29 10:05:00,2025-01-29 15:20:00,short,6085.75,6065.5,101.25,1
2025-01-30 10:05:00,2025-01-30 15:20:00,short,6088.0,6113.5,-127.5,1
2025-02-03 10:05:00,2025-02-03 10:25:00,short,5960.0,5997.25,-186.25,1
