entry_time,exit_time,side,entry_price,exit_price,pnl,contracts
2024-03-08 10:05:00,2024-03-08 11:20:00,long,18396.25,18253.25,-286.0,1
2024-03-11 10:05:00,2024-03-11 15:20:00,short,17908.75,17963.5,-109.5,1
2024-03-12 10:05:00,2024-03-12 10:50:00,short,18039.75,18185.5,-291.5,1
2024-03-13 10:05:00,2024-03-13 15:20:00,short,18081.0,18130.25,-98.5,1
2024-03-14 10:05:00,2024-03-14 15:20:00,short,17999.5,17944.75,109.5,1
2024-03-18 10:05:00,2024-03-18 15:20:00,long,18302.75,18289.0,-27.5,1
2024-03-19 10:05:00,2024-03-19 12:45:00,short,18110.5,18248.5,-276.0,1
2024-03-20 10:05:00,2024-03-20 14:10:00,short,18261.25,18332.5,-142.5,1
2024-03-21 10:05:00,2024-03-21 15:20:00,short,18642.0,18594.0,96.0,1
2024-03-22 10:05:00,2024-03-22 15:20:00,long,18557.5,18563.25,11.5,1
2024-03-25 10:05:00,2024-03-25 15:20:00,long,18469.0,18543.75,149.5,1
2024-03-26 10:05:00,2024-03-26 15:20:00,long,18606.5,18527.5,-158.0,1
2024-03-27 10:05:00,2024-03-27 10:15:00,short,18407.0,18411.25,-8.5,1
2024-03-28 10:05:00,2024-03-28 14:05:00,long,18532.0,18458.5,-147.0,1
2024-04-01 10:05:00,2024-04-01 10:40:00,long,18550.5,18488.75,-123.5,1
2024-04-02 10:05:00,2024-04-02 15:20:00,short,18273.0,18278.5,-11.0,1
2024-04-03 10:05:00,2024-04-03 10:15:00,long,18352.25,18370.25,36.0,1
2024-04-04 10:05:00,2024-04-04 14:20:00,short,18515.25,18385.0,260.5,1
2024-04-05 10:05:00,2024-04-05 10:55:00,long,18212.25,18283.0,141.5,1
2024-04-08 10:05:00,2024-04-08 10:35:00,short,18298.75,18358.0,-118.5,1
2024-04-09 10:05:00,2024-04-09 10:35:00,short,18353.75,18241.25,225.0,1
2024-04-10 10:05:00,2024-04-10 15:20:00,long,18156.75,18187.75,62.0,1
2024-04-11 10:05:00,2024-04-11 12:00:00,short,18244.75,18317.0,-144.5,1
2024-04-12 10:05:00,2024-04-12 10:45:00,long,18301.0,18228.5,-145.0,1
2024-04-15 10:05:00,2024-04-15 12:25:00,short,18296.75,18135.75,322.0,1
2024-04-16 10:05:00,2024-04-16 15:20:00,long,17894.5,17936.25,83.5,1
2024-04-17 10:05:00,2024-04-17 10:55:00,short,17846.0,17774.5,143.0,1
2024-04-18 10:05:00,2024-04-18 10:40:00,short,17599.0,17682.5,-167.0,1
2024-04-19 10:05:00,2024-04-19 12:00:00,short,17447.25,17290.25,314.0,1
2024-04-22 10:05:00,2024-04-22 10:30:00,long,17292.0,17193.5,-197.0,1
2024-04-23 10:05:00,2024-04-23 15:20:00,long,17488.75,17628.0,278.5,1
2024-04-24 10:05:00,2024-04-24 11:45:00,long,17739.75,17623.25,-233.0,1
2024-04-25 10:05:00,2024-04-25 13:55:00,long,17358.0,17576.75,437.5,1
2024-04-26 10:05:00,2024-04-26 15:20:00,long,17808.25,17873.25,130.0,1
2024-04-29 10:05:00,2024-04-29 15:20:00,short,17872.25,17836.5,71.5,1
2024-04-30 10:05:00,2024-04-30 11:45:00,long,17863.25,17743.5,-239.5,1
2024-05-01 10:05:00,2024-05-01 14:30:00,short,17448.5,17558.5,-220.0,1
2024-05-02 10:05:00,2024-05-02 13:15:00,short,17473.25,17577.5,-208.5,1
2024-05-03 10:05:00,2024-05-03 15:20:00,short,17941.25,18008.5,-134.5,1
2024-05-06 10:05:00,2024-05-06 15:20:00,long,18098.25,18140.5,84.5,1
2024-05-07 10:05:00,2024-05-07 15:20:00,short,18196.5,18194.25,4.5,1
2024-05-08 10:05:00,2024-05-08 15:20:00,long,18173.0,18184.0,22.0,1
2024-05-09 10:05:00,2024-05-09 15:20:00,short,18172.5,18214.5,-84.0,1
2024-05-10 10:05:00,2024-05-10 10:40:00,long,18301.5,18239.5,-124.0,1
2024-05-13 10:05:00,2024-05-13 15:20:00,short,18298.5,18294.5,8.0,1
2024-05-14 10:05:00,2024-05-14 15:20:00,long,18286.75,18419.25,265.0,1
2024-05-15 10:05:00,2024-05-15 13:50:00,long,18511.0,18661.75,301.5,1
2024-05-16 10:05:00,2024-05-16 15:20:00,long,18701.5,18692.0,-19.0,1
2024-05-17 10:05:00,2024-05-17 15:20:00,short,18648.25,18627.5,41.5,1
2024-05-20 10:05:00,2024-05-20 12:45:00,long,18743.75,18777.75,68.0,1
2024-05-21 10:05:00,2024-05-21 15:20:00,long,18723.5,18782.0,117.0,1
2024-05-22 10:05:00,2024-05-22 13:45:00,long,18817.25,18758.25,-118.0,1
2024-05-23 10:05:00,2024-05-23 10:10:00,short,18866.0,18875.5,-19.0,1
2024-05-24 10:05:00,2024-05-24 11:00:00,long,18782.25,18862.25,160.0,1
2024-05-27 10:05:00,2024-05-28 00:05:00,long,18887.25,18927.5,80.5,1
2024-05-28 10:05:00,2024-05-28 11:35:00,short,18882.25,18921.5,-78.5,1
2024-05-29 10:05:00,2024-05-29 10:30:00,long,18826.75,18852.5,51.5,1
2024-05-30 10:05:00,2024-05-30 11:05:00,short,18738.5,18633.25,210.5,1
2024-05-31 10:05:00,2024-05-31 10:20:00,short,18531.25,18465.0,132.5,1
2024-06-03 10:05:00,2024-06-03 10:55:00,short,18674.0,18579.25,189.5,1
2024-06-04 10:05:00,2024-06-04 14:20:00,short,18632.25,18690.0,-115.5,1
2024-06-05 10:05:00,2024-06-05 12:50:00,long,18851.75,18991.5,279.5,1
2024-06-06 10:05:00,2024-06-06 15:20:00,short,19061.25,19058.0,6.5,1
2024-06-07 10:05:00,2024-06-07 10:50:00,short,19036.0,19107.0,-142.0,1
2024-06-10 10:05:00,2024-06-10 15:20:00,long,19000.0,19113.0,226.0,1
2024-06-11 10:05:00,2024-06-11 10:55:00,short,19053.75,19130.0,-152.5,1
2024-06-12 10:05:00,2024-06-12 15:15:00,long,19497.0,19555.25,116.5,1
2024-06-13 10:05:00,2024-06-13 15:20:00,short,19632.0,19607.25,49.5,1
2024-06-14 10:05:00,2024-06-14 15:20:00,long,19608.75,19668.5,119.5,1
2024-06-17 10:05:00,2024-06-17 12:25:00,short,19689.5,19786.75,-194.5,1
2024-06-18 10:05:00,2024-06-18 15:20:00,short,19914.75,19917.75,-6.0,1
2024-06-19 10:05:00,2024-06-20 00:05:00,short,19963.5,20011.5,-96.0,1
2024-06-20 10:05:00,2024-06-20 12:25:00,short,19946.0,19823.0,246.0,1
2024-06-24 10:05:00,2024-06-24 10:30:00,long,19975.5,19892.5,-166.0,1
2024-06-25 10:05:00,2024-06-25 15:20:00,long,19874.5,19952.5,156.0,1
2024-06-26 10:05:00,2024-06-26 11:15:00,long,19995.0,19928.75,-132.5,1
