entry_time,exit_time,side,entry_price,exit_price,pnl,contracts
2024-03-11 10:05:00,2024-03-11 15:20:00,short,17908.75,17963.5,-109.5,1
2024-03-12 10:05:00,2024-03-12 10:50:00,short,18039.75,18185.5,-291.5,1
2024-03-13 10:05:00,2024-03-13 15:20:00,short,18081.0,18130.25,-98.5,1
2024-03-14 10:05:00,2024-03-14 15:20:00,short,17999.5,17944.75,109.5,1
2024-03-19 10:05:00,2024-03-19 12:45:00,short,18110.5,18248.5,-276.0,1
2024-03-20 10:05:00,2024-03-20 14:10:00,short,18261.25,18332.5,-142.5,1
2024-03-21 10:05:00,2024-03-21 15:20:00,short,18642.0,18594.0,96.0,1
2024-03-27 10:05:00,2024-03-27 10:15:00,short,18407.0,18411.25,-8.5,1
2024-04-02 10:05:00,2024-04-02 15:20:00,short,18273.0,18278.5,-11.0,1
2024-04-04 10:05:00,2024-04-04 14:20:00,short,18515.25,18385.0,260.5,1
2024-04-08 10:05:00,2024-04-08 10:35:00,short,18298.75,18358.0,-118.5,1
2024-04-09 10:05:00,2024-04-09 10:35:00,short,18353.75,18241.25,225.0,1
2024-04-11 10:05:00,2024-04-11 12:00:00,short,18244.75,18317.0,-144.5,1
2024-04-15 10:05:00,2024-04-15 12:25:00,short,18296.75,18135.75,322.0,1
2024-04-17 10:05:00,2024-04-17 10:55:00,short,17846.0,17774.5,143.0,1
2024-04-18 10:05:00,2024-04-18 10:40:00,short,17599.0,17682.5,-167.0,1
2024-04-19 10:05:00,2024-04-19 12:00:00,short,17447.25,17290.25,314.0,1
2024-04-29 10:05:00,2024-04-29 15:20:00,short,17872.25,17836.5,71.5,1
2024-05-01 10:05:00,2024-05-01 14:30:00,short,17448.5,17558.5,-220.0,1
2024-05-02 10:05:00,2024-05-02 13:15:00,short,17473.25,17577.5,-208.5,1
2024-05-03 10:05:00,2024-05-03 15:20:00,short,17941.25,18008.5,-134.5,1
2024-05-07 10:05:00,2024-05-07 15:20:00,short,18196.5,18194.25,4.5,1
2024-05-09 10:05:00,2024-05-09 15:20:00,short,18172.5,18214.5,-84.0,1
2024-05-13 10:05:00,2024-05-13 15:20:00,short,18298.5,18294.5,8.0,1
2024-05-17 10:05:00,2024-05-17 15:20:00,short,18648.25,18627.5,41.5,1
2024-05-23 10:05:00,2024-05-23 10:10:00,short,18866.0,18875.5,-19.0,1
2024-05-28 10:05:00,2024-05-28 11:35:00,short,18882.25,18921.5,-78.5,1
2024-05-30 10:05:00,2024-05-30 11:05:00,short,18738.5,18633.25,210.5,1
2024-05-31 10:05:00,2024-05-31 10:20:00,short,18531.25,18465.0,132.5,1
2024-06-03 10:05:00,2024-06-03 10:55:00,short,18674.0,18579.25,189.5,1
2024-06-04 10:05:00,2024-06-04 14:20:00,short,18632.25,18690.0,-115.5,1
2024-06-06 10:05:00,2024-06-06 15:20:00,short,19061.25,19058.0,6.5,1
2024-06-07 10:05:00,2024-06-07 10:50:00,short,19036.0,19107.0,-142.0,1
2024-06-11 10:05:00,2024-06-11 10:55:00,short,19053.75,19130.0,-152.5,1
2024-06-13 10:05:00,2024-06-13 15:20:00,short,19632.0,19607.25,49.5,1
2024-06-17 10:05:00,2024-06-17 12:25:00,short,19689.5,19786.75,-194.5,1
2024-06-18 10:05:00,2024-06-18 15:20:00,short,19914.75,19917.75,-6.0,1
2024-06-19 10:05:00,2024-06-20 00:05:00,short,19963.5,20011.5,-96.0,1
2024-06-20 10:05:00,2024-06-20 12:25:00,short,19946.0,19823.0,246.0,1
2024-07-01 10:05:00,2024-07-01 10:15:00,short,19915.75,19820.75,190.0,1
2024-07-04 10:05:00,2024-07-05 00:05:00,short,20382.5,20413.25,-61.5,1
2024-07-08 10:05:00,2024-07-08 15:20:00,short,20622.75,20632.5,-19.5,1
2024-07-11 10:05:00,2024-07-11 10:20:00,short,20860.5,20686.0,349.0,1
2024-07-16 10:05:00,2024-07-16 12:20:00,short,20528.25,20498.5,59.5,1
2024-07-17 10:05:00,2024-07-17 12:30:00,short,20155.0,20036.0,238.0,1
2024-07-18 10:05:00,2024-07-18 10:45:00,short,20075.75,19925.25,301.0,1
2024-07-19 10:05:00,2024-07-19 15:20:00,short,19859.0,19772.25,173.5,1
2024-07-22 10:05:00,2024-07-22 15:20:00,short,19932.0,20000.75,-137.5,1
2024-07-24 10:05:00,2024-07-24 12:05:00,short,19495.75,19347.0,297.5,1
2024-07-25 10:05:00,2024-07-25 10:10:00,short,18986.0,18936.0,100.0,1
2024-07-26 10:05:00,2024-07-26 12:30:00,short,19108.0,19230.5,-245.0,1
2024-07-30 10:05:00,2024-07-30 11:05:00,short,19194.5,19013.5,362.0,1
2024-08-02 10:05:00,2024-08-02 15:20:00,short,18545.25,18536.5,17.5,1
2024-08-12 10:05:00,2024-08-12 15:20:00,short,18573.75,18630.25,-113.0,1
2024-08-14 10:05:00,2024-08-14 15:20:00,short,19047.25,19060.0,-25.5,1
2024-08-19 10:05:00,2024-08-19 15:20:00,short,19584.5,19772.5,-376.0,1
2024-08-22 10:05:00,2024-08-22 13:35:00,short,19961.5,19657.75,607.5,1
2024-08-26 10:05:00,2024-08-26 15:20:00,short,19722.75,19596.0,253.5,1
2024-08-28 10:05:00,2024-08-28 11:15:00,short,19550.25,19361.0,378.5,1
2024-09-02 10:05:00,2024-09-03 00:05:00,short,19616.0,19556.75,118.5,1
2024-09-03 10:05:00,2024-09-03 10:50:00,short,19337.25,19178.5,317.5,1
2024-09-06 10:05:00,2024-09-06 10:25:00,short,18754.0,18685.75,136.5,1
2024-09-11 10:05:00,2024-09-11 10:35:00,short,18800.0,18612.5,375.0,1
2024-09-12 10:05:00,2024-09-12 11:15:00,short,19241.0,19375.75,-269.5,1
2024-09-17 10:05:00,2024-09-17 15:20:00,short,19555.0,19419.5,271.0,1
2024-09-18 10:05:00,2024-09-18 14:05:00,short,19468.0,19564.5,-193.0,1
2024-09-19 10:05:00,2024-09-19 13:45:00,short,19792.75,19946.5,-307.5,1
2024-09-24 10:05:00,2024-09-24 11:30:00,short,20003.5,20115.25,-223.5,1
2024-09-26 10:05:00,2024-09-26 10:55:00,short,20413.75,20260.5,306.5,1
2024-09-27 10:05:00,2024-09-27 14:35:00,short,20339.0,20200.5,277.0,1
2024-10-01 10:05:00,2024-10-01 10:10:00,short,20047.25,19962.25,170.0,1
2024-10-04 10:05:00,2024-10-04 10:10:00,short,20106.75,20038.0,137.5,1
2024-10-07 10:05:00,2024-10-07 15:20:00,short,20136.5,19998.75,275.5,1
2024-10-09 10:05:00,2024-10-09 11:05:00,short,20279.0,20374.25,-190.5,1
2024-10-16 10:05:00,2024-10-16 14:25:00,short,20257.5,20377.0,-239.0,1
2024-10-17 10:05:00,2024-10-17 10:10:00,short,20395.75,20377.0,37.5,1
2024-10-23 10:05:00,2024-10-23 13:05:00,short,20383.75,20217.0,333.5,1
2024-10-24 10:05:00,2024-10-24 15:20:00,short,20351.0,20386.25,-70.5,1
2024-10-28 10:05:00,2024-10-28 15:20:00,short,20572.75,20508.0,129.5,1
