entry_time,exit_time,side,entry_price,exit_price,pnl,contracts
2024-03-01 10:00:00,2024-03-01 10:30:00,long,5107.25,5120.0,63.75,1
2024-03-01 11:40:00,2024-03-01 13:45:00,long,5125.0,5140.25,76.25,1
2024-03-04 10:20:00,2024-03-04 14:40:00,long,5139.25,5155.5,81.25,1
2024-03-05 10:10:00,2024-03-05 10:55:00,short,5106.25,5092.25,70.0,1
2024-03-05 12:20:00,2024-03-05 13:55:00,short,5094.25,5085.25,45.0,1
2024-03-06 13:00:00,2024-03-06 13:35:00,long,5127.25,5118.0,-46.25,1
2024-03-07 11:25:00,2024-03-07 11:40:00,long,5156.25,5154.25,-10.0,1
2024-03-07 12:40:00,2024-03-07 13:50:00,long,5156.75,5167.0,51.25,1
2024-03-07 14:40:00,2024-03-07 15:00:00,long,5164.5,5160.75,-18.75,1
2024-03-08 10:45:00,2024-03-08 11:05:00,long,5187.25,5175.75,-57.5,1
2024-03-08 12:40:00,2024-03-08 13:05:00,short,5156.0,5134.0,110.0,1
2024-03-11 10:40:00,2024-03-11 10:55:00,short,5099.75,5114.0,-71.25,1
2024-03-11 13:20:00,2024-03-11 15:20:00,long,5117.0,5119.75,13.75,1
2024-03-12 11:55:00,2024-03-12 12:10:00,long,5169.5,5163.0,-32.5,1
2024-03-12 12:30:00,2024-03-12 12:40:00,long,5160.0,5155.0,-25.0,1
2024-03-12 14:50:00,2024-03-12 15:20:00,long,5174.25,5175.75,7.5,1
2024-03-13 10:40:00,2024-03-13 13:05:00,short,5171.5,5175.5,-20.0,1
2024-03-14 10:40:00,2024-03-14 13:20:00,short,5157.5,5137.5,100.0,1
2024-03-18 10:05:00,2024-03-18 10:30:00,long,5226.75,5237.25,52.5,1
2024-03-18 11:25:00,2024-03-18 11:35:00,long,5231.5,5227.0,-22.5,1
2024-03-18 11:40:00,2024-03-18 12:05:00,long,5229.5,5224.0,-27.5,1
2024-03-18 13:35:00,2024-03-18 15:20:00,short,5224.0,5225.75,-8.75,1
2024-03-19 14:00:00,2024-03-19 15:15:00,long,5234.25,5229.5,-23.75,1
2024-03-20 10:55:00,2024-03-20 13:15:00,long,5241.5,5236.5,-25.0,1
2024-03-20 14:00:00,2024-03-20 14:05:00,short,5236.75,5258.0,-106.25,1
2024-03-21 09:55:00,2024-03-21 14:35:00,long,5312.0,5307.75,-21.25,1
2024-03-21 14:35:00,2024-03-21 15:20:00,short,5307.75,5308.75,-5.0,1
2024-03-22 11:40:00,2024-03-22 13:10:00,short,5294.75,5299.25,-22.5,1
2024-03-22 14:25:00,2024-03-22 15:15:00,long,5302.0,5294.5,-37.5,1
2024-03-25 10:55:00,2024-03-25 15:20:00,long,5282.25,5283.25,5.0,1
2024-03-26 10:30:00,2024-03-26 11:55:00,short,5289.0,5292.25,-16.25,1
2024-03-26 11:55:00,2024-03-26 13:20:00,long,5292.25,5286.5,-28.75,1
2024-03-26 13:20:00,2024-03-26 15:20:00,short,5286.5,5284.75,8.75,1
2024-03-27 11:50:00,2024-03-27 12:35:00,short,5274.5,5279.25,-23.75,1
2024-03-27 15:05:00,2024-03-27 15:15:00,long,5281.75,5278.75,-15.0,1
2024-03-28 10:30:00,2024-03-28 13:55:00,long,5309.75,5307.75,-10.0,1
2024-03-28 13:55:00,2024-04-01 10:20:00,short,5307.75,5303.0,23.75,1
