entry_time,exit_time,side,entry_price,exit_price,pnl,contracts
2024-03-01 10:00:00,2024-03-01 10:30:00,long,5107.25,5120.0,63.75,1
2024-03-01 11:40:00,2024-03-01 13:45:00,long,5125.0,5140.25,76.25,1
2024-03-04 10:20:00,2024-03-04 14:40:00,long,5139.25,5155.5,81.25,1
2024-03-06 13:00:00,2024-03-06 13:35:00,long,5127.25,5118.0,-46.25,1
2024-03-07 11:25:00,2024-03-07 11:40:00,long,5156.25,5154.25,-10.0,1
2024-03-07 12:40:00,2024-03-07 13:50:00,long,5156.75,5167.0,51.25,1
2024-03-07 14:40:00,2024-03-07 15:00:00,long,5164.5,5160.75,-18.75,1
2024-03-08 10:45:00,2024-03-08 11:05:00,long,5187.25,5175.75,-57.5,1
2024-03-11 13:20:00,2024-03-11 15:20:00,long,5117.0,5119.75,13.75,1
2024-03-12 11:55:00,2024-03-12 12:10:00,long,5169.5,5163.0,-32.5,1
2024-03-12 12:30:00,2024-03-12 12:40:00,long,5160.0,5155.0,-25.0,1
2024-03-12 14:50:00,2024-03-12 15:20:00,long,5174.25,5175.75,7.5,1
2024-03-18 10:05:00,2024-03-18 10:30:00,long,5226.75,5237.25,52.5,1
2024-03-18 11:25:00,2024-03-18 11:35:00,long,5231.5,5227.0,-22.5,1
2024-03-18 11:40:00,2024-03-18 12:05:00,long,5229.5,5224.0,-27.5,1
2024-03-19 14:00:00,2024-03-19 15:15:00,long,5234.25,5229.5,-23.75,1
2024-03-20 10:55:00,2024-03-20 13:15:00,long,5241.5,5236.5,-25.0,1
2024-03-21 09:55:00,2024-03-21 14:40:00,long,5312.0,5304.5,-37.5,1
2024-03-22 14:25:00,2024-03-22 15:15:00,long,5302.0,5294.5,-37.5,1
2024-03-25 10:55:00,2024-03-25 15:20:00,long,5282.25,5283.25,5.0,1
2024-03-26 11:55:00,2024-03-27 15:15:00,long,5292.25,5278.75,-67.5,1
2024-03-28 10:30:00,2024-03-28 15:20:00,long,5309.75,5317.5,38.75,1
2024-04-03 12:15:00,2024-04-03 12:40:00,long,5271.75,5265.5,-31.25,1
2024-04-03 13:45:00,2024-04-03 14:35:00,long,5276.5,5273.0,-17.5,1
2024-04-04 10:05:00,2024-04-04 11:15:00,long,5298.25,5294.0,-21.25,1
2024-04-04 13:10:00,2024-04-04 13:35:00,long,5304.0,5299.5,-22.5,1
2024-04-05 10:35:00,2024-04-05 11:45:00,long,5226.75,5256.25,147.5,1
2024-04-05 13:25:00,2024-04-05 13:50:00,long,5260.75,5254.25,-32.5,1
2024-04-08 11:25:00,2024-04-08 11:35:00,long,5265.75,5260.0,-28.75,1
2024-04-08 13:55:00,2024-04-08 15:20:00,long,5257.25,5258.75,7.5,1
2024-04-11 09:55:00,2024-04-11 10:05:00,long,5208.75,5199.0,-48.75,1
2024-04-11 15:05:00,2024-04-11 15:20:00,long,5250.5,5248.75,-8.75,1
2024-04-16 12:50:00,2024-04-16 13:05:00,long,5106.25,5096.75,-47.5,1
2024-04-16 13:10:00,2024-04-16 13:35:00,long,5103.0,5092.0,-55.0,1
2024-04-18 12:00:00,2024-04-18 12:35:00,long,5082.75,5069.75,-65.0,1
2024-04-22 15:00:00,2024-04-22 15:20:00,long,5066.0,5060.0,-30.0,1
