entry_time,exit_time,side,entry_price,exit_price,pnl,contracts
2024-03-05 11:40:00,2024-03-07 14:35:00,short,2134.9,2166.6,-317.0,1
2024-03-12 10:30:00,2024-03-12 15:20:00,short,2167.1,2159.4,77.0,1
2024-03-14 12:20:00,2024-03-14 13:15:00,short,2162.4,2166.7,-43.0,1
2024-03-15 10:00:00,2024-03-15 10:15:00,short,2164.6,2166.8,-22.0,1
2024-03-15 14:15:00,2024-03-15 14:45:00,short,2161.7,2163.6,-19.0,1
2024-03-19 10:50:00,2024-03-19 13:05:00,short,2157.1,2158.6,-15.0,1
2024-03-21 12:10:00,2024-03-21 12:30:00,short,2176.2,2179.5,-33.0,1
2024-03-21 12:40:00,2024-03-21 13:00:00,short,2179.0,2182.0,-30.0,1
2024-03-22 13:10:00,2024-03-22 13:30:00,short,2164.9,2160.0,49.0,1
2024-03-22 14:35:00,2024-03-22 15:20:00,short,2163.7,2163.8,-1.0,1
2024-03-26 12:45:00,2024-03-26 13:35:00,short,2177.1,2178.9,-18.0,1
2024-04-29 15:05:00,2024-04-29 15:20:00,short,2346.4,2348.3,-19.0,1
2024-04-30 09:55:00,2024-04-30 10:40:00,short,2318.8,2309.0,98.0,1
2024-04-30 11:35:00,2024-04-30 15:20:00,short,2308.5,2302.2,63.0,1
2024-05-03 10:15:00,2024-05-03 13:35:00,short,2298.5,2309.4,-109.0,1
2024-05-07 12:35:00,2024-05-07 15:20:00,short,2323.5,2321.9,16.0,1
2024-05-10 11:35:00,2024-05-10 12:50:00,short,2370.2,2374.6,-44.0,1
2024-05-13 10:35:00,2024-05-13 11:05:00,short,2349.6,2343.2,64.0,1
2024-05-13 12:25:00,2024-05-13 15:20:00,short,2342.9,2343.5,-6.0,1
2024-05-16 10:40:00,2024-05-16 11:25:00,short,2379.5,2385.0,-55.0,1
2024-05-16 15:00:00,2024-05-20 11:00:00,short,2384.2,2427.1,-429.0,1
2024-05-21 13:10:00,2024-05-21 15:20:00,short,2425.8,2428.3,-25.0,1
2024-05-22 10:05:00,2024-05-22 10:15:00,short,2413.1,2397.0,161.0,1
2024-05-22 11:15:00,2024-05-22 14:30:00,short,2395.2,2382.3,129.0,1
2024-05-23 11:45:00,2024-05-23 14:00:00,short,2346.5,2333.6,129.0,1
2024-05-24 11:10:00,2024-05-24 15:20:00,short,2339.8,2333.6,62.0,1
2024-05-29 12:00:00,2024-05-29 13:40:00,short,2338.9,2342.4,-35.0,1
2024-05-31 15:00:00,2024-05-31 16:55:00,short,2320.6,2325.5,-49.0,1
2024-06-28 10:20:00,2024-06-28 15:20:00,short,2341.4,2334.4,70.0,1
2024-07-01 11:25:00,2024-07-01 12:25:00,short,2336.8,2341.3,-45.0,1
2024-07-02 12:40:00,2024-07-02 13:30:00,short,2331.1,2333.7,-26.0,1
2024-07-04 13:05:00,2024-07-04 18:05:00,short,2365.9,2365.1,8.0,1
2024-07-08 13:05:00,2024-07-08 15:20:00,short,2365.2,2365.1,1.0,1
2024-07-10 15:00:00,2024-07-10 15:20:00,short,2379.0,2378.6,4.0,1
2024-07-17 11:35:00,2024-07-17 14:00:00,short,2468.7,2456.7,120.0,1
2024-07-17 14:40:00,2024-07-17 15:05:00,short,2461.0,2463.9,-29.0,1
2024-07-18 10:10:00,2024-07-18 10:50:00,short,2466.6,2468.7,-21.0,1
2024-07-18 13:55:00,2024-07-18 15:05:00,short,2458.8,2451.5,73.0,1
2024-07-19 09:55:00,2024-07-19 11:15:00,short,2403.9,2409.1,-52.0,1
2024-07-19 15:10:00,2024-07-19 15:20:00,short,2399.9,2400.5,-6.0,1
2024-07-22 12:15:00,2024-07-22 12:35:00,short,2388.4,2392.8,-44.0,1
2024-07-25 10:35:00,2024-07-25 15:20:00,short,2362.2,2357.6,46.0,1
2024-07-29 11:55:00,2024-07-29 13:30:00,short,2375.3,2377.3,-20.0,1
2024-07-29 14:50:00,2024-07-29 15:20:00,short,2376.0,2378.3,-23.0,1
2024-08-29 09:50:00,2024-08-29 10:00:00,short,2523.6,2526.6,-30.0,1
2024-08-30 09:50:00,2024-08-30 10:05:00,short,2525.9,2522.5,34.0,1
2024-08-30 12:20:00,2024-08-30 13:05:00,short,2513.1,2507.7,54.0,1
2024-09-02 09:55:00,2024-09-02 10:40:00,short,2509.4,2509.3,1.0,1
2024-09-02 13:30:00,2024-09-02 18:05:00,short,2508.9,2507.3,16.0,1
2024-09-03 10:45:00,2024-09-03 11:55:00,short,2489.0,2496.0,-70.0,1
2024-09-05 11:45:00,2024-09-05 13:25:00,short,2516.0,2519.9,-39.0,1
2024-09-06 10:55:00,2024-09-06 11:05:00,short,2513.4,2520.0,-66.0,1
2024-09-06 11:10:00,2024-09-06 11:20:00,short,2514.6,2519.3,-47.0,1
2024-09-06 13:40:00,2024-09-06 15:20:00,short,2499.8,2500.6,-8.0,1
2024-09-10 10:45:00,2024-09-10 11:00:00,short,2510.3,2514.6,-43.0,1
2024-09-11 10:05:00,2024-09-11 11:10:00,short,2509.3,2517.0,-77.0,1
2024-09-16 11:10:00,2024-09-16 13:05:00,short,2584.9,2587.0,-21.0,1
2024-09-17 09:55:00,2024-09-17 10:15:00,short,2577.8,2584.3,-65.0,1
2024-09-17 12:45:00,2024-09-17 13:50:00,short,2567.7,2571.7,-40.0,1
2024-09-18 10:15:00,2024-09-18 13:00:00,short,2574.0,2577.7,-37.0,1
2024-09-19 10:10:00,2024-09-19 10:25:00,short,2574.3,2580.0,-57.0,1
2024-09-25 13:10:00,2024-09-25 13:20:00,short,2653.9,2657.0,-31.0,1
2024-09-26 10:30:00,2024-09-26 11:25:00,short,2663.6,2667.4,-38.0,1
2024-09-27 11:40:00,2024-09-27 12:40:00,short,2647.0,2651.6,-46.0,1
2024-09-27 13:25:00,2024-09-27 15:55:00,short,2645.0,2650.5,-55.0,1
2024-10-30 10:10:00,2024-10-30 11:35:00,short,2789.1,2793.6,-45.0,1
2024-10-31 11:30:00,2024-10-31 14:35:00,short,2749.7,2756.2,-65.0,1
2024-11-01 11:35:00,2024-11-01 13:35:00,short,2758.3,2746.7,116.0,1
2024-11-01 14:35:00,2024-11-01 15:20:00,short,2745.5,2744.7,8.0,1
2024-11-04 12:35:00,2024-11-04 14:40:00,short,2745.7,2748.8,-31.0,1
2024-11-06 10:20:00,2024-11-06 10:40:00,short,2671.4,2682.6,-112.0,1
2024-11-06 12:20:00,2024-11-06 15:20:00,short,2676.2,2671.8,44.0,1
2024-11-08 10:40:00,2024-11-08 15:20:00,short,2697.3,2694.7,26.0,1
2024-11-11 11:45:00,2024-11-11 14:05:00,short,2622.4,2626.6,-42.0,1
2024-11-12 11:15:00,2024-11-12 15:20:00,short,2606.3,2605.0,13.0,1
2024-11-13 11:05:00,2024-11-13 11:35:00,short,2609.1,2594.5,146.0,1
2024-11-13 13:00:00,2024-11-13 15:10:00,short,2589.1,2582.4,67.0,1
2024-11-15 13:35:00,2024-11-15 13:55:00,short,2568.9,2572.0,-31.0,1
2024-11-19 10:20:00,2024-11-19 12:25:00,short,2629.9,2636.0,-61.0,1
2024-11-21 10:25:00,2024-11-21 10:35:00,short,2668.0,2672.7,-47.0,1
2024-11-21 12:30:00,2024-11-21 12:45:00,short,2668.2,2671.9,-37.0,1
2024-11-22 09:50:00,2024-11-22 10:10:00,short,2694.4,2697.1,-27.0,1
2024-11-25 11:45:00,2024-11-25 13:15:00,short,2636.3,2624.4,119.0,1
2024-11-26 14:00:00,2024-11-26 14:05:00,short,2624.0,2627.2,-32.0,1
2024-11-27 11:00:00,2024-11-27 15:35:00,short,2642.0,2637.8,42.0,1
2024-12-30 10:05:00,2024-12-30 11:25:00,short,2619.5,2610.0,95.0,1
2024-12-30 11:50:00,2024-12-30 12:15:00,short,2611.8,2616.1,-43.0,1
2024-12-30 12:25:00,2024-12-30 13:00:00,short,2615.2,2618.5,-33.0,1
2025-01-03 10:45:00,2025-01-03 15:20:00,short,2659.2,2653.6,56.0,1
2025-01-06 10:00:00,2025-01-06 15:20:00,short,2643.3,2645.0,-17.0,1
2025-01-08 14:15:00,2025-01-08 14:25:00,short,2673.1,2677.3,-42.0,1
2025-01-09 13:00:00,2025-01-09 13:15:00,short,2685.5,2688.3,-28.0,1
2025-01-13 10:00:00,2025-01-13 13:30:00,short,2690.1,2679.3,108.0,1
2025-01-13 14:45:00,2025-01-13 15:20:00,short,2678.0,2678.5,-5.0,1
2025-01-15 11:30:00,2025-01-15 11:50:00,short,2705.0,2709.6,-46.0,1
2025-01-20 10:25:00,2025-01-20 11:25:00,short,2729.6,2718.2,114.0,1
2025-01-20 12:15:00,2025-01-20 12:40:00,short,2723.9,2726.8,-29.0,1
2025-01-22 09:55:00,2025-01-22 10:55:00,short,2766.1,2771.4,-53.0,1
2025-01-24 12:50:00,2025-01-24 15:20:00,short,2780.8,2781.3,-5.0,1
2025-01-27 12:40:00,2025-01-27 14:20:00,short,2736.5,2742.9,-64.0,1
2025-01-29 13:35:00,2025-01-29 14:10:00,short,2768.3,2762.7,56.0,1
2025-02-28 10:20:00,2025-02-28 10:55:00,short,2852.2,2860.2,-80.0,1
2025-02-28 13:25:00,2025-02-28 13:50:00,short,2854.2,2858.5,-43.0,1
2025-02-28 13:55:00,2025-02-28 15:15:00,short,2857.7,2863.4,-57.0,1
2025-03-04 11:20:00,2025-03-04 12:00:00,short,2919.0,2926.3,-73.0,1
2025-03-07 11:25:00,2025-03-07 13:30:00,short,2924.7,2914.8,99.0,1
2025-03-07 13:40:00,2025-03-07 15:20:00,short,2914.8,2916.2,-14.0,1
2025-03-10 10:05:00,2025-03-10 10:15:00,short,2907.6,2914.3,-67.0,1
2025-03-10 14:55:00,2025-03-10 15:20:00,short,2892.2,2891.8,4.0,1
2025-03-12 10:00:00,2025-03-12 10:40:00,short,2920.8,2923.7,-29.0,1
2025-03-14 10:15:00,2025-03-14 11:25:00,short,3002.3,2992.4,99.0,1
2025-03-14 15:15:00,2025-03-14 15:20:00,short,2995.3,2993.2,21.0,1
2025-03-17 09:50:00,2025-03-17 10:15:00,short,2996.4,3001.2,-48.0,1
2025-03-19 10:05:00,2025-03-19 12:05:00,short,3038.2,3043.0,-48.0,1
2025-03-20 10:25:00,2025-03-20 10:45:00,short,3040.6,3046.6,-60.0,1
2025-03-20 13:00:00,2025-03-20 14:10:00,short,3045.9,3049.6,-37.0,1
2025-03-21 11:15:00,2025-03-21 14:30:00,short,3018.5,3024.3,-58.0,1
2025-03-24 10:00:00,2025-03-24 10:35:00,short,3026.9,3014.5,124.0,1
2025-03-24 11:50:00,2025-03-24 14:10:00,short,3019.3,3009.8,95.0,1
2025-03-24 14:55:00,2025-03-24 15:20:00,short,3013.4,3015.1,-17.0,1
2025-03-25 12:20:00,2025-03-25 12:50:00,short,3027.6,3030.5,-29.0,1
2025-03-25 14:05:00,2025-03-25 15:20:00,short,3026.9,3024.0,29.0,1
2025-03-26 10:55:00,2025-03-26 15:20:00,short,3023.7,3021.9,18.0,1
2025-05-01 12:05:00,2025-05-01 13:05:00,short,3220.6,3226.6,-60.0,1
2025-05-02 10:30:00,2025-05-02 11:00:00,short,3261.6,3271.5,-99.0,1
2025-05-02 13:30:00,2025-05-02 15:20:00,short,3242.7,3237.8,49.0,1
2025-05-07 12:15:00,2025-05-07 12:50:00,short,3391.3,3396.3,-50.0,1
2025-05-08 14:15:00,2025-05-08 15:20:00,short,3313.6,3305.7,79.0,1
2025-05-12 13:30:00,2025-05-12 14:55:00,short,3227.7,3233.6,-59.0,1
2025-05-13 10:25:00,2025-05-13 10:45:00,short,3242.5,3252.4,-99.0,1
2025-05-13 14:15:00,2025-05-13 14:45:00,short,3250.9,3254.4,-35.0,1
