entry_time,exit_time,side,entry_price,exit_price,pnl,contracts
2024-03-01 12:10:00,2024-03-01 12:50:00,long,18228.0,18278.0,100.0,1
2024-03-01 14:45:00,2024-03-01 15:20:00,long,18347.5,18336.5,-22.0,1
2024-03-04 10:55:00,2024-03-04 14:40:00,short,18315.25,18341.75,-53.0,1
2024-03-05 11:30:00,2024-03-05 13:55:00,short,17954.25,17892.25,124.0,1
2024-03-05 15:10:00,2024-03-05 15:20:00,short,17858.75,17852.25,13.0,1
2024-03-06 10:40:00,2024-03-06 10:55:00,short,18029.5,18069.0,-79.0,1
2024-03-06 11:40:00,2024-03-06 12:35:00,long,18093.0,18155.5,125.0,1
2024-03-06 13:00:00,2024-03-06 13:35:00,long,18132.5,18087.5,-90.0,1
2024-03-07 09:55:00,2024-03-07 11:25:00,long,18194.0,18285.5,183.0,1
2024-03-07 14:15:00,2024-03-07 15:00:00,long,18349.75,18327.0,-45.5,1
2024-03-08 10:45:00,2024-03-08 11:05:00,long,18390.25,18314.75,-151.0,1
2024-03-08 14:15:00,2024-03-08 14:30:00,short,18078.5,18115.0,-73.0,1
2024-03-11 10:40:00,2024-03-11 10:55:00,short,17936.0,18008.25,-144.5,1
2024-03-12 11:50:00,2024-03-12 12:25:00,long,18168.25,18132.25,-72.0,1
2024-03-12 12:30:00,2024-03-12 12:50:00,long,18137.0,18098.75,-76.5,1
2024-03-12 14:50:00,2024-03-12 15:20:00,long,18194.75,18198.25,7.0,1
2024-03-13 10:40:00,2024-03-13 13:10:00,short,18099.25,18129.25,-60.0,1
2024-03-14 10:20:00,2024-03-14 15:20:00,short,18037.5,17944.75,185.5,1
2024-03-18 10:05:00,2024-03-18 10:30:00,long,18302.75,18372.5,139.5,1
2024-03-18 11:10:00,2024-03-18 11:15:00,long,18349.25,18321.75,-55.0,1
2024-03-18 13:35:00,2024-03-18 14:30:00,short,18276.5,18309.75,-66.5,1
2024-03-19 10:10:00,2024-03-19 11:30:00,short,18107.5,18131.5,-48.0,1
2024-03-19 11:30:00,2024-03-20 12:35:00,long,18131.5,18267.75,272.5,1
2024-03-20 12:35:00,2024-03-20 14:05:00,short,18267.75,18361.5,-187.5,1
2024-03-21 09:55:00,2024-03-21 14:05:00,long,18647.75,18613.0,-69.5,1
2024-03-22 12:40:00,2024-03-22 13:10:00,long,18543.25,18590.0,93.5,1
2024-03-22 14:30:00,2024-03-22 14:50:00,long,18609.75,18587.75,-44.0,1
2024-03-22 15:00:00,2024-03-22 15:15:00,long,18595.25,18564.5,-61.5,1
2024-03-25 10:00:00,2024-03-25 10:15:00,short,18479.0,18512.5,-67.0,1
2024-03-25 12:15:00,2024-03-25 15:20:00,long,18527.25,18543.75,33.0,1
2024-03-26 11:20:00,2024-03-26 15:20:00,short,18566.75,18527.5,78.5,1
2024-03-27 10:45:00,2024-03-27 14:30:00,short,18420.5,18454.75,-68.5,1
2024-03-28 11:15:00,2024-03-28 13:00:00,long,18500.0,18482.25,-35.5,1
2024-03-28 13:45:00,2024-03-28 15:00:00,short,18472.75,18498.75,-52.0,1
2024-04-01 10:10:00,2024-04-01 10:20:00,long,18576.25,18524.0,-104.5,1
2024-04-01 12:25:00,2024-04-01 15:20:00,short,18468.0,18474.0,-12.0,1
2024-04-02 10:10:00,2024-04-02 13:00:00,short,18241.75,18289.75,-96.0,1
2024-04-03 10:00:00,2024-04-03 10:05:00,short,18270.0,18352.25,-164.5,1
2024-04-03 12:15:00,2024-04-03 12:40:00,long,18399.0,18376.25,-45.5,1
2024-04-03 12:45:00,2024-04-03 15:15:00,long,18415.25,18344.75,-141.0,1
2024-04-04 10:10:00,2024-04-04 10:25:00,long,18524.75,18498.0,-53.5,1
2024-04-04 10:30:00,2024-04-04 14:10:00,long,18509.5,18455.25,-108.5,1
2024-04-05 13:20:00,2024-04-05 13:55:00,long,18356.25,18317.75,-77.0,1
2024-04-08 12:40:00,2024-04-08 15:20:00,short,18293.0,18308.5,-31.0,1
2024-04-09 09:55:00,2024-04-09 10:30:00,long,18352.0,18282.5,-139.0,1
2024-04-09 11:25:00,2024-04-09 12:15:00,short,18240.25,18286.0,-91.5,1
2024-04-10 09:50:00,2024-04-10 09:55:00,short,18125.0,18193.25,-136.5,1
2024-04-10 11:35:00,2024-04-10 13:25:00,short,18161.25,18212.5,-102.5,1
2024-04-11 09:50:00,2024-04-11 10:15:00,long,18253.0,18212.25,-81.5,1
2024-04-11 15:05:00,2024-04-11 15:20:00,long,18491.25,18488.75,-5.0,1
2024-04-12 09:50:00,2024-04-12 10:40:00,short,18311.0,18232.75,156.5,1
2024-04-12 11:25:00,2024-04-12 11:35:00,short,18239.5,18278.75,-78.5,1
2024-04-12 11:40:00,2024-04-12 12:35:00,short,18266.0,18193.75,144.5,1
2024-04-12 13:55:00,2024-04-12 15:20:00,short,18167.75,18134.5,66.5,1
