entry_time,exit_time,side,entry_price,exit_price,pnl,contracts
2024-03-04 10:55:00,2024-03-04 14:40:00,short,18315.25,18341.75,-53.0,1
2024-03-05 11:30:00,2024-03-05 13:55:00,short,17954.25,17892.25,124.0,1
2024-03-05 15:10:00,2024-03-05 15:20:00,short,17858.75,17852.25,13.0,1
2024-03-06 10:40:00,2024-03-06 10:55:00,short,18029.5,18069.0,-79.0,1
2024-03-08 14:15:00,2024-03-08 14:30:00,short,18078.5,18115.0,-73.0,1
2024-03-11 10:40:00,2024-03-11 10:55:00,short,17936.0,18008.25,-144.5,1
2024-03-13 10:40:00,2024-03-13 13:10:00,short,18099.25,18129.25,-60.0,1
2024-03-14 10:20:00,2024-03-14 15:20:00,short,18037.5,17944.75,185.5,1
2024-03-18 13:35:00,2024-03-18 14:30:00,short,18276.5,18309.75,-66.5,1
2024-03-19 10:10:00,2024-03-19 11:35:00,short,18107.5,18152.25,-89.5,1
2024-03-20 12:35:00,2024-03-20 14:05:00,short,18267.75,18361.5,-187.5,1
2024-03-25 10:00:00,2024-03-25 10:15:00,short,18479.0,18512.5,-67.0,1
2024-03-26 11:20:00,2024-03-26 15:20:00,short,18566.75,18527.5,78.5,1
2024-03-27 10:45:00,2024-03-27 14:30:00,short,18420.5,18454.75,-68.5,1
2024-03-28 13:45:00,2024-03-28 15:00:00,short,18472.75,18498.75,-52.0,1
2024-04-01 12:25:00,2024-04-01 15:20:00,short,18468.0,18474.0,-12.0,1
2024-04-02 10:10:00,2024-04-02 13:00:00,short,18241.75,18289.75,-96.0,1
2024-04-03 10:00:00,2024-04-03 10:05:00,short,18270.0,18352.25,-164.5,1
2024-04-08 12:40:00,2024-04-08 15:20:00,short,18293.0,18308.5,-31.0,1
2024-04-09 11:25:00,2024-04-09 12:15:00,short,18240.25,18286.0,-91.5,1
2024-04-10 09:50:00,2024-04-10 09:55:00,short,18125.0,18193.25,-136.5,1
2024-04-10 11:35:00,2024-04-10 13:25:00,short,18161.25,18212.5,-102.5,1
2024-04-12 09:50:00,2024-04-12 10:40:00,short,18311.0,18232.75,156.5,1
2024-04-12 11:25:00,2024-04-12 11:35:00,short,18239.5,18278.75,-78.5,1
2024-04-12 11:40:00,2024-04-12 12:35:00,short,18266.0,18193.75,144.5,1
2024-04-12 13:55:00,2024-04-12 15:20:00,short,18167.75,18134.5,66.5,1
2024-04-15 11:45:00,2024-04-15 12:40:00,short,18186.5,18098.0,177.0,1
2024-04-15 13:15:00,2024-04-15 13:25:00,short,18099.25,18012.25,174.0,1
2024-04-15 14:40:00,2024-04-15 15:20:00,short,17909.5,17844.25,130.5,1
2024-04-17 10:55:00,2024-04-17 11:05:00,short,17774.5,17846.75,-144.5,1
2024-04-17 13:45:00,2024-04-17 14:45:00,short,17716.0,17789.0,-146.0,1
2024-04-18 10:25:00,2024-04-18 10:40:00,short,17640.5,17682.5,-84.0,1
2024-04-18 14:30:00,2024-04-18 15:20:00,short,17563.0,17557.75,10.5,1
2024-04-19 13:25:00,2024-04-19 13:55:00,short,17291.0,17332.75,-83.5,1
2024-04-22 11:45:00,2024-04-22 12:05:00,short,17216.0,17262.75,-93.5,1
2024-04-24 11:45:00,2024-04-24 13:35:00,short,17623.25,17665.75,-85.0,1
2024-04-25 11:20:00,2024-04-25 12:00:00,short,17371.0,17413.5,-85.0,1
2024-04-29 10:40:00,2024-04-29 13:30:00,short,17877.25,17924.25,-94.0,1
2024-04-30 10:55:00,2024-04-30 11:15:00,short,17840.75,17757.5,166.5,1
2024-04-30 12:05:00,2024-04-30 13:15:00,short,17750.75,17686.5,128.5,1
2024-04-30 13:45:00,2024-04-30 14:05:00,short,17706.25,17742.75,-73.0,1
2024-04-30 14:10:00,2024-04-30 15:20:00,short,17726.0,17677.25,97.5,1
2024-05-01 11:50:00,2024-05-01 14:05:00,short,17455.0,17518.25,-126.5,1
2024-05-02 10:40:00,2024-05-02 11:10:00,short,17495.75,17556.5,-121.5,1
2024-05-10 11:35:00,2024-05-10 15:20:00,short,18233.25,18260.75,-55.0,1
2024-05-13 10:10:00,2024-05-13 15:20:00,short,18292.75,18294.5,-3.5,1
2024-05-16 10:05:00,2024-05-16 10:30:00,short,18701.5,18716.5,-30.0,1
2024-05-16 14:50:00,2024-05-16 15:20:00,short,18694.5,18692.0,5.0,1
2024-05-17 12:10:00,2024-05-17 14:05:00,short,18644.5,18595.25,98.5,1
2024-05-21 10:00:00,2024-05-21 10:35:00,short,18707.75,18742.75,-70.0,1
2024-05-22 14:55:00,2024-05-22 15:20:00,short,18718.25,18702.75,31.0,1
2024-05-23 10:45:00,2024-05-23 12:05:00,short,18884.25,18920.75,-73.0,1
2024-05-28 10:15:00,2024-05-28 10:50:00,short,18880.25,18917.5,-74.5,1
2024-05-28 15:05:00,2024-05-28 15:20:00,short,18864.5,18880.0,-31.0,1
2024-05-30 11:40:00,2024-05-30 13:15:00,short,18683.5,18719.25,-71.5,1
2024-05-31 12:50:00,2024-05-31 13:05:00,short,18281.75,18307.75,-52.0,1
2024-06-03 11:30:00,2024-06-03 12:15:00,short,18616.5,18521.25,190.5,1
2024-06-06 12:15:00,2024-06-06 13:40:00,short,19066.75,19086.5,-39.5,1
2024-06-06 15:00:00,2024-06-06 15:20:00,short,19066.0,19058.0,16.0,1
2024-06-07 15:00:00,2024-06-07 15:20:00,short,19052.0,19015.5,73.0,1
2024-06-10 10:15:00,2024-06-10 10:30:00,short,19001.75,19035.25,-67.0,1
2024-06-13 11:55:00,2024-06-13 12:25:00,short,19593.25,19526.75,133.0,1
2024-06-13 13:20:00,2024-06-13 14:35:00,short,19563.25,19590.5,-54.5,1
2024-06-18 10:20:00,2024-06-18 13:25:00,short,19903.75,19933.25,-59.0,1
2024-06-18 15:05:00,2024-06-18 15:20:00,short,19908.0,19917.75,-19.5,1
2024-06-20 10:45:00,2024-06-20 12:25:00,short,19916.0,19823.0,186.0,1
2024-06-20 14:15:00,2024-06-20 15:20:00,short,19785.75,19733.5,104.5,1
2024-06-24 11:25:00,2024-06-24 14:30:00,short,19892.75,19781.25,223.0,1
2024-06-24 14:55:00,2024-06-24 15:10:00,short,19818.5,19838.0,-39.0,1
2024-06-26 14:05:00,2024-06-26 15:20:00,short,19964.5,19940.75,47.5,1
2024-06-28 13:30:00,2024-06-28 15:20:00,short,20050.5,20006.0,89.0,1
2024-07-04 11:25:00,2024-07-04 11:40:00,short,20385.25,20392.5,-14.5,1
2024-07-04 12:45:00,2024-07-04 18:05:00,short,20384.0,20384.0,0.0,1
2024-07-09 12:15:00,2024-07-09 13:20:00,short,20697.0,20635.5,123.0,1
2024-07-09 14:05:00,2024-07-09 15:20:00,short,20652.5,20668.0,-31.0,1
2024-07-11 12:40:00,2024-07-11 13:05:00,short,20520.0,20427.5,185.0,1
2024-07-11 13:35:00,2024-07-11 15:20:00,short,20459.25,20473.0,-27.5,1
2024-07-15 14:40:00,2024-07-15 15:20:00,short,20602.0,20640.25,-76.5,1
2024-07-16 10:55:00,2024-07-16 15:20:00,short,20552.75,20566.75,-28.0,1
2024-07-17 10:50:00,2024-07-17 15:10:00,short,20125.5,20011.75,227.5,1
2024-07-18 10:15:00,2024-07-18 10:35:00,short,20082.0,19961.5,241.0,1
2024-07-18 12:50:00,2024-07-18 13:25:00,short,19867.0,19929.25,-124.5,1
2024-07-19 11:10:00,2024-07-19 13:25:00,short,19810.5,19667.5,286.0,1
2024-07-19 13:55:00,2024-07-19 14:10:00,short,19688.75,19731.0,-84.5,1
2024-07-19 14:15:00,2024-07-19 15:20:00,short,19725.25,19772.25,-94.0,1
2024-07-22 12:30:00,2024-07-22 12:55:00,short,19890.25,19959.5,-138.5,1
2024-07-23 13:35:00,2024-07-23 14:10:00,short,19952.25,19995.25,-86.0,1
2024-07-24 13:25:00,2024-07-24 14:45:00,short,19358.25,19261.75,193.0,1
2024-07-29 15:10:00,2024-07-29 15:20:00,short,19222.75,19230.25,-15.0,1
2024-07-30 13:55:00,2024-07-30 14:20:00,short,18929.0,18981.75,-105.5,1
2024-08-01 12:20:00,2024-08-01 13:10:00,short,19185.75,19050.0,271.5,1
2024-08-01 14:05:00,2024-08-01 15:20:00,short,18988.25,18952.5,71.5,1
2024-08-02 10:55:00,2024-08-02 11:45:00,short,18462.25,18613.5,-302.5,1
2024-08-02 13:20:00,2024-08-02 15:20:00,short,18535.0,18536.5,-3.0,1
2024-08-07 15:15:00,2024-08-07 15:20:00,short,18086.5,18118.25,-63.5,1
2024-08-12 13:30:00,2024-08-12 15:20:00,short,18653.25,18630.25,46.0,1
2024-08-16 10:00:00,2024-08-16 10:10:00,short,19495.25,19546.5,-102.5,1
2024-08-20 11:30:00,2024-08-20 12:00:00,short,19790.0,19852.75,-125.5,1
2024-08-20 13:55:00,2024-08-20 14:10:00,short,19803.75,19824.5,-41.5,1
2024-08-22 12:15:00,2024-08-22 12:30:00,short,19743.0,19814.25,-142.5,1
2024-08-22 12:50:00,2024-08-22 13:05:00,short,19788.5,19700.25,176.5,1
2024-08-22 14:25:00,2024-08-22 15:20:00,short,19640.5,19626.5,28.0,1
2024-08-23 11:45:00,2024-08-23 15:20:00,short,19749.5,19783.5,-68.0,1
2024-08-26 11:10:00,2024-08-26 15:20:00,short,19601.75,19596.0,11.5,1
2024-08-28 10:35:00,2024-08-28 10:50:00,short,19557.25,19470.75,173.0,1
2024-08-28 12:10:00,2024-08-28 13:05:00,short,19424.5,19453.5,-58.0,1
2024-08-28 14:45:00,2024-08-28 14:55:00,short,19324.75,19387.5,-125.5,1
2024-08-30 13:10:00,2024-08-30 14:55:00,short,19474.25,19526.0,-103.5,1
2024-09-03 13:35:00,2024-09-03 14:10:00,short,19138.0,19056.75,162.5,1
2024-09-05 12:15:00,2024-09-05 12:45:00,short,18890.5,18953.0,-125.0,1
2024-09-05 12:50:00,2024-09-05 13:50:00,short,18933.75,19007.25,-147.0,1
2024-09-06 13:30:00,2024-09-06 15:20:00,short,18492.5,18496.75,-8.5,1
2024-09-10 13:00:00,2024-09-10 13:15:00,short,18688.0,18765.25,-154.5,1
2024-09-11 11:25:00,2024-09-11 11:40:00,short,18669.25,18762.5,-186.5,1
2024-09-16 10:00:00,2024-09-16 10:35:00,short,19429.0,19311.75,234.5,1
2024-09-16 11:30:00,2024-09-16 14:15:00,short,19383.0,19431.5,-97.0,1
2024-09-17 12:05:00,2024-09-17 12:25:00,short,19529.5,19431.75,195.5,1
2024-09-17 13:35:00,2024-09-17 15:20:00,short,19424.75,19419.5,10.5,1
2024-09-23 13:40:00,2024-09-23 14:15:00,short,20047.25,20071.25,-48.0,1
2024-09-26 11:50:00,2024-09-26 14:20:00,short,20271.25,20322.0,-101.5,1
2024-09-27 12:55:00,2024-09-27 13:05:00,short,20252.25,20281.25,-58.0,1
2024-09-27 13:10:00,2024-09-27 14:05:00,short,20253.25,20264.0,-21.5,1
2024-09-27 15:10:00,2024-09-27 15:20:00,short,20242.75,20242.5,0.5,1
2024-09-30 11:10:00,2024-09-30 11:30:00,short,20177.5,20227.25,-99.5,1
2024-09-30 15:00:00,2024-09-30 15:20:00,short,20148.0,20156.75,-17.5,1
2024-10-01 11:50:00,2024-10-01 14:05:00,short,19941.25,20018.5,-154.5,1
2024-10-02 13:35:00,2024-10-02 13:50:00,short,19976.25,20025.0,-97.5,1
2024-10-03 13:30:00,2024-10-03 15:20:00,short,19945.5,19930.0,31.0,1
2024-10-04 10:50:00,2024-10-04 12:40:00,short,20091.25,20161.0,-139.5,1
2024-10-07 14:05:00,2024-10-07 14:35:00,short,20106.75,20067.75,78.0,1
2024-10-10 09:50:00,2024-10-10 10:00:00,short,20311.5,20357.5,-92.0,1
2024-10-10 15:05:00,2024-10-10 15:20:00,short,20400.75,20413.25,-25.0,1
2024-10-15 12:25:00,2024-10-15 15:10:00,short,20384.5,20294.75,179.5,1
2024-10-16 10:20:00,2024-10-16 10:30:00,short,20285.5,20331.75,-92.5,1
2024-10-16 10:40:00,2024-10-16 13:00:00,short,20279.75,20335.75,-112.0,1
2024-10-17 10:30:00,2024-10-17 12:05:00,short,20443.75,20506.25,-125.0,1
