date,sym,spec_net,comm_net,open_interest_all
2019-01-08,10Y,-188068,177746,4093131
2019-01-15,10Y,-200184,156598,4076915
2019-01-22,10Y,-125752,112854,4029245
2019-01-29,10Y,-134447,109314,4026692
2019-02-05,10Y,-162950,119063,4005731
2019-02-12,10Y,-165489,126603,4117159
2019-02-19,10Y,-215091,191580,4251234
2019-02-26,10Y,-233995,178045,4229624
2019-03-05,10Y,-233376,202112,3781543
2019-03-12,10Y,-176434,124729,3834496
2019-03-19,10Y,-163974,101027,3862855
2019-03-26,10Y,-166518,112102,3946255
2019-04-02,10Y,-224223,164266,3856274
2019-04-09,10Y,-261564,217234,3923027
2019-04-16,10Y,-275650,263707,3983736
2019-04-23,10Y,-323791,311601,4019262
2019-04-30,10Y,-287921,249014,4008342
2019-05-07,10Y,-330562,292190,4015511
2019-05-14,10Y,-352817,300975,4164768
2019-05-21,10Y,-423351,331218,4235670
2019-05-28,10Y,-376173,306309,4509558
2019-06-04,10Y,-467702,418961,3934810
2019-06-11,10Y,-365988,311124,3935860
2019-06-18,10Y,-402984,340399,3855139
2019-06-25,10Y,-281099,219912,3769289
2019-07-02,10Y,-288884,259443,3756647
2019-07-09,10Y,-288836,215177,3736397
2019-07-16,10Y,-347222,289324,3779273
2019-07-23,10Y,-380169,311782,3860962
2019-07-30,10Y,-383842,311918,3924022
2019-08-06,10Y,-390886,321413,4010311
2019-08-13,10Y,-414346,331680,4038857
2019-08-20,10Y,-401804,334999,4048888
2019-08-27,10Y,-309904,221938,3906403
2019-09-03,10Y,-377867,348610,3656744
2019-09-10,10Y,-300433,243084,3604449
2019-09-17,10Y,-229963,197395,3537947
2019-09-24,10Y,-196306,127868,3589873
2019-10-01,10Y,-163610,91721,3600495
2019-10-08,10Y,-122560,68361,3640852
2019-10-15,10Y,-99692,39989,3610864
2019-10-22,10Y,-84353,63012,3668096
2019-10-29,10Y,-116066,125228,3857860
2019-11-05,10Y,-231456,240121,3908469
2019-11-12,10Y,-148794,188050,3924536
2019-11-19,10Y,-183524,182638,4005264
2019-11-26,10Y,-145745,125305,3953578
2019-12-03,10Y,-221895,241919,3717853
