datetime,open,high,low,close,volume
2024-02-29 19:00:00,1.2628,1.2628,1.2625,1.2626,274
2024-02-29 19:05:00,1.2627,1.2628,1.2626,1.2627,45
2024-02-29 19:10:00,1.2629,1.2629,1.2628,1.2629,53
2024-02-29 19:15:00,1.2628,1.2629,1.2627,1.2627,93
2024-02-29 19:20:00,1.2627,1.2628,1.2626,1.2627,35
2024-02-29 19:25:00,1.2627,1.2627,1.2626,1.2626,22
2024-02-29 19:30:00,1.2626,1.2626,1.2624,1.2625,47
2024-02-29 19:35:00,1.2625,1.2627,1.2625,1.2627,62
2024-02-29 19:40:00,1.2627,1.2628,1.2627,1.2628,22
2024-02-29 19:45:00,1.2627,1.2628,1.2626,1.2626,12
2024-02-29 19:50:00,1.2627,1.2629,1.2627,1.2628,192
2024-02-29 19:55:00,1.2629,1.2629,1.2627,1.2627,99
2024-02-29 20:00:00,1.2627,1.2629,1.2627,1.2628,107
2024-02-29 20:05:00,1.2627,1.2628,1.2625,1.2627,83
2024-02-29 20:10:00,1.2626,1.2629,1.2626,1.2627,57
2024-02-29 20:15:00,1.2627,1.2628,1.2626,1.2627,37
2024-02-29 20:20:00,1.2627,1.2628,1.2626,1.2627,29
2024-02-29 20:25:00,1.2627,1.2629,1.2627,1.2629,35
2024-02-29 20:30:00,1.2628,1.2632,1.2628,1.2631,122
2024-02-29 20:35:00,1.2631,1.2633,1.263,1.2632,64
2024-02-29 20:40:00,1.2633,1.2633,1.2632,1.2632,17
2024-02-29 20:45:00,1.2633,1.2634,1.2633,1.2633,56
2024-02-29 20:50:00,1.2633,1.2634,1.2632,1.2633,133
2024-02-29 20:55:00,1.2633,1.2636,1.2633,1.2635,148
2024-02-29 21:00:00,1.2635,1.2637,1.2635,1.2637,155
2024-02-29 21:05:00,1.2636,1.2637,1.2636,1.2636,55
2024-02-29 21:10:00,1.2637,1.2637,1.2632,1.2634,91
2024-02-29 21:15:00,1.2634,1.2634,1.2631,1.2631,121
2024-02-29 21:20:00,1.2631,1.2632,1.2631,1.2632,63
2024-02-29 21:25:00,1.2632,1.2632,1.2631,1.2631,32
2024-02-29 21:30:00,1.2633,1.2633,1.2632,1.2632,57
2024-02-29 21:35:00,1.2632,1.2632,1.2631,1.2631,95
2024-02-29 21:40:00,1.2631,1.2633,1.2631,1.2633,78
2024-02-29 21:45:00,1.2632,1.2632,1.2631,1.2632,51
2024-02-29 21:50:00,1.2632,1.2634,1.2632,1.2633,21
2024-02-29 21:55:00,1.2633,1.2634,1.2633,1.2634,64
2024-02-29 22:00:00,1.2634,1.2634,1.2633,1.2633,101
2024-02-29 22:05:00,1.2634,1.2635,1.2634,1.2635,28
2024-02-29 22:10:00,1.2634,1.2635,1.2634,1.2635,42
2024-02-29 22:15:00,1.2634,1.2634,1.2634,1.2634,53
2024-02-29 22:20:00,1.2634,1.2634,1.2633,1.2633,16
2024-02-29 22:25:00,1.2633,1.2634,1.2633,1.2634,47
2024-02-29 22:30:00,1.2634,1.2634,1.2633,1.2633,22
2024-02-29 22:35:00,1.2633,1.2633,1.2632,1.2632,55
2024-02-29 22:40:00,1.2633,1.2633,1.2633,1.2633,22
2024-02-29 22:45:00,1.2633,1.2634,1.2633,1.2633,19
2024-02-29 22:50:00,1.2633,1.2633,1.2633,1.2633,47
2024-02-29 22:55:00,1.2633,1.2634,1.2633,1.2633,42
2024-02-29 23:00:00,1.2633,1.2634,1.2633,1.2633,40
2024-02-29 23:05:00,1.2633,1.2635,1.2633,1.2633,51
2024-02-29 23:10:00,1.2634,1.2634,1.2634,1.2634,4
2024-02-29 23:15:00,1.2634,1.2634,1.2633,1.2633,13
2024-02-29 23:20:00,1.2632,1.2633,1.2632,1.2633,4
2024-02-29 23:25:00,1.2633,1.2633,1.2632,1.2632,18
2024-02-29 23:30:00,1.2632,1.2632,1.263,1.263,26
2024-02-29 23:35:00,1.2631,1.2631,1.2631,1.2631,32
2024-02-29 23:40:00,1.2632,1.2632,1.263,1.2631,13
2024-02-29 23:45:00,1.263,1.263,1.263,1.263,27
2024-02-29 23:50:00,1.2629,1.263,1.2629,1.263,42
2024-02-29 23:55:00,1.2629,1.263,1.2629,1.263,37
2024-03-01 00:00:00,1.263,1.2631,1.263,1.2631,15
2024-03-01 00:05:00,1.263,1.263,1.2628,1.2628,26
2024-03-01 00:10:00,1.2628,1.2628,1.2628,1.2628,8
2024-03-01 00:15:00,1.2628,1.2628,1.2627,1.2627,74
2024-03-01 00:20:00,1.2628,1.2628,1.2627,1.2627,31
2024-03-01 00:25:00,1.2626,1.2626,1.2626,1.2626,2
2024-03-01 00:30:00,1.2626,1.2627,1.2626,1.2627,48
2024-03-01 00:35:00,1.2628,1.2628,1.2627,1.2628,74
2024-03-01 00:40:00,1.2628,1.2628,1.2627,1.2628,23
2024-03-01 00:45:00,1.2628,1.2628,1.2627,1.2627,64
2024-03-01 00:50:00,1.2627,1.2628,1.2627,1.2628,36
2024-03-01 00:55:00,1.2628,1.2628,1.2627,1.2627,114
2024-03-01 01:00:00,1.2627,1.2629,1.2627,1.2629,131
2024-03-01 01:05:00,1.2628,1.2629,1.2628,1.2629,30
2024-03-01 01:10:00,1.2629,1.263,1.2629,1.263,13
2024-03-01 01:15:00,1.263,1.2631,1.263,1.263,29
2024-03-01 01:20:00,1.263,1.263,1.263,1.263,30
2024-03-01 01:25:00,1.2629,1.263,1.2628,1.2628,182
2024-03-01 01:30:00,1.2628,1.2628,1.2628,1.2628,46
2024-03-01 01:35:00,1.2628,1.2628,1.2628,1.2628,45
2024-03-01 01:40:00,1.2628,1.2629,1.2628,1.2628,92
2024-03-01 01:45:00,1.2628,1.2628,1.2628,1.2628,109
2024-03-01 01:50:00,1.2628,1.2629,1.2628,1.2629,36
2024-03-01 01:55:00,1.2629,1.263,1.2629,1.2629,36
2024-03-01 02:00:00,1.2629,1.2632,1.2627,1.2631,622
2024-03-01 02:05:00,1.2631,1.2635,1.2631,1.2634,122
2024-03-01 02:10:00,1.2635,1.2637,1.2634,1.2636,326
2024-03-01 02:15:00,1.2636,1.2637,1.2634,1.2634,250
2024-03-01 02:20:00,1.2633,1.2633,1.2631,1.2633,287
2024-03-01 02:25:00,1.2632,1.2633,1.263,1.263,195
2024-03-01 02:30:00,1.263,1.2635,1.263,1.2635,442
2024-03-01 02:35:00,1.2635,1.2636,1.2632,1.2633,279
2024-03-01 02:40:00,1.2633,1.2633,1.2631,1.2631,375
2024-03-01 02:45:00,1.2632,1.2634,1.2631,1.2634,235
2024-03-01 02:50:00,1.2634,1.2635,1.2633,1.2634,146
2024-03-01 02:55:00,1.2634,1.2636,1.2633,1.2633,222
2024-03-01 03:00:00,1.2632,1.2633,1.2629,1.2632,1037
2024-03-01 03:05:00,1.2632,1.2635,1.2631,1.2631,494
2024-03-01 03:10:00,1.2631,1.2637,1.2631,1.2637,588
2024-03-01 03:15:00,1.2637,1.2641,1.2636,1.264,455
2024-03-01 03:20:00,1.264,1.2643,1.2639,1.2639,334
2024-03-01 03:25:00,1.2638,1.2638,1.2635,1.2638,214
2024-03-01 03:30:00,1.2638,1.2638,1.2636,1.2637,370
2024-03-01 03:35:00,1.2638,1.2639,1.2635,1.2637,298
2024-03-01 03:40:00,1.2637,1.2637,1.2635,1.2636,161
2024-03-01 03:45:00,1.2635,1.2638,1.2634,1.2635,200
2024-03-01 03:50:00,1.2636,1.2639,1.2635,1.2636,377
2024-03-01 03:55:00,1.2636,1.2636,1.263,1.2631,283
2024-03-01 04:00:00,1.2631,1.2634,1.2631,1.2634,346
2024-03-01 04:05:00,1.2634,1.2637,1.2633,1.2633,877
2024-03-01 04:10:00,1.2633,1.2634,1.2627,1.2634,549
2024-03-01 04:15:00,1.2633,1.2634,1.2627,1.263,371
2024-03-01 04:20:00,1.2629,1.2633,1.2629,1.2632,220
2024-03-01 04:25:00,1.2631,1.2631,1.2628,1.2629,341
2024-03-01 04:30:00,1.263,1.2632,1.2627,1.2628,429
2024-03-01 04:35:00,1.2628,1.2629,1.2627,1.2628,614
2024-03-01 04:40:00,1.2628,1.2631,1.2627,1.2629,249
2024-03-01 04:45:00,1.2629,1.2633,1.2627,1.2631,239
2024-03-01 04:50:00,1.2631,1.2633,1.263,1.2632,156
2024-03-01 04:55:00,1.2633,1.2635,1.263,1.2632,339
2024-03-01 05:00:00,1.2632,1.2635,1.2631,1.2631,695
2024-03-01 05:05:00,1.2631,1.2633,1.2629,1.2633,748
2024-03-01 05:10:00,1.2633,1.2633,1.2624,1.2627,438
2024-03-01 05:15:00,1.2626,1.2628,1.2619,1.2619,654
2024-03-01 05:20:00,1.2619,1.2627,1.2619,1.2624,1015
2024-03-01 05:25:00,1.2623,1.2626,1.2621,1.2623,462
2024-03-01 05:30:00,1.2622,1.2624,1.2621,1.2623,179
2024-03-01 05:35:00,1.2624,1.263,1.2624,1.2627,307
2024-03-01 05:40:00,1.2627,1.2633,1.2626,1.2632,245
2024-03-01 05:45:00,1.2632,1.2635,1.2632,1.2633,430
2024-03-01 05:50:00,1.2634,1.2634,1.2629,1.2631,134
2024-03-01 05:55:00,1.2631,1.2631,1.263,1.2631,75
2024-03-01 06:00:00,1.2631,1.2634,1.2631,1.2634,243
2024-03-01 06:05:00,1.2635,1.264,1.2634,1.2639,400
2024-03-01 06:10:00,1.2639,1.2639,1.2635,1.2635,180
2024-03-01 06:15:00,1.2635,1.2636,1.2634,1.2636,94
2024-03-01 06:20:00,1.2637,1.2638,1.2635,1.2638,109
2024-03-01 06:25:00,1.2637,1.2637,1.2635,1.2636,211
2024-03-01 06:30:00,1.2636,1.2642,1.2636,1.2641,353
