,PB-MGC-Short,PB-MNQ-Long,PB-MES-Short,ORB009-MES-Both,ORB009-MES-Long,ORB009-MES-Short,ORB009-MGC-Both,ORB009-MGC-Long,ORB009-MGC-Short,ORB009-MNQ-Both,ORB009-MNQ-Long,ORB009-MNQ-Short,VWAP006-MES-Both,VWAP006-MES-Long,VWAP006-MES-Short,VWAP006-MGC-Both,VWAP006-MGC-Long,VWAP006-MGC-Short,VWAP006-MNQ-Both,VWAP006-MNQ-Long,VWAP006-MNQ-Short,ICT010-MES-Both,ICT010-MES-Long,ICT010-MES-Short,ICT010-MGC-Both,ICT010-MGC-Long,ICT010-MGC-Short,ICT010-MNQ-Both,ICT010-MNQ-Long,ICT010-MNQ-Short
PB-MGC-Short,1.0,0.00015330335126666555,-0.09952195675079716,0.026111780896735173,0.01364392227402831,0.022827515617492994,0.012676459311985633,0.014853947330557551,0.005633237822506255,0.058746829195519594,0.0769801634418098,0.012643008895909765,-0.006750156922002691,-0.011974568400612054,0.0007824523987417554,0.11991365725088776,-0.010859405138909971,0.10313351646178916,-0.057557290814491326,-0.03205029264651608,-0.044972278319535826,0.0695294359965694,0.033463554831994174,0.06460975779508096,0.0007171265615980618,-0.01360043597193008,0.014204488200114858,-0.012804711130343161,-0.0489882934531749,0.032933379074246746
PB-MNQ-Long,0.00015330335126666555,1.0,0.014048094260539766,0.020187151310216287,0.0974078283597531,-0.04713489825615455,-0.0052929781367804345,-0.01884930099303734,0.005675499003671127,0.06909148217111326,0.18110303471714714,-0.060625290899290925,0.14249824657204554,0.2987426637675337,-0.05102531412887473,-0.04353626161758467,-0.054901588871597365,-0.121535480219456,0.2040393819472627,0.32597534966059616,-0.05854234657014108,-0.031894133511261476,0.052524715634867325,-0.09800687114953818,-0.04776670781700715,-0.03990998705129366,-0.027801950949766566,-0.07085280298747278,0.033110231309077004,-0.1375540825561429
PB-MES-Short,-0.09952195675079716,0.014048094260539766,1.0,0.12495417782220254,0.07095914948656463,0.10501031623770941,-0.05187384874555142,-0.013665769520911234,-0.05296004947966682,0.01209320740701684,0.02876681231252432,-0.008167336979232635,0.2451113988138873,-0.007292317428419825,0.3174891131138575,0.00750050628191725,-0.03885223993167298,0.025589615894441056,0.1601190050670482,-0.04143450371488575,0.2555018096143811,0.0010623657466075735,-0.038270620089976205,0.04005168687874463,0.1211508569563381,0.12998068292816106,0.042592744440525715,0.0013136004314125793,-0.010547021036651286,0.012993037176358227
ORB009-MES-Both,0.026111780896735173,0.020187151310216287,0.12495417782220254,1.0,0.6119761370559083,0.8075031732915172,-0.03336087102517451,-0.03220230974207156,-0.01919787319191429,0.5592182842252933,0.31233581196212057,0.470824026498928,0.3150483912551461,0.15670334734396885,0.27668116206281984,0.012694900925106601,-0.031609127936767484,-0.0069767616030314,0.2730257492698829,0.09898198149580666,0.2601295888705888,0.007342250247913253,-0.023006843313160413,0.03355668007668496,0.04384155766535358,0.07858732181759193,-0.015220607265127925,-0.07673158938429875,-0.07468279512399764,-0.03275544359783487
ORB009-MES-Long,0.01364392227402831,0.0974078283597531,0.07095914948656463,0.6119761370559083,1.0,0.027663869740153297,-0.007129842469819162,0.010539491279159876,-0.015161193176221624,0.3713493333758259,0.5922169456183767,-0.008116002212343596,0.19406683801135124,0.27720481891740667,0.02927022241823446,0.0475653026637547,0.012752173884950585,-0.024652324010327402,0.16655828566717823,0.21761288131382708,-0.0016152922741482392,-0.006436220821526498,0.029083747268064536,-0.038396702618690985,0.08038127898548736,0.12374467763951874,-0.008155945029146013,-0.030409100744640545,0.014911611671082724,-0.05977352615420961
ORB009-MES-Short,0.022827515617492994,-0.04713489825615455,0.10501031623770941,0.8075031732915172,0.027663869740153297,1.0,-0.03684833392925792,-0.04856239486102827,-0.012957141895491147,0.429851010383638,-0.04692355288861689,0.6011448418526932,0.2534592878272391,-0.008686004594220583,0.32787664397385297,-0.019430322934821248,-0.04946294704675543,0.009568384568362183,0.22086218244906858,-0.03719638523343772,0.32999200749289653,0.014080496821590831,-0.05077086622259601,0.07105111801347208,-0.004538234530059476,0.0070362594144353354,-0.013154890302518195,-0.07430367799027508,-0.10551590893508526,0.0031803933001282765
ORB009-MGC-Both,0.012676459311985633,-0.0052929781367804345,-0.05187384874555142,-0.03336087102517451,-0.007129842469819162,-0.03684833392925792,1.0,0.5400705955443876,0.8453525730935145,0.013748815829939877,0.03255607516084077,-0.00916125183332028,-0.059875441846850536,-0.07363798961017652,-0.03414954639896175,-0.05066504765151138,0.06878968366100326,-0.0907806229195305,-0.03233960776673264,-0.013783808154861816,-0.01944757178310919,-0.04648197620678365,-0.009022925419776808,-0.05663852418317963,0.011457909388238555,0.0045789343415290175,0.011518191226240981,0.045775624958480046,0.03281912157563962,0.03187716525374995
ORB009-MGC-Long,0.014853947330557551,-0.01884930099303734,-0.013665769520911234,-0.03220230974207156,0.010539491279159876,-0.04856239486102827,0.5400705955443876,1.0,0.006949419003928238,0.008241813679744843,0.06082011902058384,-0.03992178819026204,0.0071034127912985,0.0667126413693488,-0.03814622637693252,0.2138056537364209,0.3407035059649364,-0.001161937493196991,0.01966166728070672,0.0655153077143706,-0.005808975977831083,-0.03523818464182553,-0.04311071689489761,-0.00640323893319683,-0.007564017643656177,0.00928935743783135,-0.0195583034682478,-0.05512708467934619,-0.08260488942464242,0.006902232911598619
ORB009-MGC-Short,0.005633237822506255,0.005675499003671127,-0.05296004947966682,-0.01919787319191429,-0.015161193176221624,-0.012957141895491147,0.8453525730935145,0.006949419003928238,1.0,0.011104343607162575,7.68126719945353e-05,0.014454912496140811,-0.07565020171550728,-0.12983855784491027,-0.01636210769538805,-0.19590876876276034,-0.13452487055128248,-0.10712405082046751,-0.05090453714087001,-0.057962435053204926,-0.019419573702107656,-0.03286081030196315,0.016643403050123805,-0.06323103985014406,0.018414964665686106,-0.0004558265214067525,0.026099828868737986,0.08937990740907392,0.09142678697131323,0.033493941966740486
ORB009-MNQ-Both,0.058746829195519594,0.06909148217111326,0.01209320740701684,0.5592182842252933,0.3713493333758259,0.429851010383638,0.013748815829939877,0.008241813679744843,0.011104343607162575,1.0,0.6442821127098742,0.7704453492632362,0.1981828326485495,0.16343877543873755,0.12537359568921141,0.04385598641030322,0.01594771279891685,-0.013751667068646367,0.29676813201285857,0.1770119166598118,0.21015200365825687,0.0225834563009892,-0.019485492083777603,0.05156128723319461,0.018121971442123033,0.08642790415326097,-0.05866805675767086,-0.06825538059528528,-0.07530073656715079,-0.019814278433723537
