trade_num,equity,peak,drawdown
0,0.0,0.0,0.0
1,68.0,68.0,0.0
2,102.0,102.0,0.0
3,-16.0,102.0,118.0
4,-125.0,102.0,227.0
5,-19.0,102.0,121.0
6,29.0,102.0,73.0
7,158.0,158.0,0.0
8,134.0,158.0,24.0
9,229.0,229.0,0.0
10,195.0,229.0,34.0
11,159.0,229.0,70.0
12,194.0,229.0,35.0
13,134.0,229.0,95.0
14,74.0,229.0,155.0
15,136.0,229.0,93.0
16,69.0,229.0,160.0
17,132.0,229.0,97.0
18,150.0,229.0,79.0
19,284.0,284.0,0.0
20,207.0,284.0,77.0
21,293.0,293.0,0.0
22,251.0,293.0,42.0
23,331.0,331.0,0.0
24,332.0,332.0,0.0
25,301.0,332.0,31.0
26,207.0,332.0,125.0
27,497.0,497.0,0.0
28,767.0,767.0,0.0
