variation,trades,pf,sharpe,pnl,maxdd,wr
BASE,28,2.02,4.176,767.0,283.0,57.1
SL_ATR=1.2,28,2.234,4.7378,839.0,283.0,57.1
SL_ATR=1.8,28,1.917,3.9792,752.0,299.0,60.7
SL_ATR=2.0,28,1.756,3.502,677.0,299.0,60.7
TP_ATR=1.8,28,1.767,3.3555,577.0,283.0,57.1
TP_ATR=2.4,28,2.379,5.1758,1037.0,320.0,57.1
TP_ATR=2.8,28,2.269,4.9214,990.0,320.0,53.6
FAST=8,30,2.59,5.7156,1121.0,283.0,60.0
FAST=10,27,2.25,4.7729,844.0,283.0,59.3
SLOW=18,34,1.509,2.5432,560.0,482.0,52.9
SLOW=25,22,1.877,3.8244,606.0,283.0,50.0
ADX=12,28,2.02,4.176,767.0,283.0,57.1
ADX=16,28,2.02,4.176,767.0,283.0,57.1
ADX=18,28,2.02,4.176,767.0,283.0,57.1
TICKS=15,28,2.02,4.176,767.0,283.0,57.1
TICKS=25,28,2.02,4.176,767.0,283.0,57.1
