,PB-MGC-Short,PB-MNQ-Long,PB-MES-Short
2024-03-01,0.0,-11.5,0.0
2024-03-05,0.0,0.0,113.75
2024-03-06,0.0,14.0,-18.75
2024-03-07,0.0,141.5,0.0
2024-03-08,0.0,-266.5,0.0
2024-03-12,68.0,7.0,-93.75
2024-03-14,34.0,0.0,0.0
2024-03-18,0.0,-73.5,0.0
2024-03-20,0.0,153.5,0.0
2024-03-21,0.0,-27.0,0.0
2024-03-22,0.0,-44.0,0.0
2024-03-28,0.0,-53.5,0.0
2024-04-01,0.0,-104.5,-33.75
2024-04-03,0.0,-32.5,0.0
2024-04-09,0.0,-82.5,0.0
2024-04-10,0.0,0.0,-26.25
2024-04-12,0.0,0.0,80.0
2024-04-15,0.0,-159.0,70.0
2024-04-18,0.0,0.0,60.0
2024-04-25,0.0,142.0,-65.0
2024-04-26,0.0,143.0,0.0
2024-04-29,0.0,29.5,-26.25
2024-04-30,0.0,0.0,31.25
2024-05-03,-227.0,108.5,0.0
2024-05-06,0.0,-32.5,0.0
2024-05-07,0.0,83.5,0.0
2024-05-08,0.0,-45.0,0.0
2024-05-10,0.0,57.5,0.0
2024-05-14,0.0,115.0,0.0
2024-05-15,0.0,107.0,0.0
2024-05-16,0.0,83.5,0.0
2024-05-21,0.0,0.0,-23.75
2024-05-22,154.0,-35.0,0.0
2024-05-23,129.0,0.0,0.0
2024-05-24,0.0,120.5,0.0
2024-05-27,0.0,-32.0,0.0
2024-05-28,0.0,-74.5,0.0
2024-06-03,0.0,38.0,0.0
2024-06-04,0.0,-48.0,0.0
2024-06-05,0.0,620.0,0.0
2024-06-06,0.0,-92.5,0.0
2024-06-07,0.0,0.0,-56.25
2024-06-12,0.0,37.0,0.0
2024-06-13,0.0,-103.5,0.0
2024-06-14,0.0,-18.5,0.0
2024-06-17,0.0,0.0,-22.5
2024-06-20,0.0,0.0,-2.5
2024-06-25,0.0,124.0,0.0
2024-06-26,0.0,-113.0,0.0
2024-06-27,0.0,85.5,0.0
2024-07-01,-24.0,33.5,102.5
2024-07-05,0.0,141.0,0.0
2024-07-08,0.0,-39.5,0.0
2024-07-09,0.0,-169.0,0.0
2024-07-10,0.0,-43.0,0.0
2024-07-15,0.0,37.0,0.0
2024-07-16,0.0,83.0,0.0
2024-07-22,95.0,-134.5,0.0
2024-07-23,0.0,-183.0,0.0
2024-07-24,0.0,0.0,61.25
2024-07-25,-34.0,0.0,93.75
2024-07-29,0.0,0.0,81.25
2024-07-31,0.0,90.0,0.0
2024-08-02,0.0,0.0,47.5
2024-08-06,0.0,0.0,-171.25
2024-08-07,0.0,-106.5,0.0
2024-08-08,0.0,302.0,0.0
2024-08-12,0.0,-37.0,0.0
2024-08-15,0.0,4.5,0.0
2024-08-21,0.0,-280.5,0.0
2024-08-22,0.0,4.0,0.0
2024-08-23,0.0,23.0,0.0
2024-08-26,0.0,0.0,-40.0
2024-08-28,0.0,0.0,52.5
2024-08-29,0.0,220.5,0.0
2024-08-30,0.0,-217.0,0.0
2024-09-02,0.0,-39.5,0.0
2024-09-03,0.0,0.0,40.0
2024-09-09,0.0,0.0,-78.75
2024-09-10,0.0,-224.5,-58.75
2024-09-12,0.0,16.0,0.0
2024-09-13,0.0,-59.0,0.0
2024-09-17,-36.0,-119.0,-20.0
2024-09-18,0.0,-131.5,-70.0
2024-09-19,0.0,202.0,0.0
2024-09-23,0.0,-106.0,0.0
2024-09-25,0.0,69.0,0.0
2024-10-01,0.0,0.0,35.0
2024-10-02,0.0,0.0,75.0
2024-10-03,0.0,-131.0,-118.75
2024-10-04,0.0,-103.0,0.0
2024-10-07,0.0,-86.0,0.0
2024-10-08,0.0,101.0,0.0
2024-10-09,0.0,41.0,0.0
2024-10-11,0.0,85.0,0.0
2024-10-15,0.0,-60.5,0.0
2024-10-17,0.0,69.0,0.0
2024-10-18,0.0,-182.0,0.0
2024-10-23,0.0,0.0,63.75
2024-10-29,0.0,0.0,-67.5
2024-10-30,0.0,0.0,61.25
2024-11-04,0.0,0.0,-50.0
2024-11-05,0.0,120.5,0.0
2024-11-06,0.0,202.0,0.0
2024-11-07,0.0,70.5,0.0
2024-11-08,0.0,120.0,0.0
2024-11-12,0.0,-142.5,0.0
2024-11-14,0.0,0.0,-13.75
2024-11-15,0.0,0.0,20.0
2024-11-19,0.0,2.5,0.0
2024-11-21,0.0,75.5,0.0
2024-11-22,0.0,-148.5,0.0
2024-11-25,0.0,-247.5,0.0
2024-11-26,0.0,24.5,0.0
2024-11-29,0.0,129.0,-16.25
2024-12-02,0.0,178.5,0.0
2024-12-04,0.0,103.5,0.0
2024-12-05,0.0,-14.0,0.0
2024-12-06,0.0,142.5,0.0
2024-12-10,0.0,64.5,-30.0
2024-12-16,0.0,148.5,0.0
2024-12-17,0.0,0.0,47.5
2024-12-18,0.0,0.0,125.0
2024-12-19,0.0,0.0,-57.5
2024-12-26,0.0,168.5,0.0
2024-12-27,0.0,0.0,32.5
2024-12-30,35.0,0.0,-101.25
2024-12-31,0.0,0.0,-66.25
2025-01-02,0.0,0.0,90.0
2025-01-03,0.0,238.5,0.0
2025-01-06,0.0,14.5,0.0
2025-01-07,0.0,-107.0,0.0
2025-01-08,0.0,0.0,-141.25
2025-01-10,0.0,0.0,125.0
2025-01-13,-60.0,0.0,0.0
2025-01-14,0.0,-132.5,0.0
2025-01-17,0.0,138.0,0.0
2025-01-21,0.0,-55.5,0.0
2025-01-22,0.0,-6.5,0.0
2025-01-23,-60.0,0.0,0.0
2025-01-24,0.0,-32.5,6.25
2025-01-27,62.0,0.0,0.0
2025-01-28,0.0,103.0,61.25
2025-01-29,0.0,0.0,133.75
2025-01-30,0.0,174.5,-66.25
2025-02-04,0.0,120.5,0.0
2025-02-05,0.0,182.0,0.0
2025-02-06,0.0,96.0,0.0
2025-02-07,0.0,-80.5,-95.0
2025-02-10,0.0,69.5,0.0
2025-02-12,0.0,0.0,-68.75
2025-02-13,0.0,328.5,0.0
2025-02-14,0.0,100.5,0.0
2025-02-19,0.0,-4.5,-25.0
2025-02-20,0.0,0.0,55.0
2025-02-25,0.0,0.0,96.25
2025-02-27,0.0,0.0,292.5
2025-03-03,0.0,45.5,0.0
2025-03-04,0.0,0.0,85.0
2025-03-05,0.0,0.0,-86.25
2025-03-06,0.0,0.0,-53.75
2025-03-10,-67.0,0.0,-62.5
2025-03-11,0.0,0.0,141.25
2025-03-12,0.0,-149.0,0.0
2025-03-13,0.0,0.0,171.25
2025-03-14,0.0,11.5,0.0
2025-03-17,0.0,3.0,0.0
2025-03-20,0.0,0.0,-63.75
2025-03-24,63.0,134.0,0.0
2025-03-25,0.0,33.5,0.0
2025-03-26,18.0,0.0,0.0
2025-03-27,0.0,0.0,-67.5
2025-03-31,0.0,0.0,51.25
2025-04-03,0.0,0.0,156.25
2025-04-04,0.0,0.0,286.25
2025-04-11,0.0,211.5,0.0
2025-04-15,0.0,-192.5,0.0
2025-04-16,0.0,0.0,125.0
2025-04-17,0.0,0.0,62.5
2025-04-21,0.0,0.0,68.75
2025-04-23,0.0,-81.0,0.0
2025-04-25,0.0,201.5,0.0
2025-04-28,0.0,-115.0,0.0
2025-04-29,0.0,222.0,0.0
2025-05-01,0.0,-23.5,0.0
2025-05-02,0.0,240.0,0.0
2025-05-05,0.0,183.5,0.0
2025-05-06,0.0,0.0,-42.5
2025-05-07,0.0,0.0,-273.75
2025-05-08,0.0,-29.5,-83.75
2025-05-09,0.0,-164.5,0.0
2025-05-12,0.0,-7.5,0.0
2025-05-13,134.0,145.0,0.0
2025-05-14,0.0,-178.5,0.0
2025-05-15,0.0,-287.0,0.0
2025-05-26,0.0,-75.5,0.0
2025-05-27,-77.0,0.0,0.0
2025-05-28,86.0,-146.0,0.0
2025-05-29,0.0,0.0,15.0
2025-05-30,0.0,0.0,-73.75
2025-06-02,0.0,288.5,0.0
2025-06-03,0.0,105.0,0.0
2025-06-04,0.0,-96.0,0.0
2025-06-05,0.0,-332.0,0.0
2025-06-06,0.0,-57.0,0.0
2025-06-09,0.0,47.0,0.0
2025-06-10,0.0,-246.5,0.0
2025-06-11,0.0,-79.0,0.0
2025-06-13,0.0,-133.5,0.0
2025-06-17,0.0,-180.0,0.0
2025-06-18,0.0,127.0,-30.0
2025-06-19,0.0,0.0,91.25
2025-06-23,0.0,177.5,0.0
2025-06-24,0.0,129.0,0.0
2025-06-25,0.0,40.0,0.0
2025-07-02,0.0,-27.0,0.0
2025-07-04,-42.0,0.0,0.0
2025-07-08,80.0,-89.0,8.75
2025-07-09,0.0,65.0,0.0
2025-07-11,0.0,0.0,-48.75
2025-07-14,0.0,165.5,0.0
2025-07-15,1.0,-36.5,0.0
2025-07-17,0.0,109.5,0.0
2025-07-18,0.0,-61.0,0.0
2025-07-22,0.0,-113.5,75.0
2025-07-25,-31.0,17.0,0.0
2025-07-29,0.0,-82.0,0.0
2025-07-30,0.0,0.0,100.0
2025-08-01,0.0,0.0,37.5
2025-08-04,0.0,-32.0,0.0
2025-08-06,0.0,213.5,-113.75
2025-08-07,0.0,-163.5,0.0
2025-08-08,0.0,122.0,0.0
2025-08-11,0.0,108.0,-35.0
2025-08-19,0.0,0.0,-25.0
2025-08-20,0.0,0.0,71.25
2025-08-22,0.0,161.5,0.0
2025-08-25,0.0,123.0,0.0
2025-08-26,0.0,65.5,0.0
2025-08-28,0.0,143.5,0.0
2025-09-03,0.0,0.0,-50.0
2025-09-05,0.0,-43.0,0.0
2025-09-08,0.0,78.0,0.0
2025-09-09,0.0,7.5,-27.5
2025-09-11,0.0,142.5,0.0
2025-09-12,0.0,90.5,0.0
2025-09-15,0.0,-49.0,0.0
2025-09-17,0.0,0.0,-100.0
2025-09-19,0.0,37.0,0.0
2025-09-26,0.0,-71.0,-78.75
2025-09-29,0.0,-33.0,0.0
2025-10-01,0.0,6.5,0.0
2025-10-03,0.0,-49.0,0.0
2025-10-06,0.0,-104.5,0.0
