_date,PB-MGC-Short,PB-MNQ-Long,ORB009-MGC-Long,portfolio
2024-03-01,0.0,-13.74,184.76,171.01999999999998
2024-03-04,0.0,0.0,91.76,91.76
2024-03-05,0.0,0.0,-36.24,-36.24
2024-03-06,0.0,11.76,-66.24,-54.48
2024-03-07,0.0,139.26,3.76,143.01999999999998
2024-03-08,0.0,-270.98,-103.24,-374.22
2024-03-12,64.76,4.76,0.0,69.52000000000001
2024-03-13,0.0,0.0,-50.24,-50.24
2024-03-14,30.76,0.0,0.0,30.76
2024-03-18,0.0,-75.74,-47.24,-122.97999999999999
2024-03-20,0.0,149.01999999999998,-7.24,141.77999999999997
2024-03-21,0.0,-29.24,0.0,-29.24
2024-03-22,0.0,-46.24,0.0,-46.24
2024-03-28,0.0,-55.74,0.0,-55.74
2024-04-01,0.0,-106.74,0.0,-106.74
2024-04-03,0.0,-34.74,0.0,-34.74
2024-04-05,0.0,0.0,1.76,1.76
2024-04-09,0.0,-84.74,0.0,-84.74
2024-04-12,0.0,0.0,-39.24,-39.24
2024-04-15,0.0,-161.24,0.0,-161.24
2024-04-25,0.0,139.76,0.0,139.76
2024-04-26,0.0,140.76,0.0,140.76
2024-04-28,0.0,0.0,-23.24,-23.24
2024-04-29,0.0,27.26,-94.24,-66.97999999999999
2024-05-01,0.0,0.0,-103.24,-103.24
2024-05-02,0.0,0.0,-31.24,-31.24
2024-05-03,-233.48,106.26,0.0,-127.21999999999998
2024-05-06,0.0,-36.980000000000004,0.0,-36.980000000000004
2024-05-07,0.0,81.26,0.0,81.26
2024-05-08,0.0,-47.24,0.0,-47.24
2024-05-09,0.0,0.0,105.76,105.76
2024-05-10,0.0,55.26,0.0,55.26
2024-05-14,0.0,112.76,-21.24,91.52000000000001
2024-05-15,0.0,104.76,54.76,159.52
2024-05-16,0.0,81.26,0.0,81.26
2024-05-17,0.0,0.0,0.76,0.76
2024-05-20,0.0,0.0,-24.24,-24.24
2024-05-21,0.0,0.0,-101.24,-101.24
2024-05-22,147.52,-39.480000000000004,0.0,108.04
2024-05-23,125.76,0.0,0.0,125.76
2024-05-24,0.0,118.26,0.0,118.26
2024-05-27,0.0,-34.24,0.0,-34.24
2024-05-28,0.0,-76.74,0.0,-76.74
2024-06-03,0.0,35.76,0.0,35.76
2024-06-04,0.0,-50.24,0.0,-50.24
2024-06-05,0.0,617.76,0.0,617.76
2024-06-06,0.0,-94.74,0.0,-94.74
2024-06-12,0.0,32.52000000000001,0.0,32.52000000000001
2024-06-13,0.0,-105.74,0.0,-105.74
2024-06-14,0.0,-20.74,0.0,-20.74
2024-06-25,0.0,121.76,0.0,121.76
2024-06-26,0.0,-115.24,0.0,-115.24
2024-06-27,0.0,83.26,-24.24,59.02000000000001
2024-07-01,-27.24,31.26,0.0,4.020000000000003
2024-07-03,0.0,0.0,-46.24,-46.24
2024-07-04,0.0,0.0,-35.24,-35.24
2024-07-05,0.0,138.76,23.76,162.51999999999998
2024-07-08,0.0,-43.98,0.0,-43.98
2024-07-09,0.0,-175.72,0.0,-175.72
2024-07-10,0.0,-47.480000000000004,0.0,-47.480000000000004
2024-07-11,0.0,0.0,10.76,10.76
2024-07-15,0.0,32.52000000000001,132.76,165.28
2024-07-16,0.0,80.76,34.76,115.52000000000001
2024-07-22,91.76,-136.74,0.0,-44.980000000000004
2024-07-23,0.0,-187.48000000000002,-0.24,-187.72000000000003
2024-07-24,0.0,0.0,-171.24,-171.24
2024-07-25,-37.24,0.0,0.0,-37.24
2024-07-26,0.0,0.0,-23.24,-23.24
2024-07-31,0.0,87.76,0.0,87.76
2024-08-07,0.0,-110.98,0.0,-110.98
2024-08-08,0.0,299.76,0.0,299.76
2024-08-12,0.0,-39.24,0.0,-39.24
2024-08-15,0.0,2.26,0.0,2.26
2024-08-21,0.0,-289.46000000000004,0.0,-289.46000000000004
2024-08-22,0.0,-0.480000000000004,0.0,-0.480000000000004
2024-08-23,0.0,20.76,0.0,20.76
2024-08-29,0.0,218.26,-21.24,197.01999999999998
2024-08-30,0.0,-219.24,0.0,-219.24
2024-09-02,0.0,-41.74,0.0,-41.74
2024-09-04,0.0,0.0,4.76,4.76
2024-09-05,0.0,0.0,-82.24,-82.24
2024-09-09,0.0,0.0,-48.24,-48.24
2024-09-10,0.0,-228.98,0.0,-228.98
2024-09-11,0.0,0.0,-41.24,-41.24
2024-09-12,0.0,13.76,18.76,32.52
2024-09-13,0.0,-67.96000000000001,0.0,-67.96000000000001
2024-09-17,-39.24,-123.47999999999999,0.0,-162.72
2024-09-18,0.0,-133.74,-52.24,-185.98000000000002
2024-09-19,0.0,195.28,-9.24,186.04
2024-09-20,0.0,0.0,27.76,27.76
2024-09-23,0.0,-110.48,0.0,-110.48
2024-09-24,0.0,0.0,104.76,104.76
2024-09-25,0.0,66.76,0.0,66.76
2024-09-26,0.0,0.0,45.76,45.76
2024-10-03,0.0,-133.24,0.0,-133.24
2024-10-04,0.0,-105.24,0.0,-105.24
2024-10-07,0.0,-88.24,0.0,-88.24
2024-10-08,0.0,98.76,0.0,98.76
2024-10-09,0.0,36.52,0.0,36.52
2024-10-11,0.0,82.76,0.0,82.76
2024-10-15,0.0,-67.22,0.0,-67.22
2024-10-17,0.0,66.76,0.0,66.76
2024-10-18,0.0,-186.48,0.0,-186.48
2024-11-05,0.0,118.26,0.0,118.26
2024-11-06,0.0,199.76,0.0,199.76
2024-11-07,0.0,66.02000000000001,0.0,66.02000000000001
2024-11-08,0.0,117.76,0.0,117.76
2024-11-12,0.0,-149.22,0.0,-149.22
2024-11-14,0.0,0.0,-20.24,-20.24
2024-11-19,0.0,0.26,0.0,0.26
2024-11-21,0.0,73.26,0.0,73.26
2024-11-22,0.0,-152.98000000000002,-42.24,-195.22000000000003
2024-11-25,0.0,-249.74,0.0,-249.74
2024-11-26,0.0,20.019999999999996,0.0,20.019999999999996
2024-11-29,0.0,126.76,0.0,126.76
2024-12-02,0.0,176.26,0.0,176.26
2024-12-04,0.0,101.26,0.0,101.26
2024-12-05,0.0,-18.48,0.0,-18.48
