_date,PB-MGC-Short,ORB-009 MGC-Long,portfolio
2024-03-01,0.0,184.76,184.76
2024-03-04,0.0,91.76,91.76
2024-03-05,0.0,-36.24,-36.24
2024-03-06,0.0,-66.24,-66.24
2024-03-07,0.0,3.76,3.76
2024-03-08,0.0,-103.24,-103.24
2024-03-12,64.76,0.0,64.76
2024-03-13,0.0,-50.24,-50.24
2024-03-14,30.76,0.0,30.76
2024-03-18,0.0,-47.24,-47.24
2024-03-20,0.0,-7.24,-7.24
2024-04-05,0.0,1.76,1.76
2024-04-12,0.0,-39.24,-39.24
2024-04-28,0.0,-23.24,-23.24
2024-04-29,0.0,-94.24,-94.24
2024-05-01,0.0,-103.24,-103.24
2024-05-03,-233.48,0.0,-233.48
2024-05-09,0.0,105.76,105.76
2024-05-15,0.0,54.76,54.76
2024-05-17,0.0,0.76,0.76
2024-05-20,0.0,-24.24,-24.24
2024-05-21,0.0,-101.24,-101.24
2024-05-22,147.52,0.0,147.52
2024-05-23,125.76,0.0,125.76
2024-07-03,0.0,-46.24,-46.24
2024-07-04,0.0,-35.24,-35.24
2024-07-15,0.0,132.76,132.76
2024-07-16,0.0,34.76,34.76
2024-07-22,91.76,0.0,91.76
2024-07-23,0.0,-0.24,-0.24
2024-07-24,0.0,-171.24,-171.24
2024-07-25,-37.24,0.0,-37.24
2024-09-18,0.0,-52.24,-52.24
2024-09-24,0.0,104.76,104.76
2024-11-22,0.0,-42.24,-42.24
2025-01-17,0.0,-81.24,-81.24
2025-01-23,-63.24,45.76,-17.480000000000004
2025-01-30,0.0,91.76,91.76
2025-03-03,0.0,-29.24,-29.24
2025-03-10,-70.24,0.0,-70.24
2025-03-12,0.0,159.76,159.76
2025-03-13,0.0,205.76,205.76
2025-03-17,0.0,-22.24,-22.24
2025-03-19,0.0,68.76,68.76
2025-03-20,0.0,-3.24,-3.24
2025-03-24,59.76,0.0,59.76
2025-03-25,0.0,-122.24,-122.24
2025-03-26,14.76,0.0,14.76
2025-03-27,0.0,21.76,21.76
2025-04-22,0.0,-184.24,-184.24
2025-05-05,0.0,61.76,61.76
2025-05-06,0.0,138.76,138.76
2025-05-13,130.76,0.0,130.76
2025-05-20,0.0,181.76,181.76
2025-05-21,0.0,99.76,99.76
2025-05-23,0.0,-19.24,-19.24
2025-05-26,0.0,53.76,53.76
2025-05-27,-80.24,0.0,-80.24
2025-05-28,82.76,0.0,82.76
2025-05-29,0.0,-108.24,-108.24
2025-06-02,0.0,89.76,89.76
2025-07-02,0.0,45.76,45.76
2025-07-07,0.0,14.76,14.76
2025-07-08,76.76,0.0,76.76
2025-07-09,0.0,18.76,18.76
2025-07-15,-2.24,0.0,-2.24
2025-07-16,0.0,264.76,264.76
2025-07-21,0.0,36.76,36.76
2025-09-02,0.0,313.76,313.76
2025-09-03,0.0,-67.24,-67.24
2025-09-08,0.0,-17.24,-17.24
2025-09-22,0.0,221.76,221.76
2025-09-26,0.0,-37.24,-37.24
2025-09-29,0.0,-76.24,-76.24
2025-10-30,0.0,132.76,132.76
2025-11-07,-97.24,-201.24,-298.48
2025-11-10,0.0,154.76,154.76
2025-11-12,0.0,181.76,181.76
2025-11-21,0.0,-123.24,-123.24
2025-11-24,0.0,311.76,311.76
2025-11-25,0.0,-108.24,-108.24
2025-12-26,0.0,579.76,579.76
2026-01-05,0.0,-84.24,-84.24
2026-01-07,0.0,1.76,1.76
2026-01-09,0.0,-14.24,-14.24
2026-01-19,0.0,-78.24,-78.24
2026-01-22,0.0,364.76,364.76
2026-01-23,0.0,13.76,13.76
2026-01-27,0.0,414.76,414.76
2026-02-27,0.0,7.76,7.76
2026-03-04,286.76,0.0,286.76
2026-03-05,266.76,0.0,266.76
