Trade #,Type,Date and time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
1,Exit short,2025-02-27 08:20,S-X,5988.75,1,29847.5,-97.49,-0.33,51.88,0.17,-96.87,-0.32,-97.49,-0.19
1,Entry short,2025-02-27 07:35,S,5969.5,1,29847.5,-97.49,-0.33,51.88,0.17,-96.87,-0.32,-97.49,-0.19
2,Exit short,2025-03-05 07:00,S-X,5805.25,1,28941.25,-86.24,-0.30,89.38,0.31,-85.62,-0.30,-183.73,-0.37
2,Entry short,2025-03-05 06:50,S,5788.25,1,28941.25,-86.24,-0.30,89.38,0.31,-85.62,-0.30,-183.73,-0.37
3,Exit long,2025-03-05 13:20,Session End,5850,1,29283.75,-34.99,-0.12,4.38,0.01,-78.12,-0.27,-218.72,-0.44
3,Entry long,2025-03-05 12:55,L,5856.75,1,29283.75,-34.99,-0.12,4.38,0.01,-78.12,-0.27,-218.72,-0.44
4,Exit short,2025-03-06 12:10,S-X,5750.25,1,28643.75,-108.74,-0.38,26.88,0.09,-108.12,-0.38,-327.46,-0.65
4,Entry short,2025-03-06 12:00,S,5728.75,1,28643.75,-108.74,-0.38,26.88,0.09,-108.12,-0.38,-327.46,-0.65
5,Exit long,2025-03-07 12:35,L-X,5760.25,1,28905,-104.99,-0.36,1.88,0.01,-104.37,-0.36,-432.45,-0.86
5,Entry long,2025-03-07 12:20,L,5781,1,28905,-104.99,-0.36,1.88,0.01,-104.37,-0.36,-432.45,-0.86
6,Exit long,2025-03-07 13:00,L-X,5760.25,1,28915,-114.99,-0.40,40.63,0.14,-114.37,-0.40,-547.44,-1.09
6,Entry long,2025-03-07 12:55,L,5783,1,28915,-114.99,-0.40,40.63,0.14,-114.37,-0.40,-547.44,-1.09
7,Exit short,2025-03-10 07:30,S-X,5664,1,28426.25,105.01,0.37,105.63,0.37,-71.87,-0.25,-442.43,-0.88
7,Entry short,2025-03-10 06:55,S,5685.25,1,28426.25,105.01,0.37,105.63,0.37,-71.87,-0.25,-442.43,-0.88
8,Exit short,2025-03-10 10:10,S-X,5629.5,1,28277.5,128.76,0.46,129.38,0.46,-64.37,-0.23,-313.67,-0.63
8,Entry short,2025-03-10 08:45,S,5655.5,1,28277.5,128.76,0.46,129.38,0.46,-64.37,-0.23,-313.67,-0.63
9,Exit short,2025-03-11 07:00,S-X,5630,1,28061.25,-89.99,-0.32,19.38,0.07,-89.37,-0.32,-403.66,-0.81
9,Entry short,2025-03-11 06:55,S,5612.25,1,28061.25,-89.99,-0.32,19.38,0.07,-89.37,-0.32,-403.66,-0.81
10,Exit short,2025-03-11 07:05,S-X,5607.25,1,27920,-117.49,-0.42,4.38,0.02,-116.87,-0.42,-521.15,-1.04
10,Entry short,2025-03-11 07:05,S,5584,1,27920,-117.49,-0.42,4.38,0.02,-116.87,-0.42,-521.15,-1.04
11,Exit short,2025-03-12 13:20,Session End,5599.25,1,28013.75,16.26,0.06,33.13,0.12,-8.12,-0.03,-504.89,-1.01
11,Entry short,2025-03-12 13:00,S,5602.75,1,28013.75,16.26,0.06,33.13,0.12,-8.12,-0.03,-504.89,-1.01
12,Exit short,2025-03-13 08:10,S-X,5559.25,1,27918.75,121.26,0.43,121.88,0.44,-65.62,-0.24,-383.63,-0.77
12,Entry short,2025-03-13 07:30,S,5583.75,1,27918.75,121.26,0.43,121.88,0.44,-65.62,-0.24,-383.63,-0.77
13,Exit long,2025-03-14 07:55,L-X,5608,1,27932.5,106.26,0.38,106.88,0.38,-46.87,-0.17,-277.37,-0.55
13,Entry long,2025-03-14 07:25,L,5586.5,1,27932.5,106.26,0.38,106.88,0.38,-46.87,-0.17,-277.37,-0.55
14,Exit long,2025-03-17 07:55,L-X,5647.5,1,28318.75,-82.49,-0.29,15.63,0.06,-81.87,-0.29,-359.86,-0.72
14,Entry long,2025-03-17 07:40,L,5663.75,1,28318.75,-82.49,-0.29,15.63,0.06,-81.87,-0.29,-359.86,-0.72
15,Exit short,2025-04-03 07:50,S-X,5462.75,1,27461.25,146.26,0.53,146.88,0.53,-40.62,-0.15,-213.6,-0.43
15,Entry short,2025-04-03 07:05,S,5492.25,1,27461.25,146.26,0.53,146.88,0.53,-40.62,-0.15,-213.6,-0.43
16,Exit short,2025-04-04 07:25,S-X,5217.25,1,26338.75,251.26,0.95,251.88,0.96,-161.87,-0.61,37.66,0.08
16,Entry short,2025-04-04 06:55,S,5267.75,1,26338.75,251.26,0.95,251.88,0.96,-161.87,-0.61,37.66,0.08
17,Exit short,2025-04-04 10:10,S-X,5152.5,1,26085,321.26,1.23,321.88,1.23,-105.62,-0.40,358.92,0.72
17,Entry short,2025-04-04 08:30,S,5217,1,26085,321.26,1.23,321.88,1.23,-105.62,-0.40,358.92,0.72
18,Exit long,2025-04-08 07:55,L-X,5240,1,26348.75,-149.99,-0.57,173.13,0.66,-149.37,-0.57,208.93,0.42
18,Entry long,2025-04-08 06:55,L,5269.75,1,26348.75,-149.99,-0.57,173.13,0.66,-149.37,-0.57,208.93,0.42
19,Exit long,2025-04-11 07:15,L-X,5286.5,1,26621.25,-189.99,-0.71,30.63,0.12,-189.37,-0.71,18.94,0.04
19,Entry long,2025-04-11 07:10,L,5324.25,1,26621.25,-189.99,-0.71,30.63,0.12,-189.37,-0.71,18.94,0.04
20,Exit short,2025-04-11 08:55,S-X,5322.5,1,26400,-213.74,-0.81,103.13,0.39,-213.12,-0.81,-194.8,-0.39
20,Entry short,2025-04-11 08:05,S,5280,1,26400,-213.74,-0.81,103.13,0.39,-213.12,-0.81,-194.8,-0.39
21,Exit long,2025-04-15 09:55,L-X,5440.25,1,27305,-104.99,-0.38,56.88,0.21,-104.37,-0.38,-299.79,-0.60
21,Entry long,2025-04-15 07:35,L,5461,1,27305,-104.99,-0.38,56.88,0.21,-104.37,-0.38,-299.79,-0.60
22,Exit short,2025-04-17 07:30,S-X,5295.25,1,26607.5,130.01,0.49,130.63,0.49,-56.87,-0.21,-169.78,-0.34
22,Entry short,2025-04-17 07:10,S,5321.5,1,26607.5,130.01,0.49,130.63,0.49,-56.87,-0.21,-169.78,-0.34
23,Exit long,2025-04-22 13:20,Session End,5312.5,1,26537.5,23.76,0.09,110.63,0.42,-24.37,-0.09,-146.02,-0.29
23,Entry long,2025-04-22 12:45,L,5307.5,1,26537.5,23.76,0.09,110.63,0.42,-24.37,-0.09,-146.02,-0.29
24,Exit long,2025-04-23 08:20,L-X,5450.5,1,27380,-128.74,-0.47,114.38,0.42,-128.12,-0.47,-274.76,-0.55
24,Entry long,2025-04-23 07:25,L,5476,1,27380,-128.74,-0.47,114.38,0.42,-128.12,-0.47,-274.76,-0.55
25,Exit long,2025-04-28 08:05,L-X,5542.5,1,27791.25,-79.99,-0.29,18.13,0.07,-79.37,-0.29,-354.75,-0.71
25,Entry long,2025-04-28 07:45,L,5558.25,1,27791.25,-79.99,-0.29,18.13,0.07,-79.37,-0.29,-354.75,-0.71
26,Exit short,2025-05-21 13:20,Session End,5857.5,1,29320,31.26,0.11,65.63,0.22,-24.37,-0.08,-323.49,-0.65
26,Entry short,2025-05-21 12:55,S,5864,1,29320,31.26,0.11,65.63,0.22,-24.37,-0.08,-323.49,-0.65
27,Exit short,2025-06-05 13:20,Session End,5944,1,29723.75,2.51,0.01,23.13,0.08,-53.12,-0.18,-320.98,-0.64
27,Entry short,2025-06-05 12:55,S,5944.75,1,29723.75,2.51,0.01,23.13,0.08,-53.12,-0.18,-320.98,-0.64
28,Exit short,2025-08-01 09:00,S-X,6288,1,31355,-86.24,-0.28,49.38,0.16,-85.62,-0.27,-407.22,-0.81
28,Entry short,2025-08-01 07:50,S,6271,1,31355,-86.24,-0.28,49.38,0.16,-85.62,-0.27,-407.22,-0.81
29,Exit short,2025-09-17 11:50,S-X,6612.25,1,33185,122.51,0.37,123.13,0.37,-66.87,-0.20,-284.71,-0.57
