Trade #,Type,Date and time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
1,Exit short,2025-11-07 08:00,S-X,6676.5,1,33496.25,112.51,0.34,113.13,0.34,-68.12,-0.20,112.51,0.23
1,Entry short,2025-11-07 07:25,S,6699.25,1,33496.25,112.51,0.34,113.13,0.34,-68.12,-0.20,112.51,0.23
2,Exit short,2025-11-17 08:15,S-X,6719,1,33715,118.76,0.35,119.38,0.35,-78.12,-0.23,231.27,0.46
2,Entry short,2025-11-17 07:40,S,6743,1,33715,118.76,0.35,119.38,0.35,-78.12,-0.23,231.27,0.46
3,Exit short,2025-11-20 12:45,S-X,6559.25,1,32977.5,180.01,0.55,180.63,0.55,-70.62,-0.21,411.28,0.82
3,Entry short,2025-11-20 12:05,S,6595.5,1,32977.5,180.01,0.55,180.63,0.55,-70.62,-0.21,411.28,0.82
4,Exit short,2025-11-21 07:35,S-X,6541,1,32848.75,142.51,0.43,143.13,0.44,-105.62,-0.32,553.79,1.11
4,Entry short,2025-11-21 07:05,S,6569.75,1,32848.75,142.51,0.43,143.13,0.44,-105.62,-0.32,553.79,1.11
5,Exit long,2026-01-30 07:25,L-X,6966.25,1,34911.25,-81.24,-0.23,33.13,0.09,-80.62,-0.23,472.55,0.95
5,Entry long,2026-01-30 07:10,L,6982.25,1,34911.25,-81.24,-0.23,33.13,0.09,-80.62,-0.23,472.55,0.95
6,Exit long,2026-01-30 08:15,L-X,6962,1,34895,-86.24,-0.25,58.13,0.17,-85.62,-0.25,386.31,0.77
6,Entry long,2026-01-30 07:40,L,6979,1,34895,-86.24,-0.25,58.13,0.17,-85.62,-0.25,386.31,0.77
7,Exit short,2026-02-04 07:40,S-X,6947.5,1,34641.25,-97.49,-0.28,46.88,0.14,-96.87,-0.28,288.82,0.58
7,Entry short,2026-02-04 07:35,S,6928.25,1,34641.25,-97.49,-0.28,46.88,0.14,-96.87,-0.28,288.82,0.58
8,Exit short,2026-02-05 07:00,S-X,6835.25,1,34311.25,133.76,0.39,134.38,0.39,-19.37,-0.06,422.58,0.85
8,Entry short,2026-02-05 06:55,S,6862.25,1,34311.25,133.76,0.39,134.38,0.39,-19.37,-0.06,422.58,0.85
9,Exit short,2026-02-05 13:20,Session End,6803,1,34030,13.76,0.04,36.88,0.11,-71.87,-0.21,436.34,0.87
9,Entry short,2026-02-05 13:05,S,6806,1,34030,13.76,0.04,36.88,0.11,-71.87,-0.21,436.34,0.87
10,Exit short,2026-02-13 07:05,S-X,6854,1,34166.25,-104.99,-0.31,3.13,0.01,-104.37,-0.31,331.35,0.66
10,Entry short,2026-02-13 07:00,S,6833.25,1,34166.25,-104.99,-0.31,3.13,0.01,-104.37,-0.31,331.35,0.66
